Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
NSE-All Share,141845,418,-0.29%,0.92%,0.20%,37.81%,44.37%,Sep/19
SAALL,106111,688,0.65%,1.58%,5.00%,26.18%,26.58%,Sep/19
SA40,98714,676,0.69%,1.73%,5.59%,30.95%,30.18%,Sep/19
EGX 30,35403,428,1.22%,1.33%,-1.93%,19.04%,14.43%,Sep/18
CFG 25,19944,145,0.73%,0.58%,-0.19%,35.00%,39.99%,Sep/19
Nairobi 20,2903,42,-1.44%,-3.82%,6.41%,44.39%,62.13%,Sep/19
Nairobi All Share,174,2,-0.87%,-2.90%,3.43%,40.51%,63.00%,Sep/19
DSEI,2510,8,0.32%,-0.61%,-3.53%,17.28%,18.90%,Sep/19
TUN,12375,12,0.10%,2.50%,4.94%,24.32%,26.45%,Sep/19
GGSECI,7783,110,1.43%,7.06%,6.54%,59.20%,77.60%,Sep/19
SEMDEX,2464,9,-0.36%,0.18%,0.27%,2.54%,7.15%,Sep/19
USE All Share,1440.22,1.01,-0.07%,0.51%,3.11%,20.54%,34.96%,Sep/17
NSX Overall,1902,6,-0.34%,-0.30%,5.62%,5.60%,3.82%,Sep/19
Gaborone,10611,0,0.00%,-0.05%,0.54%,5.59%,9.94%,Sep/19
ZSI Industrials,207.75,0.37,0.18%,-0.02%,2.34%,-4.43%,-20.06%,Sep/18
