Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDJPY,147.892,0.008,-0.01%,0.18%,0.40%,-6.01%,2.83%,Sep/19
USDCNY,7.11587,0.01280,0.18%,-0.08%,-0.91%,-3.02%,1.07%,Sep/19
USDINR,88.0960,0.1095,-0.12%,-0.21%,1.24%,2.94%,5.54%,Sep/19
USDKRW,1397.33,9.09,0.65%,0.31%,-0.04%,-5.47%,4.86%,Sep/19
USDIDR,16578.4,1.4,0.01%,1.04%,1.81%,1.91%,9.35%,Sep/19
USDSAR,3.75050,0.00005,0.00%,-0.03%,-0.06%,-0.16%,-0.05%,Sep/19
USDTWD,30.2400,0.1278,0.42%,-0.20%,-0.15%,-7.81%,-5.45%,Sep/19
USDIRR,42050.0,0.0,0.00%,-0.15%,0.11%,0.12%,0.12%,Sep/18
USDAED,3.67250,0.00060,-0.02%,-0.01%,0.00%,-0.02%,-0.01%,Sep/19
USDTHB,31.8440,0.0560,-0.18%,0.39%,-2.14%,-7.24%,-3.24%,Sep/19
USDMYR,4.20700,0.01100,0.26%,0.05%,-0.45%,-5.92%,0.05%,Sep/19
USDSGD,1.28366,0.00250,0.20%,0.16%,-0.12%,-6.01%,-0.55%,Sep/19
USDILS,3.31990,0.01070,-0.32%,-0.35%,-2.50%,-8.73%,-12.10%,Sep/19
USDHKD,7.77428,0.00260,-0.03%,-0.02%,-0.48%,0.10%,-0.20%,Sep/19
USDPHP,56.9470,0.2660,-0.46%,-0.45%,-0.28%,-1.96%,2.38%,Sep/19
USDPKR,283.873,0.098,0.03%,-0.01%,0.04%,1.98%,2.14%,Sep/19
USDIQD,1310.53,0.48,0.04%,0.04%,0.06%,0.12%,0.01%,Sep/19
USDKZT,541.300,0.275,0.05%,0.08%,0.55%,3.18%,12.84%,Sep/19
USDQAR,3.63720,0.00800,-0.22%,-0.22%,-0.21%,-0.20%,-0.21%,Sep/19
USDVND,26382.5,2.5,-0.01%,-0.01%,-0.03%,3.54%,7.29%,Sep/19
USDBDT,121.7000,0.0500,-0.04%,0.00%,0.16%,2.27%,1.69%,Sep/18
USDOMR,0.38500,0.00022,0.06%,0.06%,0.06%,0.00%,0.01%,Sep/19
USDAZN,1.70000,0.00000,0.00%,0.00%,0.00%,0.30%,0.00%,Sep/19
USDLKR,302.480,0.260,0.09%,0.22%,0.41%,3.17%,-0.89%,Sep/19
USDSYP,13005.00,0.00,0.00%,0.00%,0.00%,0.00%,0.03%,Sep/18
USDMMK,2093.70,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/19
USDUZS,12318.6,31.4,-0.25%,-0.87%,-1.45%,-4.51%,-3.23%,Sep/19
USDMOP,8.01200,0.00300,-0.04%,-0.07%,-0.48%,0.10%,-0.22%,Sep/19
USDTMT,3.50000,0.00050,0.01%,0.01%,0.01%,0.15%,0.00%,Sep/19
USDLBP,89580.68,30.68,0.03%,0.03%,0.03%,0.09%,0.01%,Sep/19
USDYER,239.450,0.050,-0.02%,-0.04%,-0.31%,-3.86%,-4.21%,Sep/19
USDBHD,0.37710,0.00001,0.00%,0.02%,0.02%,0.00%,0.05%,Sep/19
USDAFN,67.3043,0.0243,0.04%,-1.21%,-1.59%,-4.33%,-2.51%,Sep/19
USDNPR,140.932,0.078,-0.06%,-0.23%,1.16%,2.89%,5.35%,Sep/19
USDBND,1.28490,0.00310,0.24%,0.18%,-0.05%,-5.88%,-0.59%,Sep/19
USDKHR,4020.57,13.57,0.34%,0.36%,0.39%,0.09%,-0.80%,Sep/19
USDGEL,2.73200,0.00800,-0.29%,1.13%,1.11%,-2.95%,0.18%,Sep/19
USDKPW,130.000,0.000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/18
USDMNT,3598.00,1.00,0.03%,0.00%,-0.06%,5.20%,6.39%,Sep/19
USDLAK,21658.4,7.4,0.03%,-0.07%,0.27%,-0.21%,-1.95%,Sep/19
USDAMD,382.850,0.260,0.07%,-0.16%,-0.17%,-3.21%,-1.14%,Sep/19
USDTJS,9.3632,0.0118,-0.13%,-1.02%,-0.29%,-13.70%,-11.94%,Sep/19
USDKGS,87.4500,0.0000,0.00%,-0.03%,0.01%,0.52%,3.81%,Sep/19
USDMVR,15.4600,0.0000,0.00%,0.00%,0.00%,0.26%,0.26%,Sep/19
USDKWD,0.30540,0.00019,0.06%,-0.01%,-0.08%,-0.94%,0.11%,Sep/19
USDJOD,0.70900,0.00000,0.00%,0.00%,0.00%,-0.06%,0.07%,Sep/19
