Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
EURUSD,1.17442,0.00400,-0.34%,0.10%,0.80%,13.38%,5.21%,Sep/19
GBPUSD,1.34668,0.00820,-0.60%,-0.59%,0.01%,7.57%,1.09%,Sep/19
USDCHF,0.79488,0.00280,0.36%,-0.14%,-1.15%,-12.40%,-6.50%,Sep/19
USDRUB,83.5000,0.2500,0.30%,-0.60%,3.73%,-26.43%,-9.59%,Sep/19
USDTRY,41.3802,0.1082,0.26%,0.11%,1.14%,17.11%,21.26%,Sep/19
USDSEK,9.35359,0.05590,0.60%,0.68%,-2.41%,-15.46%,-7.98%,Sep/19
USDPLN,3.62150,0.01240,0.34%,0.02%,-0.64%,-12.33%,-5.28%,Sep/19
USDNOK,9.93299,0.06990,0.71%,0.94%,-2.92%,-12.75%,-5.21%,Sep/19
USDDKK,6.34840,0.02070,0.33%,-0.17%,-0.90%,-11.82%,-4.98%,Sep/19
USDCZK,20.5055,0.0725,0.35%,-0.88%,-2.43%,-15.71%,-8.65%,Sep/19
USDRON,4.32400,0.02210,0.51%,0.16%,-0.37%,-10.01%,-2.84%,Sep/19
USDHUF,327.517,0.295,0.09%,-1.55%,-3.25%,-17.54%,-6.91%,Sep/19
USDUAH,41.3261,0.0761,0.18%,0.18%,-0.06%,-1.72%,-0.05%,Sep/19
USDBYR,3.38720,0.00110,0.03%,0.03%,0.58%,3.71%,3.47%,Sep/19
USDRSD,99.728,0.360,0.36%,-0.09%,-0.83%,-11.75%,-4.91%,Sep/19
USDBAM,1.65850,0.00140,-0.08%,-0.50%,-1.21%,-12.18%,-5.34%,Sep/19
USDISK,121.760,0.290,0.24%,-0.24%,-1.07%,-12.40%,-10.64%,Sep/19
USDALL,82.510,0.420,0.51%,-0.01%,-1.06%,-12.97%,-7.26%,Sep/19
USDMKD,52.3550,0.0200,-0.04%,-0.31%,-0.81%,-11.16%,-5.19%,Sep/19
USDMDL,16.5000,0.0500,0.30%,0.00%,-1.10%,-9.74%,-5.47%,Sep/19
USDBGN,1.66390,0.00460,0.28%,-0.15%,-0.83%,-11.94%,-5.03%,Sep/19
