Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
US500,6664.36,32.40,0.49%,1.22%,4.20%,13.31%,16.87%,Sep/19
US30,46315,173,0.37%,1.05%,3.06%,8.86%,10.11%,Sep/19
US100,24626,171,0.70%,2.22%,5.92%,17.20%,24.43%,Sep/19
Ecuador General,1317,2,-0.15%,-0.45%,1.21%,11.71%,15.13%,Sep/15
TSX,29768,315,1.07%,1.65%,6.78%,20.38%,24.72%,Sep/19
IBOVESPA,145865,366,0.25%,2.53%,8.32%,21.27%,11.29%,Sep/19
IPC,61200,124,-0.20%,-0.97%,5.12%,23.52%,17.26%,Sep/19
Peru General,34938,101,0.29%,1.89%,5.80%,20.64%,21.64%,Aug/29
Merval,1687835,"7,695",-0.45%,-4.09%,-18.93%,-33.38%,-7.41%,Sep/19
IBC,968,4,-0.43%,-4.15%,36.29%,710.49%,895.76%,Sep/19
COLCAP,1858,35,1.91%,0.68%,0.15%,34.69%,40.68%,Sep/19
IGPA,45323,256,-0.56%,0.51%,2.38%,34.55%,41.42%,Sep/17
BVPSI,531,1,0.18%,0.10%,3.68%,13.90%,20.28%,Sep/19
BSX,2757,0,0.00%,0.00%,-7.30%,10.36%,7.21%,Sep/12
JSE,318730,1,0.00%,0.24%,1.74%,-5.08%,4.26%,Sep/19
US1000,3649.25,15.82,0.44%,1.23%,4.38%,13.29%,17.18%,Sep/19
