Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDNGN,1492.810,2.520,-0.17%,-0.63%,-2.89%,-3.32%,-8.94%,Sep/19
USDZAR,17.3473,0.0054,0.03%,-0.24%,-1.77%,-7.97%,-0.43%,Sep/19
USDZMW,23.6500,0.0750,0.32%,-0.11%,1.44%,-15.55%,-10.70%,Sep/19
USDEGP,48.1700,0.0200,-0.04%,0.02%,-0.84%,-5.16%,-0.60%,Sep/19
USDDZD,129.583,0.191,0.15%,-0.12%,-0.24%,-4.25%,-2.05%,Sep/19
USDAOA,922.738,4.083,0.44%,0.44%,0.63%,0.01%,-1.89%,Sep/19
USDMAD,9.02640,0.01220,0.14%,0.16%,0.24%,-10.78%,-6.94%,Sep/19
USDSDG,601.500,1.279,0.21%,0.20%,0.20%,0.45%,0.44%,Sep/19
USDKES,129.200,0.000,0.00%,0.00%,0.00%,0.27%,0.12%,Sep/19
USDETB,143.5754,0.0492,0.03%,-0.38%,1.20%,12.52%,23.69%,Sep/19
USDTZS,2475.00,0.00,0.00%,0.61%,-1.20%,2.06%,-9.21%,Sep/19
USDTND,2.91040,0.01630,0.56%,0.32%,0.92%,-8.72%,-3.98%,Sep/19
USDLYD,5.39510,0.00180,0.03%,-0.30%,-0.46%,10.02%,13.57%,Sep/19
USDGHS,12.27510,0.00510,0.04%,0.62%,12.18%,-16.50%,-21.96%,Sep/19
USDCDF,2855.00,75.00,2.70%,-1.64%,-1.38%,-0.05%,0.53%,Sep/18
USDUGX,3503.43,0.06,0.00%,-0.35%,-1.60%,-4.61%,-5.46%,Sep/19
USDMZN,63.9100,0.0000,0.00%,0.00%,0.00%,0.01%,0.01%,Sep/19
USDBWP,14.1653,0.0000,0.00%,0.06%,-0.78%,1.42%,8.36%,Sep/19
USDXAF,557.927,6.288,-1.11%,-1.96%,-2.20%,-12.86%,-5.11%,Sep/19
USDNAD,17.3425,0.0178,-0.10%,-0.27%,-1.88%,-7.91%,-1.24%,Sep/19
USDSSP,4554.222,1.167,0.03%,0.15%,0.48%,17.28%,44.83%,Sep/18
USDMUR,45.3500,0.0900,0.20%,-0.29%,-1.28%,-3.10%,-1.16%,Sep/19
USDMGA,4422.86,10.66,0.24%,-1.07%,0.35%,-5.74%,-2.24%,Sep/19
USDRWF,1450.02,0.63,-0.04%,-0.01%,0.42%,5.90%,7.53%,Sep/19
USDGNF,8675.00,0.50,0.01%,0.02%,0.06%,0.85%,0.38%,Sep/19
USDMRO,40.0000,0.0000,0.00%,-0.03%,0.15%,0.58%,0.68%,Sep/19
USDSLL,23126.4,0.0,0.00%,-1.08%,-0.83%,1.09%,2.47%,Sep/19
USDXOF,557.927,3.927,0.71%,-0.15%,-0.72%,-10.98%,-5.11%,Sep/19
USDMWK,1733.670,0.000,0.00%,0.00%,0.00%,0.00%,-0.04%,Sep/19
USDERN,15.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/19
USDSZL,17.3572,0.0075,0.04%,-0.22%,-1.80%,-7.77%,-1.20%,Sep/19
USDBIF,2984.92,0.34,0.01%,0.02%,0.08%,0.93%,2.94%,Sep/19
USDLSL,17.3425,0.0178,-0.10%,-0.12%,-1.88%,-7.91%,-1.24%,Sep/19
USDLRD,178.000,1.000,0.57%,0.06%,-11.22%,-3.52%,-11.00%,Sep/18
USDCVE,94.0276,0.1970,0.21%,-0.42%,-0.90%,-11.86%,-5.13%,Sep/19
USDDJF,178.080,0.000,0.00%,0.00%,0.00%,0.27%,0.20%,Sep/19
USDSCR,14.3399,0.1139,-0.79%,0.53%,-1.98%,0.62%,7.91%,Sep/19
USDSOS,571.660,0.160,0.03%,0.03%,0.03%,0.64%,0.64%,Sep/19
USDGMD,73.4000,0.0000,0.00%,0.10%,0.72%,1.73%,4.41%,Sep/19
USDKMF,418.000,0.380,0.09%,-0.73%,-1.07%,-11.81%,-5.29%,Sep/19
USDSTD,21.0680,0.0732,0.35%,-0.17%,-0.83%,-11.87%,-4.07%,Sep/19
USDZIG,26.570,0.015,0.06%,-0.59%,-0.70%,2.99%,90.08%,Sep/19
