Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
GB100,9217,11,-0.12%,-0.72%,-0.77%,12.77%,11.99%,Sep/19
DE40,23639,35,-0.15%,-0.25%,-2.63%,18.74%,26.28%,Sep/19
FR40,7854,1,-0.01%,0.36%,-1.50%,6.41%,4.71%,Sep/19
IT40,41957,346,-0.82%,-1.43%,-2.12%,22.73%,24.27%,Sep/19
ES35,15261,85,0.56%,-0.31%,-0.21%,31.61%,29.84%,Sep/19
MOEX,2746,48,-1.70%,-3.30%,-6.62%,-4.75%,-1.31%,Sep/19
NL25,930,3,-0.36%,2.32%,2.33%,5.84%,3.61%,Sep/19
BIST 100,11180,132,1.19%,7.79%,0.41%,13.73%,12.93%,Sep/19
CH20,12110,61,0.50%,-0.69%,-1.36%,4.39%,1.47%,Sep/19
Stockholm,2646,12,0.44%,0.42%,-0.33%,6.58%,2.61%,Sep/19
WIG,105381,184,-0.17%,-0.97%,-4.89%,32.43%,28.89%,Sep/19
BE20,4709,11,0.23%,-1.39%,-2.28%,10.42%,11.71%,Sep/19
Oslo,1896,4,-0.21%,-0.08%,0.20%,15.29%,17.21%,Sep/19
ATX,4629,7,-0.15%,-0.41%,-3.74%,26.36%,28.03%,Sep/19
Copenhagen,1619,17,-1.05%,4.58%,3.14%,-22.97%,-38.29%,Sep/19
Helsinki,10997,15,-0.13%,-0.92%,0.83%,16.07%,10.24%,Sep/19
Helsinki 25,5002,12,-0.24%,-1.06%,0.90%,15.90%,9.90%,Sep/19
ISEQ,11177,36,-0.32%,-2.22%,-4.28%,14.55%,12.65%,Sep/19
Athens General,2030,3,0.17%,-1.56%,-3.18%,38.16%,42.47%,Sep/19
PSI Geral,5062,19,-0.38%,-0.70%,-3.02%,22.10%,9.64%,Sep/19
PSI,7704,22,-0.29%,-0.57%,-3.53%,20.81%,14.71%,Sep/19
PX,2277,7,-0.30%,-0.71%,-1.46%,29.34%,43.43%,Sep/19
BET,20902,32,0.16%,1.21%,1.38%,25.00%,18.56%,Sep/18
BUX,100099,464,0.47%,-1.09%,-5.65%,26.19%,36.90%,Sep/19
PFTS,463,0,0.00%,0.00%,0.00%,-7.87%,-8.65%,Sep/19
SAX,271,1,0.55%,0.19%,-1.73%,-8.22%,-6.90%,Sep/19
LuxX,1631,8,-0.48%,0.58%,1.28%,25.05%,17.96%,Sep/19
CROBEX,3842,19,0.50%,-0.26%,3.51%,20.39%,31.43%,Sep/19
SOFIX,1066,3,-0.30%,-1.12%,0.46%,19.35%,24.30%,Sep/19
SBITOP,2484,9,0.36%,-1.16%,0.95%,48.76%,53.54%,Sep/19
Vilnius,1228,3,-0.20%,-0.38%,0.74%,15.29%,22.47%,Sep/19
BELEX 15,1223,0,0.00%,0.01%,-0.24%,6.67%,9.71%,Sep/19
EU600,554.12,0.89,-0.16%,-0.13%,-0.89%,9.16%,7.75%,Sep/19
EU100,1633,0,-0.02%,1.03%,0.62%,12.33%,10.79%,Sep/19
EU50,5460,3,0.05%,1.28%,-0.23%,11.51%,12.07%,Sep/19
EU350,2249.47,17.80,0.80%,-0.05%,-0.35%,9.10%,6.29%,Sep/18
SASX-10,1481,2,0.16%,0.30%,0.75%,20.29%,30.26%,Sep/19
CSE General,289,1,0.29%,-0.57%,0.13%,34.35%,54.87%,Sep/19
Tallinn,1959,4,-0.18%,-1.36%,-3.35%,13.03%,15.77%,Sep/19
Riga,908,5,-0.57%,-0.94%,-1.24%,4.47%,2.37%,Sep/19
ICEX,2097,8,-0.36%,-1.35%,0.82%,-12.20%,4.07%,Sep/19
MBI 10,10440,2,-0.02%,-0.23%,0.23%,2.34%,19.33%,Sep/19
MSE,3819,19,0.51%,0.60%,-0.88%,1.40%,0.64%,Sep/18
Monex,17979.94,256.49,-1.41%,-2.45%,2.66%,9.41%,16.54%,Sep/19
DE Mid,30195.88,274.83,-0.90%,0.07%,-2.21%,18.00%,16.84%,Sep/19
DE Small,16942.67,10.83,0.06%,2.30%,-0.43%,23.57%,23.93%,Sep/19
Euro Stoxx Banks,232.99,2.28,0.99%,0.08%,-0.74%,59.54%,59.57%,Sep/19
