Crypto,Price,Day,Weekly,Monthly,YTD,YoY,MarketCap,Date
Bitcoin,113647,2116,1.90%,1.72%,-4.31%,21.76%,97.84%,"$2,191,791M"
Ether,4378.10,69.8,1.62%,-1.74%,3.42%,31.28%,86.66%,"$674,799M"
Binance,901.3,23.6,2.68%,5.32%,12.07%,29.15%,71.03%,"$119,229M"
Cardano,0.88582,0.02120,2.45%,5.88%,14.51%,5.19%,151.81%,"$30,260M"
Solana,223.4428,6.3128,2.91%,6.05%,27.66%,18.23%,68.53%,"$102,608M"
Ripple,2.99924,0.05284,1.79%,5.40%,-4.29%,44.55%,459.88%,"$170,523M"
Polkadot,4.16,0.02,0.58%,7.78%,7.71%,-37.07%,-0.64%,"$6,058M"
Avalanche,28.42,2.49,9.61%,12.87%,24.33%,-20.01%,21.93%,"$9,922M"
Polygon,0.27,0.00,0.22%,-4.25%,14.70%,-39.93%,-27.74%,$474M
Cosmos,4.68,0.09,2.01%,3.52%,4.24%,-24.17%,12.38%,"$2,061M"
Dai,0.99970,0.00020,-0.02%,-0.03%,-0.01%,-0.04%,0.01%,"$5,364M"
Litecoin,114.471,2.531,2.26%,1.30%,-4.70%,11.45%,84.24%,"$8,308M"
Uniswap,9.69,0.15,1.60%,0.07%,-13.06%,-26.68%,43.28%,"$6,124M"
Algorand,0.24,0.01,2.70%,2.03%,-5.01%,-29.31%,89.25%,"$2,233M"
Bitcoin Cash,584.00,3.08,0.53%,-3.37%,0.83%,34.59%,73.03%,"$10,957M"
Stellar,0.38275,0.01100,2.96%,5.71%,-11.15%,15.48%,311.82%,"$12,068M"
Monero,268.710,2.260,0.85%,-0.71%,0.33%,39.43%,54.87%,"$4,967M"
Chainlink,23.6942,0.6464,2.80%,-0.03%,12.25%,18.94%,127.65%,"$16,051M"
Tether,1.00,0.00,0.00%,-0.03%,0.00%,0.20%,-0.01%,"$167,129M"
USD Coin,1.00,0.00,0.00%,-0.01%,-0.02%,-0.01%,-0.01%,"$67,393M"
Sui,3.59,0.12,3.49%,5.99%,-1.79%,-12.94%,285.96%,"$11,912M"
Toncoin,3.13,0.03,0.99%,-1.58%,-7.11%,-43.24%,-41.97%,"$7,989M"
Tron,0.3383,0.0032,0.96%,-0.66%,-1.93%,32.83%,120.55%,"$33,329M"
