Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
US500,6544.47,31.86,0.49%,1.48%,2.68%,11.26%,17.82%,14:38
US30,45661,50,-0.11%,0.81%,3.78%,7.27%,11.69%,14:38
US100,23908,68,0.29%,2.18%,1.69%,13.86%,24.37%,14:38
JP225,43951,492,1.13%,4.76%,2.85%,10.13%,23.34%,14:38
GB100,9236,7,-0.07%,0.61%,1.15%,12.99%,12.70%,14:38
DE40,23707,11,-0.05%,0.47%,-1.56%,19.07%,29.32%,Sep/10
FR40,7775,26,0.33%,0.71%,0.99%,5.34%,5.11%,Sep/10
IT40,41977,31,-0.07%,0.46%,0.95%,22.79%,26.53%,Sep/10
ES35,15198,174,1.16%,2.76%,2.30%,31.07%,34.75%,Sep/10
ASX200,8780,23,-0.27%,0.49%,-0.72%,7.62%,9.93%,14:38
SHANGHAI,3812,5,0.13%,-0.04%,4.51%,13.74%,40.06%,Sep/10
SENSEX,81425,324,0.40%,1.06%,1.02%,4.21%,-0.12%,Sep/10
TSX,29160,97,0.33%,1.90%,4.99%,17.92%,26.77%,Sep/10
MOEX,2918,18,-0.60%,1.78%,-1.54%,1.23%,9.39%,Sep/10
IBOVESPA,142227,609,0.43%,1.35%,4.87%,18.24%,5.89%,Sep/10
IPC,60833,154,0.25%,1.78%,4.23%,22.73%,19.30%,14:38
NL25,906,1,-0.16%,2.03%,1.36%,3.15%,2.46%,Sep/10
CH20,12251,30,-0.24%,0.40%,3.19%,5.59%,2.74%,14:38
SAALL,103419,191,0.19%,1.88%,2.77%,22.98%,27.95%,Sep/10
STI,4346,49,1.14%,1.33%,2.69%,14.76%,23.09%,Sep/10
HK50,26151,213,0.82%,3.13%,4.94%,30.29%,52.76%,14:38
NZX 50,13276,23,0.17%,1.54%,2.82%,1.26%,5.10%,Sep/10
EU50,5377,9,0.16%,0.97%,0.84%,9.81%,12.87%,Sep/10
BIST 100,10519,33,0.31%,-2.04%,-4.71%,7.00%,11.67%,Sep/10
Stockholm,2635,2,0.07%,1.43%,1.68%,6.09%,5.80%,14:38
WIG,105873,768,-0.72%,1.35%,-3.83%,33.04%,32.55%,Sep/10
BE20,4807,1,0.02%,1.46%,1.70%,12.73%,14.58%,Sep/10
Oslo,1893,9,0.46%,1.60%,1.86%,15.08%,18.99%,Sep/10
ATX,4656,9,0.19%,1.37%,-1.39%,27.10%,30.18%,Sep/09
Copenhagen,1539,13,0.83%,-2.37%,2.40%,-26.80%,-42.80%,Sep/10
Helsinki,11050,38,0.34%,2.48%,2.96%,16.63%,13.11%,Sep/10
Helsinki 25,5030,17,0.33%,2.41%,3.08%,16.52%,12.95%,14:38
ISEQ,11451,31,0.27%,1.36%,0.34%,17.36%,19.19%,Sep/10
Athens General,2021,7,0.33%,-0.53%,-4.03%,37.54%,43.00%,Sep/10
PSI Geral,5067,17,0.34%,0.80%,0.43%,22.20%,7.89%,Sep/10
PSI 20,7699,12,0.15%,0.66%,-0.59%,20.73%,13.55%,Sep/10
PX,2281,0,0.00%,0.93%,-0.28%,29.59%,45.73%,Sep/10
BET,20572,123,-0.59%,1.43%,-1.69%,23.03%,17.74%,Sep/09
BUX,102566,87,-0.09%,-0.54%,-1.56%,29.30%,42.84%,Sep/10
PFTS,463,0,0.00%,0.00%,0.00%,-7.87%,-8.65%,Sep/09
SAX,270,0,0.00%,0.00%,-2.61%,-8.40%,-11.45%,Sep/09
LuxX,1607,11,-0.68%,2.02%,0.58%,23.25%,18.69%,Sep/10
CROBEX,3803,24,0.64%,2.15%,2.03%,19.18%,28.76%,Sep/10
SOFIX,1081,5,-0.43%,-0.22%,2.75%,21.09%,24.96%,Sep/09
SBITOP,2503,27,-1.08%,1.84%,2.26%,49.93%,55.71%,Sep/10
Vilnius,1230,4,-0.34%,0.00%,1.77%,15.43%,23.62%,Sep/10
BELEX 15,1223,1,-0.07%,1.20%,0.64%,6.68%,10.71%,Sep/10
EU600,552.39,0.35,0.06%,1.70%,1.03%,8.82%,8.75%,Sep/09
EU100,1606,6,0.34%,1.44%,1.76%,10.49%,10.75%,Sep/10
EU350,2238.97,1.42,0.06%,1.69%,1.34%,8.59%,8.60%,Sep/09
SASX-10,1475,0,0.00%,-0.53%,1.17%,19.80%,31.19%,Sep/10
CSE General,291,1,0.39%,-0.68%,0.61%,35.20%,56.71%,Sep/09
Tallinn,1999,1,-0.07%,-0.39%,-1.83%,15.37%,17.95%,Sep/10
Riga,916,2,-0.21%,-0.53%,-0.03%,5.42%,4.44%,Sep/10
ICEX,2104,18,0.87%,1.72%,-0.75%,-11.92%,6.34%,Sep/10
MBI 10,10442,4,-0.04%,0.11%,-0.61%,2.36%,21.26%,Sep/10
MSE,3790,24,-0.63%,-0.30%,-2.70%,0.62%,0.01%,Sep/09
Monex,18153.01,0.66,0.00%,-0.17%,3.35%,10.46%,20.24%,Sep/10
DE Mid,30225.28,101.25,-0.33%,1.66%,-3.38%,18.12%,20.39%,Sep/10
DE Small,16578.76,16.76,-0.10%,0.68%,-3.58%,20.91%,25.14%,Sep/10
Euro Stoxx Banks,230.49,1.53,0.67%,3.11%,0.15%,57.83%,66.00%,Sep/10
Ecuador General,1323,1,-0.04%,0.91%,2.23%,12.21%,16.62%,Sep/08
Peru General,34938,101,0.29%,1.89%,5.80%,20.64%,21.64%,Aug/29
Merval,1728447,"4,477",-0.26%,-12.52%,-24.96%,-31.78%,0.77%,Sep/09
IBC,1004,14,-1.40%,15.88%,64.05%,740.72%,914.69%,Sep/09
COLCAP,1868,3,-0.17%,2.12%,3.04%,35.40%,42.20%,Sep/09
IGPA,45224,83,0.18%,-0.53%,4.96%,34.26%,42.43%,Sep/10
BVPSI,522,0,0.00%,0.43%,4.09%,11.99%,18.26%,Sep/09
BSX,2757,0,0.00%,-7.39%,-7.43%,10.36%,7.21%,Sep/09
JSE,317640,837,-0.26%,-0.24%,3.14%,-5.41%,3.10%,Sep/09
US1000,3568.41,7.93,0.22%,1.55%,2.46%,10.78%,19.12%,Sep/09
CSI 300,4445,9,0.21%,-0.32%,7.83%,12.97%,39.52%,Sep/10
SHANGHAI 50,2940,11,0.37%,-0.72%,5.37%,9.49%,32.37%,Sep/10
CH50,14844.30,71.47,0.48%,0.16%,6.54%,9.85%,31.91%,Sep/10
DSE Broad,5473,65,-1.18%,-2.81%,2.42%,4.92%,-4.21%,Sep/10
JCI,7699,70,0.92%,-2.37%,1.22%,8.74%,-0.80%,Sep/10
TASI,10498,31,-0.30%,-1.14%,-2.72%,-12.78%,-10.78%,Sep/10
Taiwan Stock Market Index,25193,337,1.36%,4.53%,4.38%,9.37%,19.79%,Sep/10
ADX General,9927,27,-0.27%,-1.23%,-3.64%,5.39%,6.48%,Sep/10
SET 50,826,0,-0.04%,0.34%,-0.46%,-8.83%,-7.52%,Sep/10
FKLCI,1591,4,0.25%,0.77%,1.76%,-3.14%,-2.99%,Sep/10
TA-125,3203,2,-0.05%,4.10%,6.98%,31.96%,57.51%,Sep/10
PSEi,6120,3,-0.04%,0.61%,-2.15%,-6.26%,-11.88%,Sep/10
KSE 100,157132,568,0.36%,3.24%,6.94%,36.49%,99.78%,Sep/10
KASE,7108,4,-0.05%,-0.32%,6.11%,27.42%,37.75%,Sep/10
QE,11077,30,-0.27%,-0.59%,-2.59%,4.79%,8.09%,Sep/10
HNX,274.60,0.22,-0.08%,-2.87%,-0.67%,20.74%,18.64%,Sep/10
VN,1643,6,0.36%,-2.26%,2.91%,29.72%,31.12%,Sep/10
MSM 30,5089,16,0.32%,-1.35%,4.64%,11.20%,7.71%,Sep/10
ASPI,20769,95,0.46%,-0.98%,4.25%,30.26%,96.40%,Sep/10
Blom,1834,3,-0.19%,-2.95%,-9.18%,-27.15%,-1.60%,Sep/10
ASE,2983,4,-0.12%,0.27%,0.88%,19.86%,23.37%,Sep/10
LSX Composite,1416,7,-0.51%,-2.21%,-6.22%,23.10%,39.84%,Sep/10
MSE 20,48465,831,-1.69%,-0.35%,-1.15%,-5.52%,-0.04%,Sep/10
DFM General,5923,35,-0.59%,-0.86%,-3.75%,14.81%,36.26%,Sep/10
Kuwait All Share,8712.18,72.42,0.84%,1.99%,0.73%,18.33%,21.10%,Sep/09
JPVIX,24.35,0.25,-1.02%,-1.50%,-1.26%,11.75%,-14.05%,Sep/10
NIFTY 50,24973,105,0.42%,1.04%,1.58%,5.62%,0.22%,Sep/10
TEDPIX,2523000.00,0.00,0.00%,0.00%,-2.55%,-9.51%,20.82%,Sep/03
Estirad,1942.32,4.35,-0.22%,0.47%,0.23%,-2.20%,-0.60%,Sep/10
Australia All Ordinaries,9095,15,0.16%,0.94%,-0.25%,8.01%,10.98%,Sep/10
AU50,8537,46,0.54%,1.04%,-0.81%,6.43%,8.07%,Sep/10
NSE-All Share,140268,472,0.34%,1.53%,-3.89%,36.28%,45.03%,14:38
SA40,96064,219,0.23%,1.99%,2.99%,27.44%,31.20%,14:38
EGX 30,34670,284,0.83%,-0.26%,-3.45%,16.58%,13.73%,Sep/10
CFG 25,19895,374,1.92%,-1.25%,0.26%,34.67%,42.86%,Sep/10
Nairobi 20,3036,34,1.13%,4.18%,17.18%,50.99%,76.21%,Sep/10
Nairobi All Share,179,1,0.71%,2.04%,10.24%,44.78%,67.60%,Sep/10
DSEI,2537,8,-0.31%,-1.39%,-0.92%,18.57%,20.17%,Sep/10
TUN,11919,26,-0.22%,-0.37%,0.47%,19.74%,21.88%,Sep/10
GGSECI,7173,0,0.00%,-2.02%,-3.23%,46.72%,64.45%,Sep/10
SEMDEX,2451,9,0.37%,0.48%,0.83%,2.00%,6.78%,Sep/10
USE All Share,1430.46,7.17,0.50%,-0.43%,4.85%,19.72%,35.04%,Sep/09
