Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
United States,4.0620,0.0250,-0.16%,-0.23%,-0.51%,0.40%,Sep/10
United Kingdom,4.6360,0.0113,-0.11%,0.07%,0.07%,0.86%,Sep/10
Japan,1.5680,0.0031,-0.07%,0.08%,0.47%,0.71%,Sep/10
Australia,4.2640,0.0100,-0.17%,0.01%,-0.10%,0.41%,Sep/10
Germany,2.6544,0.0100,-0.09%,-0.04%,0.29%,0.56%,Sep/10
Brazil,13.8750,0.1130,-0.19%,0.05%,-1.27%,2.06%,Sep/09
Russia,13.7100,0.0900,-0.20%,-0.10%,-1.51%,-1.58%,Sep/09
India,6.4770,0.0090,-0.08%,0.05%,-0.32%,-0.36%,Sep/10
Canada,3.2010,0.0360,-0.19%,-0.20%,-0.03%,0.28%,Sep/10
Italy,3.5000,0.0106,-0.14%,-0.01%,-0.02%,0.04%,14:38
France,3.4640,0.0073,-0.08%,0.11%,0.27%,0.65%,Sep/10
South Africa,9.4750,0.0100,-0.17%,-0.20%,0.44%,0.48%,Sep/10
Switzerland,0.2550,0.0080,-0.07%,0.01%,0.00%,-0.17%,Sep/10
Mexico,8.7340,0.0100,-0.04%,-0.29%,-1.68%,-0.77%,Sep/09
Netherlands,2.8300,0.0001,-0.09%,-0.03%,0.23%,0.43%,14:38
New Zealand,4.3470,0.0220,-0.14%,-0.07%,-0.08%,0.20%,Sep/10
Portugal,3.0780,0.0170,-0.11%,-0.02%,0.24%,0.35%,Sep/10
South Korea,2.8340,0.0100,-0.08%,0.05%,-0.04%,-0.11%,Sep/10
Spain,3.2360,0.0080,-0.11%,-0.02%,0.17%,0.31%,Sep/10
Greece,3.3390,0.0040,-0.14%,-0.04%,0.14%,0.19%,Sep/10
Turkey,32.9300,2.3600,0.35%,1.49%,3.38%,3.51%,Sep/10
Finland,3.0370,0.0020,-0.09%,-0.03%,0.28%,0.47%,Sep/10
Lithuania,3.5890,0.0130,-0.03%,0.05%,0.36%,0.25%,Sep/10
Norway,3.9350,0.0340,-0.10%,0.02%,0.09%,0.74%,Sep/10
Poland,5.4740,0.0110,0.02%,0.06%,-0.39%,0.21%,Sep/10
Romania,7.6500,0.0200,0.04%,0.42%,0.31%,0.86%,Sep/10
Slovakia,3.4600,0.0010,-0.12%,-0.03%,0.26%,0.28%,Sep/10
Slovenia,3.0050,0.0150,-0.19%,-0.07%,-0.02%,0.13%,Sep/10
Sweden,2.4690,0.0050,-0.09%,0.08%,0.14%,0.63%,Sep/10
Hungary,7.1600,0.0200,-0.08%,0.14%,0.60%,0.91%,Sep/10
Iceland,6.9030,0.0110,-0.10%,-0.15%,0.01%,-0.03%,Sep/10
Ireland,2.8840,0.0174,-0.12%,-0.06%,0.25%,0.36%,Sep/10
Austria,2.9810,0.0055,-0.07%,-0.02%,0.21%,0.36%,14:38
Belgium,3.2050,0.0078,-0.10%,0.01%,0.24%,0.51%,14:38
Croatia,3.0690,0.0400,-0.07%,-0.08%,0.11%,-0.23%,Sep/08
Czech Republic,4.3260,0.0050,-0.01%,0.01%,0.19%,0.65%,Sep/10
Denmark,2.4850,0.0134,-0.10%,-0.08%,0.40%,0.45%,Sep/10
Euro area,3.14,0.01,-0.14%,-0.01%,0.19%,0.26%,Sep/09
Peru,5.9500,0.0400,-0.06%,-0.29%,-0.67%,-0.55%,Aug/14
Chile,5.5600,0.0400,-0.06%,-0.03%,-0.28%,0.19%,Sep/08
Colombia,11.3930,0.1070,-0.04%,-0.42%,-0.18%,1.73%,Sep/09
China,1.8130,0.0130,0.04%,0.10%,0.13%,-0.25%,Sep/10
Singapore,1.8150,0.0280,-0.09%,-0.15%,-1.05%,-0.70%,Sep/10
Taiwan,1.3750,0.0050,-0.02%,-0.01%,-0.30%,-0.15%,Sep/09
Thailand,1.2300,0.0050,-0.05%,-0.21%,-1.04%,-1.34%,Sep/09
Vietnam,3.6800,0.0100,-0.01%,0.18%,0.56%,0.87%,Sep/10
Hong Kong,3.0500,0.0430,-0.04%,0.04%,-0.76%,0.34%,Sep/10
Indonesia,6.4340,0.0300,0.06%,0.03%,-0.53%,-0.11%,Sep/10
Israel,4.1180,0.0320,-0.11%,-0.13%,-0.38%,-0.75%,Sep/10
Malaysia,3.4070,0.0030,0.00%,0.03%,-0.42%,-0.37%,Sep/10
Pakistan,11.9940,0.0040,-0.01%,0.00%,-0.17%,-1.26%,Sep/10
Philippines,5.9620,0.0020,-0.06%,-0.11%,-0.26%,-0.17%,Sep/10
Zambia,19.5100,0.0000,0.00%,-0.02%,-2.65%,-6.89%,Sep/09
Kenya,13.4300,0.0100,-0.01%,-0.10%,-0.91%,-3.47%,Sep/09
Nigeria,16.6270,0.0020,-0.38%,0.95%,-5.11%,-2.86%,Sep/08
