Commodity,Price,Day,Weekly,Monthly,YTD,YoY,Date
Crude Oil USD/Bbl,63.117,0.487,0.78%,-1.33%,-1.32%,-11.99%,-6.23%
Brent USD/Bbl,66.886,0.496,0.75%,-1.06%,0.38%,-10.39%,-5.27%
Natural gas USD/MMBtu,3.0449,0.0721,-2.31%,-0.72%,2.97%,-16.27%,34.00%
Gasoline USD/Gal,1.9977,0.0003,-0.02%,-0.61%,-3.99%,-0.73%,5.15%
Heating Oil USD/Gal,2.3177,0.0022,-0.09%,-1.83%,1.17%,0.02%,10.77%
Coal USD/T,103.85,1.95,-1.84%,-4.55%,-7.48%,-17.09%,-25.15%
TTF Gas EUR/MWh,33.09,0.41,1.24%,3.06%,0.29%,-34.41%,-8.47%
UK Gas GBp/thm,81.1038,0.3238,0.40%,3.26%,-0.29%,-35.39%,-6.90%
Ethanol USD/Gal,1.9900,0.0000,0.00%,-2.45%,11.80%,17.75%,15.70%
Naphtha USD/T,559.32,5.00,0.90%,-2.35%,0.88%,-8.53%,-6.12%
Uranium USD/Lbs,76.7500,0.2000,-0.26%,0.20%,6.30%,5.14%,-3.46%
Propane USD/Gal,0.71,0.01,1.47%,-1.02%,5.03%,-8.61%,12.42%
Methanol CNY/T,2245.00,2.00,-0.09%,0.85%,-6.03%,-18.87%,-4.63%
Coking Coal CNY/T,190.00,0.67,0.35%,1.33%,-5.00%,-5.94%,4.40%
Germany Natural Gas THE EUR/MWh,34.57,0.18,-0.53%,2.40%,-0.21%,-30.68%,-2.80%
Urals Oil USD/Bbl,60.82,0.70,1.16%,-2.23%,-3.18%,-11.22%,-5.35%
Gold USD/t.oz,3650.14,22.9,0.63%,2.64%,9.28%,39.21%,45.44%
Silver USD/t.oz,41.217,0.337,0.82%,0.13%,9.63%,42.82%,43.85%
Copper USD/Lbs,4.5295,0.0308,0.68%,-0.24%,2.09%,13.84%,10.31%
Steel CNY/T,3046.00,9.00,0.30%,0.33%,-6.19%,-7.98%,1.20%
Lithium CNY/T,74593,22,-0.03%,-3.77%,0.12%,-0.61%,4.33%
Iron Ore CNY CNY/T,807.50,9.00,1.13%,3.99%,1.57%,3.66%,16.35%
Platinum USD/t.oz,1390.60,18.4,1.34%,-3.03%,4.55%,55.69%,45.60%
HRC Steel USD/T,803.98,7.94,1.00%,0.62%,-3.72%,13.40%,14.85%
Iron Ore USD/T,106.08,1.15,1.10%,3.46%,4.04%,2.38%,16.21%
Silicon CNY/T,8205.00,170.00,-2.03%,-2.44%,-8.43%,-27.39%,-34.52%
Scrap Steel USD/T,342.00,1.50,-0.44%,-0.87%,-2.43%,%,-4.87%
Titanium CNY/KG,49.01,0.01,0.02%,0.02%,0.02%,10.13%,11.39%
Soybeans USd/Bu,1010.23,1.27,-0.13%,-0.57%,1.86%,1.20%,0.97%
Wheat USd/Bu,497.59,3.16,-0.63%,-1.17%,-3.28%,-9.68%,-14.01%
Lumber USD/1000 board feet,529.00,2.50,0.47%,-0.19%,-16.89%,-3.83%,9.97%
