Company,Price,Chg,%Chg,YoY
Oracle ORCL,325.56,84.05,34.80%,108.89%
Realty Income O,324.20,28.20,9.53%,417.35%
Broadcom AVGO,359.55,22.91,6.81%,142.58%
Constellation Energy CEG,315.10,14.28,4.75%,68.17%
Henry Schein HSIC,70.44,2.79,4.12%,5.06%
Digital Realty DLR,170.17,6.19,3.77%,7.42%
Paramount Global PARA,15.77,0.57,3.75%,58.02%
