Ticker,Weighted IV (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),Weighted IV 1d (%),Weighted IV 1w (%),Volume,Open Interest,Volume 1d (%),Volume 1w (%),OI 1d (%),OI 1w (%),Latest Close,Latest High,Latest Low,Close 1d (%),Close 1w (%),High 1d (%),High 1w (%),Low 1d (%),Low 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Realised Volatility 30d (%),Realised Volatility 60d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (1y),Max Realised Volatility 100d (1y),Mean Realised Volatility 100d (1y),Rvol 100d Percentile (%),Rvol 100d Z-Score Percentile (%),Rvol100d - Weighted IV,Realised Volatility 180d (%),Realised Volatility 252d (%),Rank
PPL,,,,,,,1922,48396,-3.1738035264483626,,-9.533423059668014,,36.470001220703125,36.68000030517578,36.40499877929688,175.2452922317217,,174.75654874204287,,178.75189593880074,,,,,15.980639712570133,15.603889990257397,17.180701810284006,-3.276888331840578,,13.47223764682488,21.627434720868266,17.804393345760136,40.23904382470119,40.250966312912375,-inf,18.925648188051756,18.27292636554822,1
OPK,,,,,,,800,75822,-34.372436423297785,,-0.8590593496253873,,1.3799999952316284,1.409999966621399,1.3746000528335571,-89.58490569636507,,-89.43820279901618,,-89.47473193975671,,,,,44.99305761605848,35.85289633132865,40.8416020655659,0.4749273382848719,,32.93805943836231,45.933350406679,41.04354055493409,35.0597609561753,47.40717474674452,-inf,39.683007656061136,39.44953896029012,2
EQX,,,,,,,14877,253013,454.6979865771812,58.95929052249171,0.2067400422193266,0.949595623880335,8.760000228881836,8.760000228881836,8.239999771118164,-33.886790725420106,,-34.38202263244108,,-36.906588772069874,,,,,52.39237822290749,47.33816792110449,49.71400453429152,0.3985404830412522,,46.332531098031794,57.96779895101666,52.590401947335394,27.88844621513944,20.216132871652885,-inf,52.41201314762346,52.95705210787267,3
TTWO,,,,,,,9690,97081,26.633559853633038,,0.968278731149246,,233.2700042724609,235.8699951171875,232.60499572753903,1660.5283341317804,,1666.816392339459,,1681.0489146551329,,,,,23.787598770905,21.63022853681821,28.877047322101163,-0.15208573491167143,,21.911052023994177,38.70788986754922,29.191571374857993,43.82470119521912,47.74597378999616,-inf,31.974052127615195,29.572588407677685,4
XOM,,,,,,,70410,924400,36.612339930151336,,1.05780541452941,,114.29000091552734,114.79000091552734,113.58000183105467,762.5660446454895,,759.8501695540018,,769.6783934283224,,,,,14.49237450497015,20.53516264583757,24.06314684878336,-0.35653172639570524,,19.02705538924485,29.65236580948527,23.81518634243905,59.36254980079681,52.4676759898525,-inf,25.04431733045358,23.96715744895094,5
INSG,,,,,,,905,8026,-22.18400687876182,,1.057668093679174,,12.329999923706056,12.56999969482422,12.135899543762209,-6.943396802218442,,-5.842701605673183,,-7.07581046066775,,,,,84.22520599747237,71.29931546470539,71.81993396547513,-0.0014039431503679335,,63.64183523294108,120.66200221036976,92.19348333507358,32.669322709163346,15.240461668854538,-inf,69.41360804376723,87.95761752570324,6
ETSY,,,,,,,40955,359000,-51.596128163004806,98.64674782946112,-0.14852559146005662,19.624399378886125,53.0099983215332,54.22999954223633,52.84000015258789,300.0754590304393,,306.2172134280197,,304.5941688732251,,,,,57.79538280954034,51.27596375813739,49.55882214362987,-0.031666662331722675,,37.28757008718879,51.84004671749423,43.613734651170944,94.82071713147411,94.62523446371142,-inf,47.86206749902398,45.38906903317435,7
PTCT,,,,,,,1696,28916,1.2537313432835822,100.47281323877068,-0.08983484209798907,2.3575221238938053,49.33000183105469,50.525001525878906,48.95500183105469,272.3019006117335,,278.46442009102407,,274.84686261971405,,,,,57.43144108662756,43.42605870151077,61.93972256762839,-0.0034749586127392237,,47.79417301592176,65.73343123025703,57.98241329146234,71.71314741035857,79.7749016751622,-inf,55.6903418777498,57.66378255686399,8
NET,,,,,,,14817,188051,-30.596280856246196,,3.1699703192464055,,208.7100067138672,214.43359375,206.0,1475.1698619914505,,1506.2441020424344,,1477.3353245117733,,,,,37.71492355396827,37.76176033751212,45.83156171842248,0.5324792642135341,,38.01434791214511,65.24926245394728,50.956615293569506,36.65338645418327,28.119943432723787,-inf,53.733333647735805,50.88470051145048,9
TCOM,,,,,,,8561,76783,-37.57474114044042,,2.8642239935695626,,73.75,75.69000244140625,73.49500274658203,456.6037735849057,,466.96629422173385,,462.7488544042409,,,,,51.72808916552452,43.006433023815084,40.12068153851459,-1.3102431543232338,,35.02217454879356,54.84772713349114,47.172729256896524,17.52988047808765,10.48816118893609,-inf,44.83669949240953,48.23604840357499,10
