Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility,Expiry_dt,Years_to_Expiry,Forward,LogMoneyness,IV_bid,IV_ask,IV_mid,IV_spread,Delta,Ivol/Rvol100d Ratio,Smoothed_IV,TotalVariance,Call Local Vol,Put Local Vol,Realised Vol 100d
GBX,GBX251219P00037500,Put,2025-12-19,37.5,0.7863783210152571,0.75,1.5,1.0,3,45.0,49.0,45.82,0.4992725854492187,2025-12-19,0.29021218343600275,47.686970759297466,-0.24031727790549356,0.43087465674515685,0.5583905305038802,0.4979182602102408,0.12751587375872336,-0.15149622308714683,1.176052402698902,0.4979182602102408,0.07195015728455598,,0.0,0.4233810152231116
GBX,GBX250919C00055000,Call,2025-09-19,55.0,1.1678123303570256,0.0,0.1,1.0,68,45.0,49.0,45.82,0.500005,2025-09-19,0.04106776180698152,47.096608393563805,0.15513219543206322,,0.4653976380544369,0.4089418333986156,,0.03358799249802415,0.9658955378127031,0.4089418333986156,0.006867902386177458,0.1397852617125873,,0.4233810152231116
GBX,GBX251219C00065000,Call,2025-12-19,65.0,1.3630557564264456,0.0,1.45,2.0,79,45.0,49.0,45.82,0.5063525927734375,2025-12-19,0.29021218343600275,47.686970759297466,0.30972905901377845,,0.5812384305841551,0.4674723929498743,,0.13480122543696388,1.1041411308996167,0.4674723929498743,0.06342019560862384,0.0,,0.4233810152231116
GBX,GBX251121C00065000,Call,2025-11-21,65.0,1.3682903627031546,0.0,1.35,1.0,101,45.0,49.0,45.82,0.577152666015625,2025-11-21,0.2135523613963039,47.5045368817682,0.3135620501157632,,0.6660503300308956,0.5386939000138234,,0.12816246811076,1.2723619639155164,0.5386939000138234,0.06197099848636291,0.0,,0.4233810152231116
GBX,GBX251121C00060000,Call,2025-11-21,60.0,1.263037257879835,0.0,0.85,1.0,103,45.0,49.0,45.82,0.5183153637695312,2025-11-21,0.2135523613963039,47.5045368817682,0.23351934244222677,,0.4748485621085028,0.38732053239301756,,0.11214974005204159,0.9148273504632912,0.38732053239301756,0.03203652620241047,0.0,0.0,0.4233810152231116
GBX,GBX250919C00060000,Call,2025-09-19,60.0,1.2739770876622099,0.0,0.1,50.0,142,45.0,49.0,45.82,0.6074258007812501,2025-09-19,0.04106776180698152,47.096608393563805,0.24214357242169307,,0.6618014246888683,0.5895399666116382,,0.024588360343918977,1.3924572557911337,0.5895399666116382,0.01427340337710273,0.3135014648904177,,0.4233810152231116
GBX,GBX250919C00052500,Call,2025-09-19,52.5,1.1147299517044336,0.0,0.75,5.0,162,45.0,49.0,45.82,0.5551802294921876,2025-09-19,0.04106776180698152,47.096608393563805,0.1086121797971704,,0.6495290805238112,0.5047093518288481,,0.15606390925187613,1.1920925447327355,0.5047093518288481,0.010461253791519343,0.0,,0.4233810152231116
GBX,GBX251219C00060000,Call,2025-12-19,60.0,1.2582053136244113,0.0,0.4,142.0,164,45.0,49.0,45.82,0.36133451171875,2025-12-19,0.29021218343600275,47.686970759297466,0.229686351340242,,0.3231802302568582,0.2739832813959358,,0.06912261339053673,0.6471317124400422,0.2739832813959358,0.021785311100220018,0.03646875166241686,,0.4233810152231116
GBX,GBX251121P00027500,Put,2025-11-21,27.5,0.5788920765282577,0.45,1.35,,13,45.0,49.0,45.82,0.9291999267578124,2025-11-21,0.2135523613963039,47.5045368817682,-0.5466392151073484,0.8215937761434593,1.1187797241436583,0.9863653556351358,0.29718594800019904,-0.07676672508207627,2.329734494862376,0.9863653556351358,0.20776864053164623,,0.17153012387366356,0.4233810152231116
GBX,GBX251017P00040000,Put,2025-10-17,40.0,0.8460688609313356,0.25,0.45,4.0,4,45.0,49.0,45.82,0.3774476318359374,2025-10-17,0.11772758384668036,47.277475684389096,-0.1671545267884564,0.3736714656165799,0.4428994544324712,0.4103612857098126,0.06922798881589132,-0.10427370361625188,0.9692481971435637,0.4103612857098126,0.019824899512127722,,0.14424163889610206,0.4233810152231116
GBX,GBX250919C00050000,Call,2025-09-19,50.0,1.0616475730518415,0.0,0.25,7.0,357,45.0,49.0,45.82,0.3632876171875,2025-09-19,0.04106776180698152,47.096608393563805,0.059822015627738444,,0.29884044932568793,0.24043974362345,,0.11441635717129273,0.5679039328127267,0.24043974362345,0.002374179479002479,0.12515207200379533,0.13111204581153502,0.4233810152231116
GBX,GBX251121P00030000,Put,2025-11-21,30.0,0.6315186289399175,0.9,1.65,5.0,5,45.0,49.0,45.82,0.9008798974609374,2025-11-21,0.2135523613963039,47.5045368817682,-0.45962783811771857,0.86060069117965,1.0529187543807934,0.9617479957810708,0.19231806320114342,-0.10448687843507942,2.2715898002045574,0.9617479957810708,0.1975272229331546,,0.0,0.4233810152231116
GBX,GBX250919P00032500,Put,2025-09-19,32.5,0.690070922483697,0.6,1.35,,10,45.0,49.0,45.82,1.5302757861328122,2025-09-19,0.04106776180698152,47.096608393563805,-0.3709609004647159,1.4771093969799134,1.9119479674380881,1.7103749384996696,0.43483857045817476,-0.10683115752625372,4.03980073976237,1.7103749384996696,0.12013890883974326,,0.0,0.4233810152231116
GBX,GBX251219P00042500,Put,2025-12-19,42.5,0.8912287638172913,1.5,2.35,,3,45.0,49.0,45.82,0.395513857421875,2025-12-19,0.29021218343600275,47.686970759297466,-0.11515413495148757,0.3647028280795991,0.46725617450122814,0.41678457451260414,0.10255334642162905,-0.2659405676931572,0.9844196114768365,0.41678457451260414,0.05041257890342276,0.0,0.0,0.4233810152231116
GBX,GBX250919P00030000,Put,2025-09-19,30.0,0.6369885438311049,0.45,1.05,2.0,14,45.0,49.0,45.82,1.650392373046875,2025-09-19,0.04106776180698152,47.096608393563805,-0.45100360813825224,1.5993348997042642,2.0287675811496793,1.8326238735787566,0.429432681445415,-0.08074518644324624,4.328545229202136,1.8326238735787566,0.13792649946656288,,0.3821104674135989,0.4233810152231116
GBX,GBX260320P00030000,Put,2026-03-20,30.0,0.6213143966889187,0.4,1.1,28.0,29,45.0,49.0,45.82,0.5434615966796876,2026-03-20,0.5393566050650239,48.28473339725375,-0.47591805030115436,0.44820334164074144,0.5920176887303121,0.5275699536072617,0.1438143470895707,-0.07750537220870413,1.2460878845246404,0.5275699536072617,0.15011915406430154,,0.18433099031389877,0.4233810152231116
GBX,GBX251219C00045000,Call,2025-12-19,45.0,0.9436539852183085,4.0,5.4,1.0,2,45.0,49.0,45.82,0.506840869140625,2025-12-19,0.29021218343600275,47.686970759297466,-0.05799572111153897,0.25001168926571354,0.40174034205686954,0.32682219984475747,0.151728652791156,0.6618195139200149,0.7719339982037929,0.32682219984475747,0.03099836148666628,0.0,0.0,0.4233810152231116
GBX,GBX260320C00055000,Call,2026-03-20,55.0,1.1390763939296844,1.45,2.6,3.0,9,45.0,49.0,45.82,0.4152890502929687,2026-03-20,0.5393566050650239,48.28473339725375,0.13021775326916124,0.26367687004930385,0.3567278977270005,0.31131643521767666,0.09305102767769663,0.32447154410564916,0.7353103328301587,0.31131643521767666,0.05227332183112511,0.21052449402146794,,0.4233810152231116
GBX,GBX260320C00052500,Call,2026-03-20,52.5,1.0873001942056078,2.2,3.4,3.0,5,45.0,49.0,45.82,0.428716650390625,2026-03-20,0.5393566050650239,48.28473339725375,0.0836977376342683,0.27297339887971067,0.36281881042573494,0.3182683258898549,0.08984541154602427,0.40469529787531977,0.7517302723697592,0.3182683258898549,0.054633980208492756,0.0,,0.4233810152231116
GBX,GBX251017C00047500,Call,2025-10-17,47.5,1.004706772355961,1.2,1.65,,4,45.0,49.0,45.82,0.3669496899414062,2025-10-17,0.11772758384668036,47.277475684389096,0.00469573013820285,0.20281781750665906,0.27277703569254935,0.2378018542960508,0.06995921818589029,0.49331650515456743,0.5616733999533138,0.2378018542960508,0.006657462127270438,0.1535440642245814,,0.4233810152231116
GBX,GBX251121C00050000,Call,2025-11-21,50.0,1.0525310482331958,1.45,2.8,5.0,30,45.0,49.0,45.82,0.5144091528320311,2025-11-21,0.2135523613963039,47.5045368817682,0.05119778564827207,0.2805349354439636,0.44068088085298246,0.3614256472582527,0.16014594540901889,0.4117582381451278,0.8536652194189437,0.3614256472582527,0.02789602431948435,0.0,0.0,0.4233810152231116
GBX,GBX251219C00050000,Call,2025-12-19,50.0,1.0485044280203428,1.8,3.0,1.0,16,45.0,49.0,45.82,0.4633842724609375,2025-12-19,0.29021218343600275,47.686970759297466,0.04736479454628743,0.27025590585950765,0.3910772621933576,0.3310257192793493,0.12082135633384994,0.4299737850900612,0.7818624533858863,0.3310257192793493,0.03180087842132107,0.0,0.0,0.4233810152231116
GBX,GBX251219P00035000,Put,2025-12-19,35.0,0.7339530996142399,0.5,1.2,5.0,108,45.0,49.0,45.82,0.5510298803710938,2025-12-19,0.29021218343600275,47.686970759297466,-0.309310149392445,0.45897506637997804,0.6061439690172453,0.5383551110957255,0.14716890263726728,-0.11284695707538206,1.2715617652624913,0.5383551110957253,0.08411110176083893,,0.0,0.4233810152231116
GBX,GBX260320P00035000,Put,2026-03-20,35.0,0.7248667961370718,1.1,1.75,2.0,13,45.0,49.0,45.82,0.4727835925292969,2026-03-20,0.5393566050650239,48.28473339725375,-0.3217673704738961,0.44323533163777595,0.5280575407773466,0.4870982907177787,0.08482220913957061,-0.1404418819863722,1.1504962981419695,0.4870982907177787,0.1279703072678324,,0.7482526173581344,0.4233810152231116
GBX,GBX260320P00032500,Put,2026-03-20,32.5,0.6730905964129953,0.7,1.4,2.0,54,45.0,49.0,45.82,0.5085498364257812,2026-03-20,0.5393566050650239,48.28473339725375,-0.3958753426276179,0.4478776871317016,0.560072534527747,0.5074379924151103,0.11219484739604535,-0.10590391903281071,1.198537426501523,0.5074379924151103,0.13888072082359118,,0.0,0.4233810152231116
GBX,GBX251121C00055000,Call,2025-11-21,55.0,1.1577841530565154,0.5,1.0,5.0,75,45.0,49.0,45.82,0.4301814794921875,2025-11-21,0.2135523613963039,47.5045368817682,0.14650796545259698,0.29567372881082854,0.3796693290151866,0.33996548606685556,0.08399560020435803,0.19655179241404108,0.8029776344310147,0.33996548606685556,0.02468164127009041,0.3350816280562593,0.0,0.4233810152231116
