Ticker,OI,Vol
DUK,90937.0,7479.0
MGPI,1295.0,197.0
AFRM,484633.0,81805.0
RWT,32886.0,603.0
TTEK,18703.0,4033.0
AEIS,3838.0,1222.0
CRNC,51728.0,3224.0
LAZR,280719.0,8836.0
GWRE,6047.0,1452.0
CNP,33306.0,2112.0
INSG,5693.0,1059.0
OPEN,3740555.0,1131064.0
RUN,886001.0,64650.0
NRG,66027.0,9068.0
INSM,93636.0,6300.0
SEDG,268607.0,13597.0
BBIO,70283.0,3129.0
JD,2380636.0,211400.0
BMY,642193.0,31187.0
SSRM,67406.0,3616.0
IQ,606303.0,11538.0
SIRI,414645.0,13632.0
GVA,2399.0,548.0
FOUR,46254.0,2365.0
EQX,317399.0,7472.0
LIVN,1266.0,221.0
PSN,11137.0,1821.0
MGNI,96775.0,6591.0
TTWO,86476.0,14557.0
PPL,42473.0,1297.0
EZPW,14431.0,733.0
XIFR,191545.0,4468.0
HOPE,238.0,11.0
CAKE,21386.0,1370.0
PRO,6303.0,770.0
TEVA,745463.0,23169.0
HUBS,14928.0,2589.0
RKLB,1035059.0,209364.0
IONS,38340.0,2521.0
LITE,60105.0,8843.0
EXAS,47448.0,2019.0
REXR,21441.0,3894.0
ABNB,296133.0,33996.0
GKOS,2789.0,207.0
MODG,38369.0,910.0
ENPH,488843.0,43340.0
BTU,298619.0,14075.0
LI,439475.0,79945.0
MIDD,1038.0,200.0
NBR,15260.0,1188.0
CVX,493707.0,40398.0
ZD,2934.0,661.0
JPM,716512.0,79112.0
BKNG,29618.0,8896.0
CBRL,56825.0,4348.0
CTO,2031.0,155.0
ENOV,8187.0,360.0
BXMT,76288.0,1568.0
VRNT,20680.0,2153.0
ZTO,41861.0,1068.0
GEO,367857.0,6359.0
PLUG,1523145.0,84732.0
RH,83292.0,22814.0
PMT,70382.0,910.0
SPR,40463.0,3651.0
STWD,138886.0,10720.0
HCAT,7166.0,151.0
CYRX,26602.0,487.0
NMFC,1731.0,204.0
KOS,188952.0,2548.0
MARA,2705204.0,472936.0
KHC,419171.0,20725.0
SMTC,31192.0,1832.0
CHTR,80742.0,9906.0
GH,56206.0,7723.0
XMTR,7611.0,652.0
