Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility,Expiry_dt,Years_to_Expiry,Forward,LogMoneyness,IV_bid,IV_ask,IV_mid,IV_spread,Delta,Ivol/Rvol100d Ratio,Call Local Vol,Put Local Vol,Realised Vol 100d
UPST,UPST250905P00065000,Put,2025-09-05,65.0,0.8799685886649304,0.56,0.78,256,659,73.36,74.27,73.76000213623047,0.782228740234375,2025-09-05,0.01642710472279261,73.86627299801305,-0.1278690668458985,0.9112467471084623,1.0176613212633185,0.9660189746301023,0.10641457415485622,-0.1368314306472196,1.2247547324964358,,,0.7887448392716568
UPST,UPST250905P00063000,Put,2025-09-05,63.0,0.8528926320906249,0.44,0.61,546,675,73.36,74.27,73.76000213623047,0.8476577734374999,2025-09-05,0.01642710472279261,73.86627299801305,-0.15912161035000286,0.9942223862227718,1.0934608844043783,1.0455031533671928,0.09923849818160646,-0.10483525470075805,1.3255277262195868,,,0.7887448392716568
UPST,UPST251017P00052500,Put,2025-10-17,52.5,0.7072975891776071,0.77,1.04,11,404,73.36,74.27,73.76000213623047,0.7402369726562499,2025-10-17,0.13141683778234087,74.22618259033385,-0.34630378343234824,0.7404735630836836,0.8056832879437916,0.7741138262442349,0.06520972486010801,-0.08466696621407377,0.9814502583104917,,,0.7887448392716568
UPST,UPST250905C00083000,Call,2025-09-05,83.0,1.1236521978336804,0.27,0.38,238,939,73.36,74.27,73.76000213623047,0.579105771484375,2025-09-05,0.01642710472279261,73.86627299801305,0.11658427105506232,0.6699302616334978,0.7337240010113889,0.7030414117029603,0.06379373937789112,0.10587274874260061,0.8913420116347933,,,0.7887448392716568
UPST,UPST250905C00079000,Call,2025-09-05,79.0,1.0695002846850694,0.76,0.92,577,47,73.36,74.27,73.76000213623047,0.561527822265625,2025-09-05,0.01642710472279261,73.86627299801305,0.06719151572548598,0.6516592724078609,0.7069442779797045,0.6796359531623748,0.05528500557184357,0.23336588592076424,0.8616677020542721,,,0.7887448392716568
UPST,UPST260320P00045000,Put,2026-03-20,45.0,0.5955459548425124,2.85,3.75,1,282,73.36,74.27,73.76000213623047,0.7502466381835937,2026-03-20,0.5530458590006845,75.56091957991707,-0.5182767229837061,0.7403144523510129,0.8230513167177422,0.7824614337253645,0.08273686436672933,-0.1186783450201665,0.9920336650923832,,,0.7887448392716568
UPST,UPST250919C00092500,Call,2025-09-19,92.5,1.2502357110125426,0.54,0.76,1038,1377,73.36,74.27,73.76000213623047,0.6928741650390625,2025-09-19,0.05475701574264202,73.9860485388679,0.22333210234738052,0.7013921932778767,0.7680719827340328,0.736000946019456,0.06667978945615605,0.11301918493465918,0.9331293333077074,,,0.7887448392716568
UPST,UPST250919P00063000,Put,2025-09-19,63.0,0.8515118896625965,1.03,1.29,45,119,73.36,74.27,73.76000213623047,0.6899445068359377,2025-09-19,0.05475701574264202,73.9860485388679,-0.1607418157794664,0.7173986598693781,0.779959683157647,0.7492245131121991,0.06256102328826885,-0.15756705977202268,0.9498946627708504,,,0.7887448392716568
UPST,UPST250905P00080000,Put,2025-09-05,80.0,1.0830382629722222,6.7,7.9,12,33,73.36,74.27,73.76000213623047,0.6811555322265627,2025-09-05,0.01642710472279261,73.86627299801305,0.07977029793234608,0.6472133907669159,1.0525197664257402,0.8631655781127973,0.4053063756588243,-0.7472103218334661,1.094353376574688,,,0.7887448392716568
UPST,UPST250926C00085000,Call,2025-09-26,85.0,1.147934925980298,1.82,2.19,8,60,73.36,74.27,73.76000213623047,0.666263103027344,2025-09-26,0.07392197125256673,74.04600912147772,0.13796461160458556,0.66354654583303,0.7202594085501104,0.692210663494092,0.056712862717080426,0.26142314423906193,0.8776103868182434,,,0.7887448392716568
UPST,UPST260116C00130000,Call,2026-01-16,130.0,1.733055719273089,2.15,2.83,1,457,73.36,74.27,73.76000213623047,0.7521997436523438,2026-01-16,0.3805612594113621,75.01201407103463,0.5498861621341428,0.7152393923506125,0.7749914103952296,0.745940447036877,0.05975201804461705,0.1673014131146598,0.9457310018353892,,,0.7887448392716568
UPST,UPST250926P00066000,Put,2025-09-26,66.0,0.8913377072317608,2.1,2.47,1,37,73.36,74.27,73.76000213623047,0.6626010302734376,2025-09-26,0.07392197125256673,74.04600912147772,-0.11503190285930538,0.6814492658493542,0.7401734335576214,0.7110208054201964,0.05872416770826727,-0.24456209370953297,0.9014585833319272,,,0.7887448392716568
UPST,UPST250905P00066000,Put,2025-09-05,66.0,0.8935065669520832,0.77,0.98,10110,230,73.36,74.27,73.76000213623047,0.790041162109375,2025-09-05,0.01642710472279261,73.86627299801305,-0.1126015947151101,0.9307843768083551,1.0193438945320747,0.9758769123795279,0.08855951772371962,-0.16782385924863585,1.2372529920838184,,,0.7887448392716568
UPST,UPST250926P00062000,Put,2025-09-26,62.0,0.8373172401268056,1.26,1.51,4,59,73.36,74.27,73.76000213623047,0.6882355395507813,2025-09-26,0.07392197125256673,74.04600912147772,-0.17755225984063927,0.71019144446553,0.7610664138828465,0.7359712548631993,0.05087496941731651,-0.1617314579639616,0.9330916897571212,,,0.7887448392716568
UPST,UPST260116P00025000,Put,2026-01-16,25.0,0.3332799460140556,0.25,0.35,3,1957,73.36,74.27,73.76000213623047,0.9345709667968748,2026-01-16,0.3805612594113621,75.01201407103463,-1.098772463453239,0.9289987229070947,0.9852556576297714,0.9585183215404975,0.05625693472267668,-0.01562540252294431,1.215245125946704,,,0.7887448392716568
