Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility,Expiry_dt,Years_to_Expiry,Forward,LogMoneyness,IV_bid,IV_ask,IV_mid,IV_spread,Delta,Ivol/Rvol100d Ratio,Call Local Vol,Put Local Vol,Realised Vol 100d
BURL,BURL250919P00240000,Put,2025-09-19,240.0,0.8140516195455298,0.0,1.4,1,119,293.0,295.28,295.2799987792969,0.5019581054687501,2025-09-19,0.05475701574264202,294.8215988243935,-0.20573150031512416,,0.6250337446013157,0.535676570482189,,-0.04419633246220389,1.2984818161578788,,,0.4125406792890025
BURL,BURL270115P00120000,Put,2027-01-15,120.0,0.38489844135094214,2.85,5.7,3,4,293.0,295.28,295.2799987792969,0.5461471166992189,2027-01-15,1.377138945927447,311.7705532368903,-0.954775768191563,0.5254471840666622,0.6222022498629497,0.5776639218563311,0.09675506579628745,-0.04028526308996705,1.4002592977058939,,,0.4125406792890025
BURL,BURL250905P00257500,Put,2025-09-05,257.5,0.8748258000307403,0.0,0.2,132,125,293.0,295.28,295.2799987792969,0.452153916015625,2025-09-05,0.01642710472279261,294.34431402337674,-0.13373049812386106,,0.5429984807911379,0.4879414526915003,,-0.015017206080484624,1.1827717294024145,,,0.4125406792890025
BURL,BURL251219P00185000,Put,2025-12-19,185.0,0.6209244060351359,0.6,4.1,38,38,293.0,295.28,295.2799987792969,0.571415418701172,2025-12-19,0.30390143737166325,297.94287066488977,-0.47654593387030403,0.45022858349878747,0.677599064573455,0.588938581160699,0.2273704810746675,-0.05153617578599412,1.4275891099411366,,,0.4125406792890025
BURL,BURL260320P00230000,Put,2026-03-20,230.0,0.7638729608003001,5.5,9.8,3,3,293.0,295.28,295.2799987792969,0.4183407775878905,2026-03-20,0.5530458590006845,301.0971873635007,-0.26935378531694687,0.3570087041601098,0.4431926154019357,0.4019574317211617,0.0861839112418259,-0.14673493766435808,0.9743461721494214,,,0.4125406792890025
BURL,BURL260618P00130000,Put,2026-06-18,130.0,0.4272806378585008,1.9,3.9,5,5,293.0,295.28,295.2799987792969,0.6012002770996094,2026-06-18,0.7994524298425736,304.2496862285885,-0.8503142501168254,0.5707108279565604,0.6691928419560487,0.624358696567435,0.0984820139994883,-0.035749248317789695,1.513447589322567,,,0.4125406792890025
BURL,BURL250919P00265000,Put,2025-09-19,265.0,0.8988486632481891,0.0,1.45,176,182,293.0,295.28,295.2799987792969,0.3618227880859375,2025-09-19,0.05475701574264202,294.8215988243935,-0.10664059767089334,,0.3845142799195559,0.31994424484454626,,-0.07189498678292583,0.7755459301515609,,,0.4125406792890025
BURL,BURL260618P00135000,Put,2026-06-18,135.0,0.4437145085453662,1.0,2.75,1,11,293.0,295.28,295.2799987792969,0.5255174401855469,2026-06-18,0.7994524298425736,304.2496862285885,-0.8125739221339784,0.48609583365947623,0.5927874786736375,0.5466079988074927,0.10669164501416123,-0.028261743724258048,1.3249796353405678,,,0.4125406792890025
BURL,BURL250905P00282500,Put,2025-09-05,282.5,0.9597603437230452,0.75,1.7,42,7,293.0,295.28,295.2799987792969,0.3352117260742187,2025-09-05,0.01642710472279261,294.34431402337674,-0.04107166764115623,0.29277970252382224,0.39322681108033836,0.34622564987728766,0.10044710855651612,-0.17163006966887706,0.8392521447193858,,,0.4125406792890025
BURL,BURL250919P00185000,Put,2025-09-19,185.0,0.6274981233996793,0.0,0.4,7,292,293.0,295.28,295.2799987792969,0.8251970605468748,2025-09-19,0.05475701574264202,294.8215988243935,-0.4660145985787907,,0.9748678711968326,0.8830821619908927,,-0.009174785993296353,2.1405941433772053,,,0.4125406792890025
BURL,BURL250905P00280000,Put,2025-09-05,280.0,0.9512668893538146,0.6,1.4,6,9,293.0,295.28,295.2799987792969,0.3498600170898437,2025-09-05,0.01642710472279261,294.34431402337674,-0.04996061505840232,0.31480587596059717,0.4123484404709145,0.36732982599163194,0.09754256451031734,-0.1390217503452087,0.8904087389023315,,,0.4125406792890025
BURL,BURL260116P00140000,Put,2026-01-16,140.0,0.4683685714426943,0.5,1.95,25,31,293.0,295.28,295.2799987792969,0.6689486230468751,2026-01-16,0.3805612594113621,298.90989390847557,-0.7584997471982516,0.5919935788095917,0.7513702713993154,0.6866357265862515,0.15937669258972376,-0.02261729022299863,1.6644073204359893,,,0.4125406792890025
BURL,BURL251219P00145000,Put,2025-12-19,145.0,0.4866704804059173,0.75,2.6,15,25,293.0,295.28,295.2799987792969,0.7595238891601563,2025-12-19,0.30390143737166325,297.94287066488977,-0.7201680165280544,0.6736351039113154,0.8545790180837713,0.7789997979023287,0.18094391417245592,-0.02926486859931532,1.8882981412764044,,,0.4125406792890025
BURL,BURL260116P00090000,Put,2026-01-16,90.0,0.301094081641732,0.45,1.8,2,40,293.0,295.28,295.2799987792969,1.0087940185546875,2026-01-16,0.3805612594113621,298.90989390847557,-1.200332499477291,0.8937119259226244,1.122500812809987,1.0305393448924849,0.22878888688736254,-0.01369316314701452,2.4980308527842117,,,0.4125406792890025
BURL,BURL260116P00180000,Put,2026-01-16,180.0,0.602188163283464,0.65,2.2,1,29,293.0,295.28,295.2799987792969,0.5286912365722658,2026-01-16,0.3805612594113621,298.90989390847557,-0.5071853189173456,0.43063078488098055,0.545947486505406,0.49755365889101305,0.11531670162442548,-0.03546957465655365,1.2060717496963622,,,0.4125406792890025
