Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility,Expiry_dt,Years_to_Expiry,Forward,LogMoneyness,IV_bid,IV_ask,IV_mid,IV_spread,Delta,Ivol/Rvol100d Ratio,Smoothed_IV,TotalVariance,Call Local Vol,Put Local Vol,Realised Vol 100d
MTCH,MTCH260116P00020000,Put,2026-01-16,20.0,0.5345735082571572,0.0,0.88,1,807,37.0,37.06,37.040000915527344,0.70898728515625,2026-01-16,0.38329911019849416,37.413002498393496,-0.6262860308314798,,0.8771466371045101,0.7251092050502655,,-0.05266493162635022,1.928475104290411,0.735073400587335,0.20710912141038743,0.08254028861257465,0.01541894266811431,0.3760013305004899
MTCH,MTCH260116P00015000,Put,2026-01-16,15.0,0.4009301311928679,0.0,1.12,254,974,37.0,37.06,37.040000915527344,1.0459032080078128,2026-01-16,0.38329911019849416,37.413002498393496,-0.9139681032832608,,1.293889581307959,1.0653986688308745,,-0.043132390114672736,2.833497071440513,1.0569307312962017,0.4281844213721159,0.0,0.0,0.3760013305004899
MTCH,MTCH251219C00055000,Call,2025-12-19,55.0,1.4731056550947899,0.06,0.22,1,51,37.0,37.06,37.040000915527344,0.42774009765625,2025-12-19,0.3066392881587953,37.33608638985295,0.3873728627389899,0.33914630696388587,0.42569391346673563,0.3902562812000397,0.08654760650284976,0.046045102408338534,1.0379119687703637,0.3902562812000396,0.04670115285914154,0.0,,0.3760013305004899
MTCH,MTCH260116C00060000,Call,2026-01-16,60.0,1.6037205247714716,0.01,0.15,1,921,37.0,37.06,37.040000915527344,0.4160214648437499,2026-01-16,0.38329911019849416,37.413002498393496,0.47232625783662985,0.28692096583920357,0.4129917858225644,0.3726717754531979,0.12607081998336084,0.026693750508135744,0.991144831740728,0.3899025339178074,0.05827065854558185,0.0,,0.3760013305004899
MTCH,MTCH251121C00047500,Call,2025-11-21,47.5,1.274848528579811,0.21,0.36,5,7,37.0,37.06,37.040000915527344,0.3930724755859375,2025-11-21,0.2299794661190965,37.259328410501666,0.24282737043910446,0.34245170125112545,0.3914728467913231,0.36850743251209045,0.04902114554019765,0.09927343178863446,0.9800694907690235,0.36850743251209045,0.031230688943460212,0.0,,0.3760013305004899
MTCH,MTCH260116C00055000,Call,2026-01-16,55.0,1.4700771477071823,0.0,0.81,1,2809,37.0,37.06,37.040000915527344,0.5249070947265625,2026-01-16,0.38329911019849416,37.413002498393496,0.38531488084700005,,0.5210585074477044,0.43394051031184155,,0.09681861615188941,1.154093018059882,0.34592101928204017,0.04586608958619462,0.017707668304036393,0.0049969500438208116,0.3760013305004899
MTCH,MTCH250905P00038500,Put,2025-09-05,38.5,1.0391627604374416,0.84,2.57,0,59,37.0,37.06,37.040000915527344,0.737307314453125,2025-09-05,0.019164955509924708,37.049056669229756,0.03841535089521966,,0.8402864831564282,0.3710950469307253,,-0.7648771372244607,0.9869514196579201,0.3710950469307253,0.0026392354195636427,,0.0,0.3760013305004899
MTCH,MTCH260116P00025000,Put,2026-01-16,25.0,0.6682168853214465,0.07,2.23,1,2229,37.0,37.06,37.040000915527344,0.6660189648437502,2026-01-16,0.38329911019849416,37.413002498393496,-0.4031424795172701,0.3424880441830853,0.896085076786436,0.6848013682324663,0.5535970326033507,-0.12244259854479456,1.8212737899648843,0.684801368232466,0.17974923463553194,0.0,0.0,0.3760013305004899
MTCH,MTCH250919P00027500,Put,2025-09-19,27.5,0.7414957295151956,0.01,0.25,2,2251,37.0,37.06,37.040000915527344,0.7324245507812499,2025-09-19,0.057494866529774126,37.08719943401432,-0.2990858766719882,0.5150105103337345,0.8922143713907821,0.7699857307752831,0.3772038610570476,-0.04342502288247074,2.047827143990066,0.7699857307752831,0.03408744295016696,0.0,0.0,0.3760013305004899
MTCH,MTCH250919P00030000,Put,2025-09-19,30.0,0.8089044321983953,0.0,0.05,4,4822,37.0,37.06,37.040000915527344,0.4570366796875,2025-09-19,0.057494866529774126,37.08719943401432,-0.2120744996823584,,0.48168265439567015,0.43011919852190306,,-0.017521524170360347,1.143929990751303,0.43011919852190306,0.010636695478931167,0.0,0.012138843669543938,0.3760013305004899
MTCH,MTCH260116C00065000,Call,2026-01-16,65.0,1.737363901835761,0.0,0.15,4,9715,37.0,37.06,37.040000915527344,0.469731865234375,2026-01-16,0.38329911019849416,37.413002498393496,0.5523689655101662,,0.46715834347101665,0.41936247691651474,,0.022875143064915116,1.115321789841295,0.4193624769165146,0.06740885471971962,0.0,,0.3760013305004899
MTCH,MTCH250919P00032500,Put,2025-09-19,32.5,0.8763131348815948,0.05,0.39,1,2098,37.0,37.06,37.040000915527344,0.526371923828125,2025-09-19,0.057494866529774126,37.08719943401432,-0.13203179200882204,0.3249690389403287,0.5553739049371285,0.462831637450162,0.23040486599679977,-0.10652937333630086,1.2309308502554859,0.4628316374501619,0.01231615500922864,,0.0,0.3760013305004899
MTCH,MTCH250905C00039000,Call,2025-09-05,39.0,1.0526583807028629,0.04,0.14,19,355,37.0,37.06,37.040000915527344,0.3125068749999999,2025-09-05,0.019164955509924708,37.049056669229756,0.05131875573112751,0.24992006916460294,0.3526655753832216,0.30782325710096176,0.10274550621861864,0.11841363134975158,0.8186759783302434,0.30782325710096176,0.0018159783799745752,0.0,,0.3760013305004899
MTCH,MTCH250919P00025000,Put,2025-09-19,25.0,0.674087026831996,0.01,0.05,2,1503,37.0,37.06,37.040000915527344,0.726565234375,2025-09-19,0.057494866529774126,37.08719943401432,-0.39439605647631315,0.6611834947899311,0.8207000065805548,0.7605951587600017,0.15951651179062365,-0.012106589116296251,2.0228523067925974,0.7605951587600017,0.03326106750475619,,0.010466416442395644,0.3760013305004899
MTCH,MTCH250912C00040000,Call,2025-09-12,40.0,1.0790942892613002,0.06,0.11,12,25,37.0,37.06,37.040000915527344,0.2871165039062499,2025-09-12,0.038329911019849415,37.06812314555219,0.07612206824241995,0.26208442798014486,0.30484440731313156,0.28497220098405973,0.0427599793329867,0.09069359127798476,0.7579021079652495,0.28497220098405973,0.003112739697937825,0.0,,0.3760013305004899
