Ticker,Latest Close ($),Open ($),Low ($),High ($),Daily Volume,Close 1d (%),Close 1w (%),Realised Volatility 100d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),ATM 12m/3m Ratio,Volume Rank,Open Interest Rank,Close 1d (%)_Color,Close 1w (%)_Color,Weighted IV 1d (%)_Color,Weighted IV 1w (%)_Color,Volume 1d (%)_Color,Volume 1w (%)_Color,OI 1d (%)_Color,OI 1w (%)_Color
SATS,83.57,83.57,79.22,85.36,"40,669",0.0,30.76,137.2,102.41,-54.64,-24.15,-34.3,-17.5,"431,810",2.44,10.91,1.0264,49 of 371,62 of 371,#FFFFFF,#10B981,#F87171,#F87171,#F87171,#F87171,#10B981,#10B981
OPEN,6.11,6.02,5.9,6.4,"739,592",0.0,19.1,182.05,168.43,2.42,-0.41,39.19,6.32,"2,963,409",2.67,11.59,0.865,5 of 371,9 of 371,#FFFFFF,#10B981,#10B981,#F87171,#10B981,#10B981,#10B981,#10B981
TPIC,0.04,0.05,0.04,0.05,N/A,0.0,-3.75,302.27,,,,,,N/A,,,,367 of 371,367 of 371,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
IONS,64.4,61.15,60.99,64.71,"2,982",0.0,6.46,58.47,88.97,41.46,-7.86,-12.47,-45.6,"56,394",0.65,10.39,1.001,180 of 371,175 of 371,#FFFFFF,#10B981,#10B981,#F87171,#F87171,#F87171,#10B981,#10B981
GPRO,1.67,1.71,1.59,1.72,"5,433",0.0,12.84,112.88,185.99,29.42,5.83,-47.52,-17.03,"233,426",0.77,7.44,0.9009,144 of 371,93 of 371,#FFFFFF,#10B981,#10B981,#10B981,#F87171,#F87171,#10B981,#10B981
MNKD,5.51,5.55,5.48,5.7,"2,101",0.0,0.0,64.73,85.1,-5.55,8.87,-32.18,-67.13,"91,700",1.19,6.8,1.0705,211 of 371,142 of 371,#FFFFFF,#FFFFFF,#F87171,#10B981,#F87171,#F87171,#10B981,#10B981
RUN,16.03,16.92,15.55,16.92,"27,990",0.0,-2.73,158.33,124.29,15.64,18.93,-81.42,-25.46,"1,066,786",5.23,7.37,0.8792,58 of 371,27 of 371,#FFFFFF,#F87171,#10B981,#10B981,#F87171,#F87171,#10B981,#10B981
DAY,68.9,69.2,68.88,69.26,696,0.0,-0.92,50.47,31.79,-4.59,-10.19,-26.19,-74.36,"33,757",-0.03,-0.04,1.303,287 of 371,208 of 371,#FFFFFF,#F87171,#F87171,#F87171,#F87171,#F87171,#F87171,#F87171
ETSY,56.02,57.21,53.97,57.68,"21,722",0.0,7.79,49.05,58.1,1.26,-8.09,-22.23,43.55,"356,986",0.73,-3.84,0.9321,71 of 371,71 of 371,#FFFFFF,#10B981,#10B981,#F87171,#F87171,#10B981,#10B981,#F87171
AORT,42.45,43.51,41.75,43.54,106,0.0,-2.01,48.93,69.7,-11.99,5.97,0.95,-12.4,517,0.0,-2.08,1.0218,352 of 371,356 of 371,#FFFFFF,#F87171,#F87171,#10B981,#10B981,#F87171,#FFFFFF,#F87171
DDD,2.1,2.15,2.09,2.17,"2,203",0.0,2.44,107.02,103.6,0.29,3.4,-26.22,-13.27,"87,867",-0.13,2.9,0.9662,204 of 371,147 of 371,#FFFFFF,#10B981,#10B981,#10B981,#F87171,#F87171,#F87171,#10B981
WK,77.18,81.01,77.18,81.19,296,0.0,-0.77,58.44,74.92,-3.0,39.01,1.37,10.04,"2,943",0.0,1.9,,327 of 371,321 of 371,#FFFFFF,#F87171,#F87171,#10B981,#10B981,#10B981,#FFFFFF,#10B981
HAE,54.24,53.99,53.51,54.27,"1,112",0.0,1.8,56.21,62.52,9.59,16.77,7.34,-36.02,"16,663",0.05,-1.52,1.2291,250 of 371,243 of 371,#FFFFFF,#10B981,#10B981,#10B981,#10B981,#F87171,#10B981,#F87171
MLAB,61.59,62.99,60.43,63.07,N/A,0.0,0.33,70.64,,,,,,N/A,,,,367 of 371,367 of 371,#FFFFFF,#10B981,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
