Ticker,OI,Vol
GEO,465961.0,25365.0
GCI,15742.0,1071.0
V,400719.0,42864.0
BE,742836.0,62313.0
RPAY,11969.0,774.0
ITRI,3004.0,1632.0
CENX,86113.0,5703.0
MDB,300836.0,36473.0
MODG,43041.0,709.0
AWK,17411.0,1506.0
ASRT,22792.0,356.0
FWONK,1546.0,311.0
CDP,634.0,138.0
DAY,34819.0,1216.0
LRN,24470.0,4109.0
CVX,656845.0,47319.0
DUK,143644.0,6667.0
JBLU,632792.0,25449.0
INN,1269.0,510.0
PR,111620.0,3651.0
BTSG,8283.0,326.0
DNMR,21238.0,287.0
ALNY,21500.0,4276.0
GH,61020.0,5905.0
NEE,683128.0,35801.0
MKSI,4769.0,1915.0
NVAX,359635.0,25960.0
OPEN,3773520.0,1414988.0
EVH,11352.0,2803.0
EB,18814.0,431.0
HASI,31719.0,3628.0
CNMD,974.0,164.0
BSY,66585.0,1497.0
VRNS,6984.0,435.0
BHR,4143.0,451.0
LNTH,14983.0,2298.0
PPL,51638.0,1998.0
POST,2707.0,466.0
OPK,69771.0,1594.0
EXPE,77071.0,7876.0
AR,168332.0,20012.0
CMRC,14540.0,722.0
PD,42979.0,2858.0
BKD,44947.0,8509.0
BMY,761561.0,53790.0
UPWK,60082.0,8754.0
CHTR,94298.0,40371.0
PCG,2546048.0,45170.0
WKC,437.0,41.0
BXMT,77134.0,2023.0
IBM,415213.0,52235.0
NET,201000.0,17180.0
RKLB,1089995.0,227466.0
GPRE,104691.0,4511.0
AVGO,2293670.0,383284.0
MARA,2972790.0,322101.0
VAC,3118.0,695.0
SENS,96192.0,1654.0
MMYT,6353.0,659.0
LPSN,85196.0,2238.0
GPN,122805.0,9242.0
LIVN,1278.0,195.0
NEO,28209.0,5595.0
IIIV,724.0,32.0
LCII,1403.0,457.0
RWT,33001.0,1572.0
EQX,311922.0,8775.0
JOYY,7120.0,935.0
EVRG,3845.0,2063.0
HALO,20376.0,1924.0
SOFI,4190581.0,839862.0
SO,102784.0,7407.0
SABR,254776.0,21206.0
EXAS,57899.0,4389.0
ENPH,555043.0,60056.0
BABA,1970326.0,274284.0
ENVX,451479.0,21925.0
PEGA,14051.0,1377.0
TRIP,185098.0,29633.0
EEFT,5215.0,354.0
WIX,56672.0,10005.0
HLF,212247.0,31311.0
FOUR,64049.0,14784.0
ON,358618.0,22740.0
BLMN,31180.0,1285.0
LAZR,314200.0,19459.0
TVTX,61646.0,1397.0
ETSY,397089.0,22921.0
GMED,12133.0,1408.0
LI,464061.0,24024.0
ORA,37643.0,746.0
PEP,562144.0,25121.0
INSG,8656.0,1476.0
PSEC,121207.0,4428.0
SE,356400.0,17026.0
CAKE,24384.0,3118.0
LYFT,1128717.0,111496.0
HRTG,8748.0,2569.0
WB,63676.0,2009.0
XIFR,205934.0,8660.0
JPM,838169.0,89678.0
U,1112590.0,220548.0
PCRX,2280.0,228.0
FVRR,34154.0,14442.0
BBIO,79714.0,4575.0
LITE,89498.0,6111.0
VRM,3560.0,998.0
RPD,41664.0,11120.0
LCID,3042443.0,112309.0
PRGS,48912.0,3271.0
SHOP,539926.0,58800.0
AKAM,96320.0,3018.0
BAND,4155.0,563.0
BMRN,41814.0,2637.0
QTWO,9758.0,1544.0
SRPT,258763.0,15737.0
RCL,129018.0,17349.0
TREE,9470.0,813.0
EZPW,17497.0,2216.0
DDOG,380187.0,27127.0
PI,5139.0,1111.0
STX,178153.0,16899.0
CHRS,15738.0,4450.0
NKE,1512204.0,144978.0
XOM,1097034.0,69109.0
SPB,6760.0,777.0
DXCM,182085.0,32005.0
SMTC,43098.0,2847.0
PLUG,1328375.0,223423.0
ARRY,99308.0,4256.0
VERX,16859.0,1269.0
WOLF,1782510.0,221216.0
ASND,10991.0,3385.0
NTRA,19251.0,5162.0
TMDX,39620.0,3745.0
DDD,96336.0,3852.0
PATK,1047.0,264.0
NOTV,4056.0,231.0
GKOS,5942.0,296.0
HLIT,4199.0,407.0
HOUS,86368.0,1707.0
LUV,412782.0,30189.0
XRX,222768.0,18892.0
MAXN,50402.0,776.0
SPCE,279597.0,13225.0
Z,181215.0,12020.0
BKNG,36512.0,9838.0
EQT,350471.0,14818.0
JAMF,11781.0,6654.0
BA,1167101.0,168659.0
BOX,65123.0,2418.0
DKNG,720125.0,66811.0
WK,2981.0,394.0
ALRM,1026.0,98.0
ENOV,8902.0,346.0
SKIN,16050.0,344.0
GDS,137749.0,11019.0
PODD,14936.0,3969.0
CSIQ,83744.0,10607.0
MTH,11854.0,11604.0
PENN,220246.0,10182.0
LYV,139098.0,29894.0
KHC,482410.0,35257.0
HAE,16449.0,2930.0
EGHT,4739.0,251.0
RGEN,10713.0,1613.0
ITGR,318.0,67.0
IQ,861378.0,19855.0
TWO,22148.0,1145.0
GOSS,135115.0,4759.0
NIO,4770948.0,314383.0
NMFC,1880.0,507.0
MIRM,2979.0,483.0
HTHT,13452.0,11757.0
BB,374813.0,32614.0
CMS,8904.0,3971.0
VSH,8519.0,563.0
PCT,346200.0,21103.0
MITK,3617.0,351.0
CDLX,62749.0,22160.0
VTR,13669.0,2626.0
PDD,2097243.0,159300.0
MMM,169048.0,9546.0
HLX,4727.0,311.0
VIAV,26251.0,1071.0
SEDG,375375.0,30759.0
AFRM,583764.0,114258.0
FSLY,127182.0,7151.0
IDCC,5861.0,1343.0
RIVN,3001866.0,197295.0
CMI,16484.0,6409.0
MSFT,2545098.0,465909.0
PANW,816068.0,79994.0
RIG,844426.0,22892.0
