Ticker,Company Name,Latest Open,Latest Close,Latest High,Latest Low,Open 1d (%),Open 1w (%),Close 1d (%),Close 1w (%),High 1d (%),High 1w (%),Low 1d (%),Low 1w (%),Debt Class,Spread 1Y,Spread F3Y,Spread 5Y
TSLA,"Tesla, Inc.",,416.85,,,,,,,,,,,SENIOR_NORE_14,24.5,,70.22
MSTR,MicroStrategy Incorporated,,349.12,,,,,,,,,,,,,,
COIN,"Coinbase Global, Inc.",,343.13,,,,,,,,,,,,,,
AMZN,"Amazon.com, Inc.",,231.23,,,,,,,,,,,SENIOR_NORE_14,10.95,,25.18
BABA,Alibaba Group Holding Limited,,162.48,,,,,,,,,,,,,,
AMD,"Advanced Micro Devices, Inc.",,157.92,,,,,,,,,,,SENIOR_NORE_14,12.76,,35.93
AMD,"Advanced Micro Devices, Inc.",,157.92,,,,,,,,,,,SENIOR_NORE,15.9,,42.83
SOFI,"SoFi Technologies, Inc.",,28.11,,,,,,,,,,,,,,
LCID,"Lucid Group, Inc.",,20.5,,,,,,,,,,,,,,
AAL,"American Airlines Group, Inc.",,12.58,,,,,,,,,,,SENIOR_NORE_14,170.33,,545.95
OPEN,Opendoor Technologies Inc.,,9.94,,,,,,,,,,,,,,
NIO,NIO Inc.,,7.37,,,,,,,,,,,,,,
