Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
US500,6615.12,22.85,-0.34%,-0.23%,2.33%,12.50%,15.17%,22:31
US30,45997,124,-0.27%,-0.30%,1.29%,8.13%,9.07%,22:31
US100,24421,83,-0.34%,-0.11%,3.83%,16.25%,21.43%,22:31
JP225,45755,125,0.27%,1.00%,7.93%,14.69%,17.54%,Sep/25
GB100,9214,36,-0.39%,-0.15%,-0.56%,12.74%,11.21%,Sep/25
DE40,23535,132,-0.56%,-0.59%,-2.56%,18.21%,22.33%,Sep/25
FR40,7795,32,-0.41%,-0.75%,1.11%,5.62%,0.69%,Sep/25
IT40,42242,181,-0.43%,-0.15%,-0.97%,23.57%,22.76%,Sep/25
ES35,15154,41,-0.27%,-0.14%,0.23%,30.69%,26.78%,Sep/25
ASX200,8773,9,0.10%,0.32%,-1.82%,7.52%,6.94%,Sep/25
SHANGHAI,3853,0,-0.01%,0.56%,-0.39%,14.96%,28.40%,Sep/25
SENSEX,81160,556,-0.68%,-2.23%,0.46%,3.87%,-5.45%,Sep/25
TSX,29732,25,-0.08%,0.95%,4.91%,20.24%,23.71%,Sep/25
MOEX,2703,20,-0.75%,-3.24%,-6.33%,-6.24%,-4.47%,Sep/25
IBOVESPA,145306,"1,186",-0.81%,-0.13%,5.47%,20.80%,9.24%,Sep/25
IPC,61945,39,0.06%,1.01%,6.56%,25.02%,15.59%,Sep/25
NL25,934,1,-0.11%,0.11%,3.25%,6.34%,2.49%,Sep/25
CH20,11876,103,-0.86%,-1.44%,-2.34%,2.37%,-2.73%,Sep/25
SAALL,105803,890,-0.83%,0.36%,3.29%,25.81%,21.16%,Sep/25
STI,4274,17,-0.39%,-0.90%,0.71%,12.84%,19.31%,Sep/25
HK50,26485,34,-0.13%,-0.23%,3.76%,32.03%,32.92%,Sep/25
NZX 50,13156,26,-0.19%,0.28%,1.54%,0.35%,5.33%,22:31
EU50,5448,16,-0.30%,-0.15%,1.20%,11.28%,8.26%,Sep/25
