Company,Price,Chg,%Chg,YoY
Intel INTC,33.98,2.76,8.84%,41.88%
IBM IBM,281.73,14.20,5.31%,26.01%
Synopsys SNPS,487.20,19.11,4.08%,-5.47%
Albemarle ALB,84.83,3.25,3.98%,-10.79%
Charter Communications CHTR,270.57,7.18,2.73%,-14.67%
Charles Schwab SCHW,94.78,2.41,2.61%,48.37%
Valero Energy VLO,174.46,3.63,2.12%,27.63%
