Company,Price,Chg,%Chg,YoY
CarMax KMX,45.62,11.43,-20.04%,-41.69%
Jabil Circuit JBL,210.33,14.95,-6.64%,66.07%
Freeport-McMoran FCX,35.34,2.33,-6.19%,-31.81%
Oracle ORCL,291.33,17.13,-5.55%,73.10%
Tapestry TPR,107.80,5.62,-4.96%,129.46%
Moderna MRNA,24.61,1.27,-4.91%,-61.49%
Deckers Outdoor DECK,105.83,5.40,-4.85%,-32.70%
