Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
NSE-All Share,141157,441,0.31%,-0.78%,-0.43%,37.14%,43.27%,Sep/25
SAALL,105803,890,-0.83%,0.36%,3.29%,25.81%,21.16%,Sep/25
SA40,98701,774,-0.78%,0.68%,4.17%,30.94%,24.58%,Sep/25
EGX 30,35671,278,-0.77%,0.76%,0.89%,19.94%,14.05%,Sep/25
CFG 25,19430,187,-0.96%,-1.86%,-3.17%,31.52%,35.21%,Sep/25
Nairobi 20,2974,12,0.41%,0.98%,4.55%,47.93%,67.88%,Sep/25
Nairobi All Share,178,1,0.38%,1.59%,3.16%,43.99%,66.00%,Sep/25
DSEI,2501,7,0.29%,-0.04%,-2.42%,16.86%,17.53%,Sep/25
TUN,12411,0,0.00%,0.40%,4.58%,24.69%,25.31%,Sep/25
GGSECI,8043,217,2.78%,4.82%,9.67%,64.52%,82.95%,Sep/25
SEMDEX,2458,2,0.09%,-0.59%,0.26%,2.30%,5.10%,Sep/25
USE All Share,1429.25,0.92,-0.06%,-0.83%,-0.20%,19.62%,32.57%,Sep/23
NSX Overall,1905,6,0.33%,-0.20%,5.06%,5.75%,-0.80%,Sep/25
Gaborone,10611,0,0.00%,-0.01%,0.48%,5.59%,9.93%,Sep/25
ZSI Industrials,208.19,1.03,-0.49%,0.39%,1.25%,-4.22%,-15.99%,Sep/24
