Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Gold USD/t.oz,3749.93,13.72,0.37%,2.88%,10.47%,42.85%,40.27%,22:30
Silver USD/t.oz,45.100,1.19,2.71%,7.84%,16.81%,56.17%,41.04%,22:30
Copper USD/Lbs,4.7244,0.0324,-0.68%,4.19%,5.77%,18.71%,3.06%,Sep/25
Steel CNY/T,3077.00,9.00,-0.29%,0.00%,-1.19%,-7.04%,-2.96%,Sep/25
Lithium CNY/T,73750,100,-0.14%,0.41%,-9.75%,-1.73%,0.34%,Sep/25
Iron Ore CNY CNY/T,801.50,2.00,-0.25%,0.00%,2.89%,2.89%,10.10%,Sep/25
Platinum USD/t.oz,1540.20,57.90,3.91%,10.44%,14.89%,72.28%,52.50%,Sep/25
HRC Steel USD/T,810.97,12.03,-1.46%,-2.41%,-1.82%,14.38%,10.34%,Sep/25
Iron Ore USD/T,105.54,0.00,0.00%,0.29%,3.95%,1.86%,14.05%,Sep/25
Silicon CNY/T,9040.00,50.00,0.56%,1.69%,6.79%,-20.00%,-29.54%,Sep/25
Scrap Steel USD/T,339.00,1.00,0.30%,0.15%,-2.16%,%,-5.70%,Sep/24
Titanium CNY/KG,49.00,0.00,0.00%,0.00%,0.01%,10.11%,11.36%,Sep/25
