Name,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Ether,3906.53,247.07,-5.95%,-14.92%,-15.06%,17.30%,48.68%,22:34
ETHBTC,0.0359180,0.0007348,-2.00%,-8.36%,-12.72%,0.63%,-11.03%,Sep/25
ETHEUR,3336.31,200.90,-5.68%,-14.35%,-15.59%,3.76%,41.91%,Sep/25
ETHGBP,2916.66,171.40,-5.55%,-13.91%,-14.54%,9.63%,48.85%,Sep/25
ETHAUD,5950.43,356.19,-5.65%,-14.25%,-15.97%,10.58%,56.08%,Sep/25
ETHCAD,5425.34,346.67,-6.01%,-14.36%,-14.74%,13.30%,53.21%,Sep/25
ETHCNY,27808.0,"1,830.9",-6.18%,-14.79%,-15.49%,13.79%,51.63%,Sep/25
ETHJPY,582942,"34,998",-5.66%,-14.20%,-14.06%,11.23%,52.91%,Sep/25
ETHNZD,6751.50,391.16,-5.48%,-13.41%,-14.03%,13.37%,62.65%,Sep/25
ETHCHF,3113.40,187.76,-5.69%,-14.45%,-15.79%,3.02%,40.00%,Sep/25
ETHMXN,70907.3,"5,603.7",-7.32%,-15.92%,-17.38%,2.11%,37.54%,Sep/25
ETHINR,340260,"28,507",-7.73%,-15.99%,-15.59%,19.38%,54.87%,Sep/25
ETHBRL,20866.1,"1,280.9",-5.78%,-14.50%,-16.46%,1.30%,45.99%,Sep/25
ETHRUB,336870,"10,994",-3.16%,-11.88%,-9.02%,-10.88%,38.42%,Sep/25
ETHKRW,5483678,"352,006",-6.03%,-13.98%,-14.54%,11.38%,58.98%,Sep/25
ETHIDR,64364718,"5,000,402",-7.21%,-15.44%,-14.20%,18.80%,61.85%,Sep/25
ETHTRY,161708.3,"10,452.2",-6.07%,-14.67%,-14.29%,37.40%,80.04%,Sep/25
ETHSAR,14371.9,"1,207.6",-7.75%,-16.55%,-16.73%,14.87%,45.81%,Sep/25
ETHSEK,36295.0,"2,757.6",-7.06%,-15.42%,-17.45%,-1.50%,36.49%,Sep/25
ETHNGN,5708488,"486,357",-7.85%,-16.86%,-19.26%,11.00%,31.39%,Sep/25
ETHPLN,14038.1,"1,055.9",-7.00%,-15.40%,-16.57%,2.04%,39.75%,Sep/25
ETHARS,5212798,"342,666",-6.17%,-23.00%,-16.42%,51.81%,105.10%,Sep/25
ETHNOK,38512.1,"2,760.2",-6.69%,-15.03%,-17.32%,1.57%,39.18%,Sep/25
ETHTWD,117013.2,"9,152.0",-7.25%,-15.37%,-16.85%,7.10%,40.42%,Sep/25
ETHIRR,174918480,"245,000",-0.14%,-9.42%,-4.92%,25.04%,62.06%,Sep/24
