Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Bitumen CNY/T,3440.00,25.00,0.73%,0.09%,-1.85%,-6.75%,8.18%,Sep/25
Cobalt USD/T,34550,0,0.00%,3.64%,3.64%,42.18%,42.18%,Sep/24
Lead USD/T,2019.43,14.25,0.71%,0.55%,1.51%,3.45%,-5.50%,Sep/25
Aluminum USD/T,2661.15,5.15,0.19%,-1.31%,0.87%,4.30%,1.90%,Sep/25
Tin USD/T,34321,19,0.06%,-0.07%,0.36%,18.01%,6.91%,Sep/24
Zinc USD/T,2928.10,5.20,-0.18%,0.54%,4.28%,-1.69%,-5.51%,Sep/25
Nickel USD/T,15240,195,-1.26%,-0.62%,-0.26%,-0.39%,-8.99%,Sep/25
Molybdenum CNY/Kg,507.50,0.00,0.00%,-0.98%,-2.41%,8.21%,6.84%,Sep/25
Palladium USD/t.oz,1257.00,45.00,3.71%,8.32%,15.43%,41.39%,20.87%,Sep/25
Rhodium USD/t oz.,7175,25,0.35%,2.14%,-2.71%,56.83%,51.05%,Sep/25
Phosphorus CNY/T,1025.00,0.00,0.00%,0.00%,-0.02%,-4.63%,-8.05%,Sep/25
Polyethylene CNY/T,7123.00,14.00,0.20%,-0.50%,-3.39%,-16.43%,-11.41%,Sep/25
Polyvinyl CNY/T,4838.00,15.00,0.31%,-0.21%,-0.82%,-1.79%,-9.32%,Sep/25
Polypropylene CNY/T,6827.00,21.00,0.31%,-0.86%,-2.83%,-7.47%,-7.38%,Sep/25
Synthetic Rubber CNY/T,12141.67,16.67,0.14%,-0.21%,-2.80%,-18.56%,-26.49%,Sep/25
Soda Ash CNY/T,1186.00,0.00,0.00%,-0.17%,-1.98%,-22.38%,-28.55%,Sep/25
Neodymium CNY/T,785000,0,0.00%,0.00%,2.60%,57.95%,47.42%,Sep/25
Sulfur CNY/T,2637.67,0.00,0.00%,-0.25%,0.51%,55.37%,87.38%,Sep/25
Tellurium CNY/Kg,595.00,0.00,0.00%,1.71%,1.70%,-7.75%,-19.05%,Sep/25
Urea USD/T,378.50,0.00,0.00%,-4.78%,-13.39%,12.15%,20.06%,Sep/25
Di-ammonium USD/T,755.00,0.00,0.00%,-0.66%,-3.82%,30.74%,36.53%,Sep/25
Magnesium CNY/T,17700,0,0.00%,-0.28%,-3.01%,4.12%,-5.35%,Sep/25
Gallium CNY/Kg,1665.00,0.00,0.00%,0.00%,3.74%,-19.76%,-36.57%,Sep/25
Germanium CNY/Kg,14250,0,0.00%,0.00%,-1.06%,-18.80%,-23.18%,Sep/25
Manganese CNY/mtu,29.85,0.00,0.00%,0.00%,0.67%,3.83%,-2.93%,Sep/25
Indium CNY/Kg,2525,0,0.00%,0.00%,-3.81%,-0.79%,-12.17%,Sep/25
Kraft Pulp CNY/T,5034.00,50.00,1.00%,0.96%,-0.44%,-14.15%,-11.68%,Sep/25
