Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDNGN,1488.900,2.540,-0.17%,-0.43%,-3.14%,-3.57%,-9.95%,Sep/25
USDZAR,17.4351,0.1034,0.60%,0.54%,-1.05%,-7.51%,1.40%,Sep/25
USDZMW,23.7400,0.1150,0.49%,0.70%,1.84%,-15.23%,-9.84%,Sep/25
USDEGP,48.1300,0.0300,-0.06%,-0.12%,-0.97%,-5.24%,-0.39%,Sep/25
USDDZD,129.443,0.073,-0.06%,0.04%,-0.31%,-4.35%,-2.28%,Sep/25
USDAOA,922.620,3.970,0.43%,0.61%,0.43%,0.00%,-3.74%,Sep/25
USDMAD,9.08780,0.03900,0.43%,0.82%,0.64%,-10.17%,-6.05%,Sep/25
USDSDG,601.500,1.279,0.21%,0.21%,0.18%,0.45%,0.47%,Sep/25
USDKES,129.200,0.050,0.04%,0.00%,0.00%,0.27%,0.15%,Sep/25
USDETB,144.6500,0.3721,-0.26%,0.78%,1.58%,13.36%,21.05%,Sep/25
USDTZS,2455.00,10.00,-0.41%,-0.81%,-2.77%,1.24%,-10.30%,Sep/25
USDTND,2.92150,0.01350,0.46%,0.95%,1.28%,-8.38%,-3.91%,Sep/25
USDLYD,5.40000,0.00500,-0.09%,0.12%,-0.48%,10.12%,14.06%,Sep/25
USDGHS,12.40000,0.05000,0.40%,1.06%,11.71%,-15.65%,-21.27%,Sep/25
USDCDF,2855.00,0.00,0.00%,2.70%,-1.64%,-0.05%,0.32%,Sep/24
USDUGX,3503.71,5.88,0.17%,0.01%,-1.59%,-4.60%,-5.13%,Sep/25
USDMZN,63.9000,0.0100,0.02%,-0.02%,-0.02%,-0.01%,-0.01%,Sep/25
USDBWP,13.4108,0.7408,-5.23%,-5.73%,-5.61%,-3.98%,2.73%,Sep/25
USDXAF,558.644,9.376,-1.65%,-0.99%,-2.27%,-12.75%,-5.02%,Sep/25
USDNAD,17.4607,0.1247,0.72%,0.67%,-0.96%,-7.28%,1.53%,Sep/25
USDSSP,4562.055,2.799,0.06%,0.20%,0.65%,17.49%,48.89%,Sep/24
USDMUR,45.4600,0.1600,0.35%,0.44%,-1.11%,-2.86%,-0.72%,Sep/25
USDMGA,4455.00,25.13,0.57%,0.97%,-0.15%,-5.06%,-1.56%,Sep/25
USDRWF,1447.00,3.00,0.21%,-0.25%,-0.10%,5.67%,7.04%,Sep/25
USDGNF,8675.00,2.00,-0.02%,0.01%,0.06%,0.85%,0.44%,Sep/25
USDMRO,39.9800,0.0500,-0.12%,-0.05%,-0.27%,0.53%,1.19%,Sep/25
USDSLL,23088.6,253.7,-1.09%,-0.16%,-0.60%,0.93%,2.00%,Sep/25
USDXOF,555.000,0.000,0.00%,0.18%,-1.64%,-11.45%,-5.64%,Sep/25
USDMWK,1733.670,0.000,0.00%,0.00%,0.00%,0.00%,-0.03%,Sep/25
USDERN,15.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/25
USDSZL,17.4700,0.1625,0.94%,0.69%,-0.91%,-7.17%,1.63%,Sep/25
USDBIF,2944.56,40.47,-1.36%,-1.34%,-1.27%,-0.43%,1.53%,Sep/25
USDLSL,17.4518,0.1229,0.71%,0.59%,-1.01%,-7.33%,1.48%,Sep/25
USDLRD,180.850,0.850,0.47%,2.18%,-9.80%,-1.98%,-6.78%,Sep/24
USDCVE,94.8550,0.5557,0.59%,1.09%,-0.26%,-11.08%,-4.23%,Sep/25
USDDJF,178.080,0.000,0.00%,0.00%,0.00%,0.27%,0.20%,Sep/25
USDSCR,14.2410,0.8937,-5.90%,-1.47%,-5.03%,-0.07%,5.84%,Sep/25
USDSOS,571.500,0.000,0.00%,0.00%,0.00%,0.62%,0.62%,Sep/25
USDGMD,73.4000,0.0000,0.00%,0.00%,0.69%,1.73%,4.34%,Sep/25
USDKMF,423.000,3.000,0.71%,1.29%,-0.02%,-10.76%,-4.33%,Sep/25
USDSTD,21.2282,0.1513,0.72%,1.09%,-0.15%,-11.20%,-3.37%,Sep/25
USDZIG,26.565,0.044,-0.17%,0.04%,-0.76%,2.97%,89.77%,Sep/25
