Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDCAD,1.39408,0.00444,0.32%,1.05%,0.77%,-3.04%,3.45%,Sep/25
USDMXN,18.5020,0.0816,0.44%,0.75%,-0.84%,-11.26%,-5.69%,Sep/25
USDBRL,5.36490,0.03290,0.62%,0.94%,-1.21%,-13.25%,-1.37%,Sep/25
DXY,98.451,0.578,0.59%,1.14%,0.23%,-9.25%,-2.13%,22:33
USDARS,1339.494,1.989,0.15%,-9.15%,-1.22%,29.93%,38.49%,Sep/25
USDCOP,3908.00,22.00,0.57%,0.38%,-3.51%,-11.29%,-6.20%,Sep/25
USDCLP,960.080,7.420,0.78%,0.33%,-0.69%,-3.45%,6.60%,Sep/25
USDPEN,3.50400,0.00190,0.05%,0.56%,-1.27%,-6.66%,-6.60%,Sep/25
USDCUC,24.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/24
USDDOP,62.0500,0.5500,-0.88%,0.42%,-1.19%,1.91%,3.16%,Sep/25
USDGTQ,7.66500,0.00200,0.03%,0.07%,-0.01%,-0.52%,-0.85%,Sep/25
USDURY,39.9266,0.0216,0.05%,-0.05%,-0.16%,-8.55%,-5.56%,Sep/25
USDCRC,505.070,0.480,0.10%,0.12%,0.32%,-0.31%,-3.81%,Sep/25
USDPAB,0.99999,0.00001,0.00%,0.00%,0.00%,0.00%,-0.01%,Sep/25
USDBOB,6.91300,0.00700,-0.10%,-0.17%,-0.17%,-0.32%,0.04%,Sep/25
USDPYG,7095.13,17.37,-0.24%,-0.36%,-1.84%,-9.18%,-9.17%,Sep/25
USDSVC,8.75440,0.00040,0.00%,0.00%,0.00%,0.05%,0.04%,Sep/25
USDTTD,6.79110,0.00290,0.04%,0.35%,-0.12%,0.37%,0.04%,Sep/25
USDHNL,26.2556,0.0000,0.00%,0.18%,0.22%,3.71%,5.68%,Sep/25
USDJMD,159.881,0.619,-0.39%,-0.36%,0.04%,3.34%,1.82%,Sep/25
USDNIO,36.6350,0.1650,-0.45%,-0.45%,-0.45%,0.10%,-0.47%,Sep/25
USDHTG,130.908,0.058,0.04%,0.04%,0.02%,0.55%,-0.91%,Sep/25
USDBSD,1.00040,0.00040,0.04%,0.04%,0.04%,0.04%,0.03%,Sep/25
USDSRD,38.9848,0.1251,-0.32%,-0.14%,2.63%,9.99%,29.31%,Sep/25
USDGYD,208.800,0.500,-0.24%,-0.10%,-0.19%,-0.19%,-0.19%,Sep/25
USDKYD,0.83125,0.00000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/24
USDVES,169.76360,0.00000,0.00%,3.87%,18.83%,227.12%,361.26%,Sep/24
