Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
Japan,1.6490,0.0095,0.05%,0.02%,0.56%,0.82%,Sep/25
India,6.4870,0.0030,-0.03%,-0.14%,-0.31%,-0.23%,Sep/25
China,1.8980,0.0050,0.03%,0.13%,0.22%,-0.19%,Sep/25
Singapore,1.8310,0.0410,0.06%,-0.01%,-1.03%,-0.78%,Sep/25
South Korea,2.8820,0.0330,0.15%,0.03%,0.01%,-0.12%,Sep/25
Taiwan,1.3720,0.0080,-0.01%,-0.05%,-0.30%,-0.12%,Sep/24
Thailand,1.3500,0.0000,-0.09%,0.04%,-0.92%,-1.13%,Sep/24
Vietnam,3.7500,0.0430,0.05%,0.06%,0.63%,0.99%,Sep/25
Hong Kong,3.0760,0.0520,0.05%,-0.02%,-0.73%,0.29%,Sep/25
Indonesia,6.4290,0.0330,0.12%,0.08%,-0.57%,-0.04%,Sep/25
Israel,4.1930,0.0150,0.01%,0.05%,-0.27%,-0.66%,Sep/25
Malaysia,3.4560,0.0150,0.06%,0.07%,-0.36%,-0.32%,Sep/25
Pakistan,11.9940,0.0000,0.00%,0.02%,-0.17%,-0.64%,Sep/25
Philippines,5.9970,0.0220,0.07%,0.00%,-0.22%,0.25%,Sep/25
