Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
JP225,45755,125,0.27%,1.00%,7.93%,14.69%,17.54%,Sep/25
SHANGHAI,3853,0,-0.01%,0.56%,-0.39%,14.96%,28.40%,Sep/25
CSI 300,4593,27,0.60%,2.12%,3.16%,16.74%,29.56%,Sep/25
SHANGHAI 50,2953,13,0.45%,1.37%,-0.57%,9.98%,18.20%,Sep/25
CH50,15215.63,88.96,0.59%,1.61%,1.70%,12.60%,20.51%,Sep/25
SENSEX,81160,556,-0.68%,-2.23%,0.46%,3.87%,-5.45%,Sep/25
DSE Broad,5415,22,0.42%,-0.64%,-0.62%,3.81%,-3.97%,Sep/25
JCI,8041,86,-1.06%,0.40%,1.71%,13.57%,3.82%,Sep/25
TASI,11308,118,-1.04%,4.89%,3.99%,-6.05%,-8.62%,Sep/25
Taiwan Stock Market Index,26024,173,-0.66%,0.99%,7.07%,12.97%,13.85%,Sep/25
ADX General,9946,32,-0.32%,-1.51%,-2.17%,5.60%,4.55%,Sep/25
SET 50,833,7,0.88%,-0.69%,1.76%,-8.09%,-9.51%,Sep/25
FKLCI,1598,1,-0.07%,-0.03%,1.07%,-2.67%,-4.36%,Sep/25
STI,4274,17,-0.39%,-0.90%,0.71%,12.84%,19.31%,Sep/25
TA-125,3069,38,1.26%,-0.39%,-1.90%,26.47%,46.77%,Sep/25
HK50,26485,34,-0.13%,-0.23%,3.76%,32.03%,32.92%,Sep/25
PSEi,6042,66,-1.09%,-3.07%,-1.68%,-7.45%,-18.99%,Sep/25
KSE 100,159280,"1,043",0.66%,0.84%,7.31%,38.35%,95.06%,Sep/25
KASE,7152,21,0.30%,-0.06%,5.61%,28.21%,37.88%,Sep/25
QE,10959,120,-1.08%,-3.09%,-3.92%,3.67%,3.56%,Sep/25
HNX,277.65,0.37,0.13%,0.26%,0.67%,22.08%,17.69%,Sep/25
VN,1666,9,0.52%,0.05%,-0.09%,31.52%,29.01%,Sep/25
MSM 30,5117,2,0.05%,-0.14%,2.04%,11.80%,8.82%,Sep/25
ASPI,21521,183,0.86%,2.65%,4.40%,34.97%,84.38%,Sep/25
Blom,1957,67,-3.33%,-1.68%,2.93%,-22.26%,-4.80%,Sep/25
ASE,3030,1,-0.02%,-1.70%,2.39%,21.74%,26.88%,Sep/25
LSX Composite,1389,50,-3.51%,-5.36%,-3.20%,20.76%,41.62%,Sep/25
MSE 20,49216,11,0.02%,0.69%,1.36%,-4.06%,2.62%,Sep/25
DFM General,5817,56,-0.95%,-2.71%,-4.70%,12.75%,28.50%,Sep/25
Kuwait All Share,8826.59,57.64,-0.65%,0.11%,2.15%,19.89%,22.54%,Sep/24
JPVIX,24.10,0.32,-1.31%,-0.04%,0.29%,10.60%,-7.34%,Sep/25
NIFTY 50,24891,166,-0.66%,-2.10%,0.72%,5.27%,-5.05%,Sep/25
TEDPIX,2523000.00,0.00,0.00%,0.00%,-2.55%,-9.51%,20.82%,Sep/03
Estirad,1952.45,4.01,0.21%,1.51%,1.18%,-1.68%,-3.05%,Sep/25
