Name,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Bitcoin,109441,3882,-3.43%,-6.58%,-2.08%,17.29%,68.15%,22:34
BTCETH,27.6811,0.3980,1.46%,8.50%,13.91%,-1.19%,11.75%,Sep/25
BTCEUR,93658.6,"2,847.2",-2.95%,-5.76%,-2.48%,3.97%,60.83%,Sep/25
BTCGBP,81878.1,"2,373.7",-2.82%,-5.27%,-1.28%,9.85%,68.70%,Sep/25
BTCAUD,167043.8,"5,020.1",-2.92%,-5.65%,-2.93%,10.80%,76.89%,Sep/25
BTCCAD,152303.2,"5,174.9",-3.29%,-5.77%,-1.51%,13.53%,73.63%,Sep/25
BTCCNY,780642,"27,999",-3.46%,-6.24%,-2.37%,14.02%,71.85%,Sep/25
BTCJPY,16364667,"494,623",-2.93%,-5.59%,-0.72%,11.46%,73.30%,Sep/25
BTCNZD,189531.9,"5,341.8",-2.74%,-4.72%,-0.69%,13.60%,84.33%,Sep/25
BTCCHF,87401.1,"2,664.6",-2.96%,-5.87%,-2.72%,3.23%,58.66%,Sep/25
BTCMXN,2017992,"69,463",-3.33%,-6.21%,-3.24%,3.72%,58.03%,Sep/25
BTCINR,9681161,"379,932",-3.78%,-6.31%,-1.17%,21.24%,77.89%,Sep/25
BTCBRL,585766,"18,473",-3.06%,-5.93%,-3.50%,1.51%,65.45%,Sep/25
BTCRUB,9365211,"125,590",-1.32%,-3.98%,4.08%,-11.57%,55.35%,Sep/25
BTCKRW,153940898,"5,274,518",-3.31%,-5.35%,-1.28%,11.60%,80.17%,Sep/25
BTCIDR,1831152076,"61,342,024",-3.24%,-5.71%,0.45%,20.64%,85.89%,Sep/25
BTCTRY,4540976,"156,092",-3.32%,-6.08%,-0.95%,37.72%,104.11%,Sep/25
BTCSAR,408895,"16,163",-3.80%,-6.94%,-2.50%,16.65%,67.48%,Sep/25
BTCSEK,1032693,"32,782",-3.08%,-5.67%,-3.34%,0.03%,56.78%,Sep/25
BTCNGN,162425699,"6,588,756",-3.90%,-7.28%,-5.47%,12.73%,50.93%,Sep/25
BTCPLN,399408,"12,403",-3.01%,-5.65%,-2.32%,3.63%,60.52%,Sep/25
BTCARS,146336617,"5,233,560",-3.45%,-15.28%,-3.45%,52.12%,132.44%,Sep/25
BTCNOK,1095589,"30,446",-2.70%,-5.26%,-3.21%,3.13%,59.85%,Sep/25
BTCTWD,3329139,"113,035",-3.28%,-5.63%,-2.65%,8.76%,61.29%,Sep/25
BTCIRR,4772314838,"62,252,288",1.32%,-2.53%,2.99%,21.77%,80.51%,Sep/24
