Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
GB100,9214,36,-0.39%,-0.15%,-0.56%,12.74%,11.21%,Sep/25
DE40,23535,132,-0.56%,-0.59%,-2.56%,18.21%,22.33%,Sep/25
FR40,7795,32,-0.41%,-0.75%,1.11%,5.62%,0.69%,Sep/25
IT40,42242,181,-0.43%,-0.15%,-0.97%,23.57%,22.76%,Sep/25
ES35,15154,41,-0.27%,-0.14%,0.23%,30.69%,26.78%,Sep/25
MOEX,2703,20,-0.75%,-3.24%,-6.33%,-6.24%,-4.47%,Sep/25
NL25,934,1,-0.11%,0.11%,3.25%,6.34%,2.49%,Sep/25
BIST 100,11379,12,0.10%,2.99%,-1.31%,15.75%,15.77%,Sep/25
CH20,11876,103,-0.86%,-1.44%,-2.34%,2.37%,-2.73%,Sep/25
Stockholm,2624,22,-0.83%,-0.43%,-1.25%,5.65%,-0.72%,Sep/25
WIG,105562,959,-0.90%,0.00%,-2.74%,32.65%,25.07%,Sep/25
BE20,4642,39,-0.84%,-1.19%,-4.01%,8.86%,8.43%,Sep/25
Oslo,1915,6,-0.31%,0.76%,0.28%,16.40%,19.46%,Sep/25
ATX,4630,5,-0.10%,-0.12%,-1.56%,26.41%,27.99%,Sep/25
Copenhagen,1558,31,-1.94%,-4.82%,-0.58%,-25.91%,-39.75%,Sep/25
Helsinki,10927,94,-0.85%,-0.77%,-0.02%,15.33%,5.87%,Sep/25
Helsinki 25,4968,44,-0.87%,-0.92%,-0.16%,15.11%,4.84%,Sep/25
ISEQ,11448,36,0.31%,2.10%,-1.08%,17.33%,11.97%,Sep/25
Athens General,2035,30,-1.46%,0.40%,-1.99%,38.48%,38.33%,Sep/25
PSI Geral,5224,4,-0.08%,2.81%,1.62%,26.01%,11.61%,Sep/25
PSI,7915,0,0.00%,2.44%,0.90%,24.11%,16.88%,Sep/25
PX,2302,10,-0.43%,0.79%,0.59%,30.76%,43.39%,Sep/25
BET,20765,120,0.58%,-0.50%,-0.22%,24.19%,17.38%,Sep/24
BUX,98015,362,-0.37%,-1.63%,-6.79%,23.56%,30.85%,Sep/25
PFTS,463,0,0.00%,0.00%,0.00%,-7.87%,-8.65%,Sep/25
SAX,269,1,-0.53%,-0.10%,-2.36%,-8.81%,-11.18%,Sep/25
LuxX,1614,15,-0.91%,-1.48%,0.50%,23.80%,11.43%,Sep/25
CROBEX,3789,1,-0.01%,-0.88%,3.07%,18.73%,28.57%,Sep/25
SOFIX,1067,1,-0.05%,-0.16%,-0.16%,19.52%,24.68%,Sep/25
SBITOP,2485,5,0.20%,0.39%,2.57%,48.81%,55.32%,Sep/25
Vilnius,1234,3,-0.22%,0.25%,1.32%,15.81%,21.92%,Sep/25
BELEX 15,1221,11,-0.87%,-0.18%,1.89%,6.48%,9.19%,Sep/25
EU600,550.22,3.66,-0.66%,-0.86%,-0.72%,8.39%,4.68%,Sep/25
EU100,1636,4,-0.27%,0.15%,2.36%,12.52%,9.29%,Sep/25
EU50,5448,16,-0.30%,-0.15%,1.20%,11.28%,8.26%,Sep/25
EU350,2246.06,3.52,-0.16%,0.64%,-0.72%,8.94%,6.57%,Sep/24
SASX-10,1475,0,0.01%,-0.27%,-0.65%,19.78%,31.86%,Sep/25
CSE General,287,3,-1.03%,-0.36%,-2.80%,33.49%,51.46%,Sep/25
Tallinn,1940,10,-0.51%,-1.15%,-4.03%,11.94%,15.19%,Sep/25
Riga,908,1,0.09%,-0.59%,-1.45%,4.44%,2.96%,Sep/25
ICEX,2097,19,-0.90%,-0.37%,1.15%,-12.20%,1.33%,Sep/25
MBI 10,10409,5,-0.05%,-0.31%,0.23%,2.04%,18.81%,Sep/25
MSE,3811,7,-0.19%,0.28%,-0.51%,1.18%,1.28%,Sep/24
Monex,17926.19,158.62,-0.88%,-1.70%,-0.24%,9.08%,13.95%,Sep/25
DE Mid,30034.59,275.25,-0.91%,-1.43%,-2.56%,17.37%,12.08%,Sep/25
DE Small,16802.15,222.08,-1.30%,-0.77%,-1.50%,22.54%,19.52%,Sep/25
Euro Stoxx Banks,231.81,0.82,-0.35%,0.48%,1.53%,58.73%,57.10%,Sep/25
