Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
US500,6615.12,22.85,-0.34%,-0.24%,2.32%,12.49%,15.16%,22:31
US30,45997,124,-0.27%,-0.31%,1.28%,8.12%,9.06%,22:31
US100,24421,83,-0.34%,-0.12%,3.83%,16.25%,21.43%,22:31
Ecuador General,1330,5,0.36%,0.98%,1.19%,12.80%,16.74%,Sep/22
TSX,29732,25,-0.08%,0.95%,4.91%,20.24%,23.71%,Sep/25
IBOVESPA,145306,"1,186",-0.81%,-0.13%,5.47%,20.80%,9.24%,Sep/25
IPC,61945,39,0.06%,1.01%,6.56%,25.02%,15.59%,Sep/25
Peru General,34938,101,0.29%,1.89%,5.80%,20.64%,21.64%,Aug/29
Merval,1768119,"75,199",-4.08%,4.28%,-13.04%,-30.21%,3.06%,Sep/25
IBC,1052,14,1.36%,8.29%,29.69%,781.42%,"1,033.96%",Sep/25
COLCAP,1876,5,-0.26%,2.88%,1.09%,35.96%,40.86%,Sep/25
IGPA,45487,336,-0.73%,-0.75%,2.63%,35.04%,38.71%,Sep/25
BVPSI,532,0,0.00%,0.41%,3.54%,14.15%,20.55%,Sep/25
BSX,2757,0,0.00%,0.00%,-7.30%,10.36%,7.21%,Sep/12
JSE,316086,"1,969",-0.62%,-0.83%,0.25%,-5.87%,2.02%,Sep/25
US1000,3611.92,19.27,-0.53%,-0.59%,2.08%,12.13%,15.16%,Sep/25
