Ticker,Strike,Expiry,Type,Bid,Ask,Volume,Open Interest
SATS,80.0,19/12/2025,Call,7.7,8.2,159,"11,399"
SATS,70.0,19/12/2025,Call,11.4,14.0,132,"10,705"
SATS,41.0,19/12/2025,Put,0.05,0.45,2,"7,497"
SATS,75.0,19/12/2025,Call,9.8,10.3,16,"6,397"
SATS,40.0,16/01/2026,Call,36.5,38.9,3,"6,180"
SATS,90.0,19/12/2025,Call,4.8,5.1,97,"6,052"
SATS,85.0,16/01/2026,Call,7.2,7.7,490,"4,119"
SATS,70.0,19/12/2025,Put,4.0,5.0,154,"3,815"
SATS,48.0,20/03/2026,Call,30.4,33.0,"4,000","3,802"
SATS,80.0,16/01/2026,Call,9.0,9.2,68,"3,731"
OPEN,5.0,16/01/2026,Call,6.15,6.25,"12,793","43,529"
OPEN,7.0,16/01/2026,Call,4.5,5.15,"14,283","38,889"
OPEN,4.0,15/01/2027,Call,7.35,7.7,"1,860","34,394"
OPEN,3.5,17/12/2027,Call,7.8,8.7,"24,124","30,743"
OPEN,3.5,17/12/2027,Put,1.38,1.47,"22,292","28,808"
OPEN,5.0,15/01/2027,Call,6.9,7.1,"5,689","25,674"
OPEN,10.0,16/01/2026,Call,3.8,3.95,"26,224","23,483"
OPEN,4.0,20/02/2026,Call,6.8,7.45,"1,293","21,346"
OPEN,9.0,16/01/2026,Call,3.9,4.35,"9,785","20,688"
OPEN,8.0,16/01/2026,Call,4.55,4.7,"17,593","19,427"
GPRO,2.0,17/04/2026,Call,0.75,0.8,"2,305","55,402"
GPRO,1.0,16/01/2026,Call,1.1,1.25,649,"21,218"
GPRO,1.0,17/04/2026,Call,1.15,1.25,"5,446","18,940"
GPRO,2.0,16/01/2026,Call,0.6,0.65,"2,323","8,124"
GPRO,1.5,16/01/2026,Call,0.7,0.9,442,"7,294"
GPRO,1.0,16/01/2026,Put,0.1,0.15,32,"3,702"
GPRO,3.0,16/01/2026,Call,0.35,0.45,965,"3,422"
GPRO,1.5,16/01/2026,Put,0.2,0.5,25,"3,071"
GPRO,4.0,16/01/2026,Call,0.25,0.3,275,"2,157"
GPRO,1.5,17/04/2026,Call,0.95,1.05,88,"1,934"
IONS,65.0,16/01/2026,Call,6.3,7.5,1,"1,462"
IONS,32.5,16/01/2026,Call,31.1,34.1,2,"1,429"
IONS,37.5,16/01/2026,Call,26.0,29.3,3,"1,426"
IONS,32.5,16/01/2026,Put,0.0,2.2,1,"1,331"
IONS,50.0,16/01/2026,Call,14.5,18.2,6,"1,082"
IONS,55.0,16/01/2026,Call,11.5,13.2,22,973
IONS,47.5,16/01/2026,Call,16.8,20.1,6,930
IONS,50.0,15/01/2027,Call,21.0,25.0,1,753
IONS,35.0,16/01/2026,Call,29.1,30.4,3,730
IONS,40.0,16/01/2026,Call,24.8,25.6,5,677
MNKD,10.0,16/01/2026,Call,0.0,0.05,17,"9,591"
MNKD,7.0,16/01/2026,Call,0.25,0.35,5,"8,005"
MNKD,12.0,15/01/2027,Call,0.45,0.5,60,"3,323"
MNKD,6.0,16/01/2026,Call,0.5,0.65,42,"3,243"
MNKD,10.0,15/01/2027,Call,0.55,0.7,1,"3,222"
MNKD,5.0,16/01/2026,Call,0.95,1.05,2,"2,558"
MNKD,3.0,15/01/2027,Call,2.65,3.1,2,"2,383"
MNKD,7.0,15/01/2027,Call,1.0,1.3,10,"2,122"
MNKD,7.0,20/02/2026,Call,0.0,0.45,503,"1,385"
MNKD,5.0,16/01/2026,Put,0.45,0.65,1,"1,139"
RUN,12.5,16/01/2026,Call,4.9,5.05,11,"112,065"
RUN,7.5,16/01/2026,Put,0.18,0.28,1,"102,728"
RUN,5.0,15/01/2027,Put,0.48,0.72,25,"21,873"
RUN,20.0,16/01/2026,Call,1.78,1.85,7,"18,290"
RUN,17.5,16/01/2026,Call,2.33,2.61,12,"14,888"
RUN,10.0,16/01/2026,Put,0.58,0.62,35,"14,109"
RUN,25.0,16/01/2026,Call,0.91,0.95,7,"12,467"
RUN,15.0,16/01/2026,Call,3.55,3.65,6,"9,235"
RUN,20.0,19/12/2025,Call,1.5,1.58,25,"8,885"
RUN,7.5,16/01/2026,Call,8.8,8.9,4,"8,747"
ETSY,80.0,19/12/2025,Call,1.35,1.44,31,"6,057"
ETSY,40.0,16/01/2026,Put,0.75,0.82,4,"5,926"
ETSY,85.0,16/01/2026,Call,1.16,1.3,19,"5,044"
ETSY,90.0,16/01/2026,Call,0.75,0.99,1,"4,734"
ETSY,45.0,16/01/2026,Call,16.6,16.9,"1,100","4,696"
ETSY,80.0,16/01/2026,Call,1.69,1.79,27,"4,494"
ETSY,60.0,16/01/2026,Call,7.1,7.2,246,"3,077"
ETSY,75.0,15/01/2027,Call,8.9,9.35,13,"3,066"
ETSY,50.0,16/01/2026,Put,2.67,2.76,4,"2,924"
ETSY,70.0,15/01/2027,Call,10.5,10.85,4,"2,844"
AORT,40.0,16/01/2026,Call,3.0,7.4,1,17
AORT,45.0,16/01/2026,Call,0.55,4.8,10,11
AORT,40.0,17/04/2026,Put,1.15,6.0,5,9
AORT,40.0,16/01/2026,Put,0.6,4.9,1,7
AORT,35.0,16/01/2026,Put,0.0,4.8,1,5
AORT,35.0,17/04/2026,Call,7.5,12.0,N/A,2
DAY,70.0,19/12/2025,Call,0.4,0.5,9,"1,472"
DAY,60.0,19/12/2025,Put,0.05,1.0,50,489
DAY,75.0,20/03/2026,Call,0.1,0.4,10,262
DAY,60.0,20/03/2026,Put,0.05,0.15,11,141
DAY,65.0,20/03/2026,Put,0.3,2.1,4,110
DAY,65.0,19/12/2025,Put,0.0,0.25,10,94
DAY,80.0,20/03/2026,Call,0.0,0.15,31,81
DAY,50.0,20/03/2026,Put,0.0,0.2,21,66
DAY,45.0,19/12/2025,Put,0.0,0.05,23,43
DAY,55.0,19/12/2025,Put,0.0,0.05,1,42
ZD,35.0,19/12/2025,Put,1.8,4.5,350,677
ZD,30.0,19/12/2025,Put,0.0,3.3,1,671
ZD,25.0,19/12/2025,Put,0.2,0.6,5,150
ZD,40.0,16/01/2026,Call,2.95,3.5,1,112
ZD,55.0,16/01/2026,Call,0.0,2.1,N/A,90
ZD,35.0,19/12/2025,Call,4.8,5.7,3,56
ZD,35.0,20/03/2026,Call,6.1,8.9,5,56
ZD,30.0,19/12/2025,Call,7.5,10.7,50,52
ZD,55.0,19/12/2025,Call,0.6,1.85,44,47
ZD,45.0,19/12/2025,Call,0.0,3.3,44,46
DDD,3.0,16/01/2026,Put,0.95,1.1,2,"7,915"
DDD,3.5,16/01/2026,Call,0.15,0.25,87,"6,309"
DDD,5.0,16/01/2026,Call,0.05,0.1,102,"4,144"
DDD,2.0,16/01/2026,Call,0.55,0.65,18,"3,550"
DDD,3.0,16/01/2026,Call,0.25,0.35,14,"3,342"
DDD,2.0,16/01/2026,Put,0.3,0.45,3,"2,837"
DDD,7.5,15/01/2027,Call,0.25,0.4,20,"2,602"
DDD,1.5,16/01/2026,Call,0.8,0.9,13,"2,356"
DDD,1.0,16/01/2026,Call,1.25,1.35,1,"2,035"
DDD,1.0,15/01/2027,Call,1.35,1.55,1,"1,749"
WK,105.0,19/12/2025,Call,0.3,1.0,1,"1,002"
WK,80.0,16/01/2026,Call,6.2,7.9,4,142
WK,85.0,19/12/2025,Call,1.95,5.4,1,109
WK,95.0,19/12/2025,Call,0.0,3.8,30,96
WK,70.0,19/12/2025,Call,9.9,14.2,2,70
WK,40.0,19/12/2025,Put,0.0,2.75,1,63
WK,80.0,19/12/2025,Call,4.4,7.6,2,53
WK,90.0,19/12/2025,Call,1.25,4.5,6,53
WK,60.0,19/12/2025,Put,0.0,3.2,7,34
WK,65.0,19/12/2025,Put,0.35,4.0,4,33
RNG,15.0,16/01/2026,Put,0.05,0.85,10,"3,122"
RNG,40.0,16/01/2026,Call,0.6,0.75,20,"2,759"
RNG,22.5,16/01/2026,Put,0.35,0.5,1,"1,512"
RNG,50.0,16/01/2026,Call,0.0,1.0,1,"1,510"
RNG,60.0,16/01/2026,Call,0.0,0.15,1,759
RNG,45.0,19/12/2025,Call,0.15,0.3,6,723
RNG,30.0,16/01/2026,Call,3.9,4.1,14,654
RNG,45.0,16/01/2026,Call,0.2,0.35,3,599
RNG,30.0,16/01/2026,Put,2.25,2.4,2,549
RNG,40.0,19/12/2025,Call,0.5,0.7,22,544
HAE,50.0,19/12/2025,Put,2.15,2.8,80,412
HAE,55.0,19/12/2025,Put,4.3,5.1,1,114
HAE,80.0,19/12/2025,Call,0.0,0.75,1,101
HAE,65.0,19/12/2025,Call,0.65,1.2,2,82
HAE,45.0,19/12/2025,Put,0.95,1.4,13,73
HAE,60.0,19/12/2025,Put,7.3,8.3,15,72
HAE,55.0,19/12/2025,Call,2.9,4.1,44,66
HAE,55.0,20/03/2026,Put,6.2,6.8,1,66
HAE,75.0,19/12/2025,Call,0.0,0.45,1,64
HAE,60.0,19/12/2025,Call,1.7,2.25,4,41
SABR,2.0,19/12/2025,Put,0.3,0.35,5,"54,902"
SABR,2.0,18/12/2026,Put,0.0,0.75,3,"27,086"
SABR,4.5,18/06/2026,Call,0.0,0.15,5,"13,987"
SABR,5.0,15/01/2027,Call,0.0,0.15,41,"10,258"
SABR,1.5,17/04/2026,Put,0.15,0.25,2,"8,202"
SABR,4.5,16/01/2026,Call,0.0,0.15,10,"7,859"
SABR,5.0,19/12/2025,Call,0.0,0.1,40,"6,772"
SABR,3.5,16/01/2026,Call,0.0,0.15,"1,050","6,459"
SABR,2.0,16/01/2026,Put,0.3,0.4,50,"6,276"
SABR,3.0,16/01/2026,Call,0.05,0.1,107,"3,065"
BLMN,7.5,15/01/2027,Call,1.55,1.8,10,"2,548"
BLMN,10.0,16/01/2026,Call,0.15,0.25,12,"1,106"
BLMN,15.0,15/01/2027,Put,8.0,8.2,300,"1,000"
BLMN,12.5,15/01/2027,Call,0.45,0.6,23,998
BLMN,10.0,15/01/2027,Call,0.85,1.1,1,895
BLMN,10.0,19/12/2025,Call,0.1,0.2,18,886
BLMN,7.5,19/12/2025,Call,0.6,0.7,83,845
BLMN,15.0,15/01/2027,Call,0.0,0.6,9,828
BLMN,7.5,16/01/2026,Call,0.7,0.8,25,707
BLMN,5.0,15/01/2027,Put,0.75,1.0,17,550
LNTH,55.0,19/12/2025,Put,3.4,7.6,1,354
LNTH,60.0,19/12/2025,Call,3.5,4.2,2,332
LNTH,100.0,16/01/2026,Call,0.0,2.3,46,228
LNTH,60.0,16/01/2026,Put,7.1,10.9,2,214
LNTH,55.0,16/01/2026,Call,4.5,8.7,1,190
LNTH,50.0,16/01/2026,Call,9.1,9.6,32,140
LNTH,45.0,16/01/2026,Put,2.05,4.3,1,132
LNTH,92.5,19/12/2025,Call,0.0,0.7,3,124
LNTH,150.0,15/01/2027,Call,0.0,2.1,100,102
LNTH,45.0,15/01/2027,Put,5.5,8.5,1,100
FLR,70.0,18/06/2026,Call,1.0,1.5,10,"20,012"
FLR,47.5,18/06/2026,Call,5.0,5.3,3,"11,090"
FLR,50.0,16/01/2026,Call,2.05,2.1,"1,518","3,254"
FLR,55.0,16/01/2026,Call,1.05,1.25,5,"2,544"
FLR,55.0,20/03/2026,Call,1.8,2.15,200,"2,414"
FLR,40.0,16/01/2026,Put,3.5,3.8,16,"1,811"
FLR,60.0,15/01/2027,Call,2.6,4.4,1,"1,750"
FLR,35.0,16/01/2026,Call,8.5,8.8,2,"1,724"
FLR,40.0,20/03/2026,Put,4.6,4.9,8,"1,700"
FLR,37.5,20/03/2026,Put,3.5,3.8,1,"1,696"
GWRE,230.0,19/12/2025,Call,33.6,36.8,1,183
GWRE,220.0,19/12/2025,Put,5.4,8.4,12,150
GWRE,240.0,19/12/2025,Call,27.3,30.0,1,134
GWRE,185.0,16/01/2026,Put,1.05,3.7,2,102
GWRE,230.0,19/12/2025,Put,7.7,10.8,3,93
GWRE,260.0,19/12/2025,Call,16.4,18.7,2,88
GWRE,180.0,19/12/2025,Call,75.5,78.4,5,76
GWRE,280.0,19/12/2025,Call,9.2,11.2,1,68
GWRE,210.0,19/12/2025,Put,3.8,6.4,3,56
GWRE,230.0,16/01/2026,Put,9.0,11.3,1,54
XRX,5.0,15/01/2027,Put,1.95,2.15,12,"29,308"
XRX,5.0,16/01/2026,Put,1.5,1.6,114,"20,500"
XRX,5.0,17/12/2027,Put,2.2,3.0,5,"16,836"
XRX,3.0,17/04/2026,Put,0.45,0.55,10,"16,807"
XRX,4.0,16/01/2026,Put,0.6,1.0,433,"14,161"
XRX,5.0,16/01/2026,Call,0.25,0.35,116,"11,817"
XRX,3.0,16/01/2026,Put,0.3,0.4,24,"10,752"
XRX,3.0,15/01/2027,Put,0.75,0.9,5,"10,398"
XRX,8.0,16/01/2026,Call,0.0,0.25,1,"8,649"
XRX,3.0,17/12/2027,Put,0.95,1.15,4,"5,726"
INVA,20.0,19/12/2025,Put,0.0,2.15,100,"1,608"
INVA,25.0,20/03/2026,Call,0.1,0.65,1,288
INVA,22.5,20/03/2026,Call,0.0,1.8,1,92
INVA,20.0,19/12/2025,Call,0.0,2.4,20,23
INVA,22.5,19/12/2025,Call,0.1,0.75,10,14
INVA,35.0,20/03/2026,Call,0.0,3.0,N/A,10
INVA,25.0,19/12/2025,Call,0.0,1.3,9,9
INVA,15.0,19/12/2025,Call,4.5,7.4,8,8
INVA,20.0,20/03/2026,Call,0.0,2.7,1,7
INVA,17.5,20/03/2026,Call,1.95,4.4,1,7
CHTR,400.0,15/01/2027,Call,18.0,24.0,2,"4,056"
