Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDJPY,148.835,1.225,0.83%,1.34%,0.69%,-5.41%,2.85%,22:29
USDCNY,7.13622,0.02336,0.33%,0.50%,-0.31%,-2.74%,1.44%,22:29
USDINR,88.7770,0.0314,-0.04%,0.99%,1.33%,3.74%,6.08%,Sep/24
USDKRW,1404.66,10.18,0.73%,1.74%,1.01%,-4.98%,5.20%,Sep/24
USDIDR,16675.0,32.0,0.19%,1.36%,2.46%,2.51%,9.56%,Sep/24
USDSAR,3.75050,0.00030,-0.01%,-0.03%,-0.04%,-0.16%,-0.04%,Sep/24
USDTWD,30.3760,0.0621,0.20%,0.91%,-0.29%,-7.40%,-5.08%,Sep/24
USDIRR,42075.0,25.0,0.06%,0.06%,0.06%,0.18%,0.18%,Sep/24
USDAED,3.67250,0.00050,-0.01%,-0.01%,-0.01%,-0.02%,-0.01%,Sep/24
USDTHB,32.1000,0.2400,0.75%,0.94%,-1.14%,-6.50%,-2.10%,Sep/24
USDMYR,4.20750,0.00900,0.21%,0.45%,0.00%,-5.90%,1.85%,Sep/24
USDSGD,1.28846,0.00503,0.39%,0.85%,0.19%,-5.66%,-0.11%,22:29
USDILS,3.34530,0.00680,0.20%,0.24%,-0.97%,-8.03%,-10.48%,Sep/24
USDHKD,7.77819,0.00270,0.03%,0.01%,-0.44%,0.15%,-0.10%,Sep/24
USDPHP,57.7000,0.4510,0.79%,1.66%,1.77%,-0.66%,3.12%,Sep/24
USDPKR,281.350,0.150,-0.05%,-0.05%,-0.51%,1.07%,0.76%,Sep/24
USDIQD,1310.00,0.00,0.00%,0.00%,-0.01%,0.08%,-0.51%,Sep/24
USDKZT,542.505,1.790,-0.33%,0.28%,1.37%,3.41%,13.54%,Sep/24
USDQAR,3.64100,0.00370,-0.10%,-0.11%,-0.38%,-0.10%,-0.08%,Sep/24
USDVND,26419.0,1.0,0.00%,0.17%,0.43%,3.69%,7.48%,Sep/24
USDBDT,121.7000,0.0000,0.00%,-0.04%,-0.04%,2.27%,1.83%,Sep/24
USDOMR,0.38477,0.00001,0.00%,0.00%,0.00%,-0.06%,-0.06%,Sep/24
USDAZN,1.70000,0.00000,0.00%,0.00%,0.00%,0.30%,0.00%,Sep/24
USDLKR,302.770,0.320,0.11%,0.34%,0.31%,3.27%,0.13%,Sep/24
USDSYP,13005.00,0.00,0.00%,0.00%,0.00%,0.00%,0.03%,Sep/23
USDMMK,2093.70,0.00,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/24
USDUZS,12225.0,54.0,0.44%,-0.24%,-1.01%,-5.23%,-4.64%,Sep/24
USDMOP,8.01800,0.00500,0.06%,0.03%,-0.40%,0.17%,-0.54%,Sep/24
USDTMT,3.51000,0.01050,0.30%,0.30%,0.30%,0.44%,0.00%,Sep/24
USDLBP,90171.35,621.35,0.69%,0.69%,0.69%,0.75%,0.18%,Sep/24
USDYER,239.250,0.100,-0.04%,-0.08%,-0.34%,-3.94%,-4.29%,Sep/24
USDBHD,0.37702,0.00003,-0.01%,0.00%,-0.01%,-0.02%,0.06%,Sep/24
USDAFN,68.5000,1.0500,1.56%,1.81%,0.04%,-2.63%,0.09%,Sep/24
USDNPR,142.156,0.141,0.10%,1.17%,1.44%,3.78%,5.70%,Sep/24
USDBND,1.28860,0.00520,0.41%,0.81%,0.23%,-5.61%,-0.24%,Sep/24
USDKHR,4007.50,0.50,0.01%,0.01%,-0.04%,-0.24%,-1.12%,Sep/24
USDGEL,2.70900,0.00100,0.04%,-0.46%,0.52%,-3.77%,-0.70%,Sep/24
USDKPW,130.000,0.000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/23
USDMNT,3597.00,1.00,0.03%,0.00%,0.00%,5.18%,6.39%,Sep/24
USDLAK,21660.0,2.0,0.01%,0.04%,-0.10%,-0.20%,-2.41%,Sep/24
USDAMD,382.720,0.130,-0.03%,-0.06%,-0.03%,-3.25%,-1.23%,Sep/24
USDTJS,9.3833,0.0233,0.25%,-0.44%,-2.00%,-13.52%,-12.30%,Sep/24
USDKGS,87.4500,0.0000,0.00%,0.00%,0.09%,0.52%,3.86%,Sep/24
USDMVR,15.4600,0.0000,0.00%,0.00%,0.00%,0.26%,0.26%,Sep/24
USDKWD,0.30550,0.00030,0.10%,0.12%,-0.04%,-0.91%,0.03%,Sep/24
USDJOD,0.70900,0.00000,0.00%,0.00%,0.00%,-0.06%,0.04%,Sep/24
