Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDNGN,1488.030,1.390,-0.09%,-0.55%,-3.19%,-3.63%,-9.84%,Sep/24
USDZAR,17.3399,0.1026,0.60%,-0.25%,-1.48%,-8.03%,0.37%,22:29
USDZMW,23.6800,0.1550,0.66%,-0.22%,0.93%,-15.44%,-11.18%,Sep/24
USDEGP,48.1600,0.0100,0.02%,0.04%,-0.70%,-5.18%,-0.70%,Sep/24
USDDZD,129.515,0.329,0.25%,0.28%,-0.12%,-4.30%,-2.01%,Sep/24
USDAOA,918.650,0.005,0.00%,0.00%,0.18%,-0.43%,-4.06%,Sep/24
USDMAD,9.05920,0.03450,0.38%,1.00%,0.33%,-10.46%,-6.40%,Sep/24
USDSDG,601.500,1.329,0.22%,0.22%,0.19%,0.45%,0.46%,Sep/24
USDKES,129.150,0.000,0.00%,-0.04%,-0.04%,0.23%,0.12%,Sep/24
USDETB,144.6500,0.7098,-0.49%,-0.09%,1.88%,13.36%,20.69%,Sep/24
USDTZS,2465.00,0.00,0.00%,-0.20%,-1.60%,1.65%,-9.77%,Sep/24
USDTND,2.90350,0.00920,0.32%,0.89%,0.50%,-8.94%,-3.78%,Sep/24
USDLYD,5.40000,0.00360,0.07%,0.38%,-0.16%,10.12%,13.11%,Sep/24
USDGHS,12.35000,0.05000,0.41%,0.78%,12.27%,-15.99%,-21.34%,Sep/24
USDCDF,2855.00,0.00,0.00%,-0.70%,-1.64%,-0.05%,0.53%,Sep/23
USDUGX,3497.83,5.35,-0.15%,-0.05%,-1.76%,-4.76%,-5.28%,Sep/24
USDMZN,63.8900,0.2800,0.44%,-0.03%,-0.03%,-0.02%,-0.02%,Sep/24
USDBWP,13.3108,0.8743,-6.16%,-6.10%,-6.31%,-4.69%,1.96%,Sep/24
USDXAF,558.682,7.518,-1.33%,-1.05%,-2.76%,-12.74%,-5.19%,Sep/24
USDNAD,17.3500,0.0900,0.52%,-0.27%,-1.46%,-7.87%,0.27%,Sep/24
USDSSP,4559.256,0.000,0.00%,0.16%,0.59%,17.41%,49.00%,Sep/23
USDMUR,45.3000,0.0300,0.07%,0.53%,-0.77%,-3.21%,-0.75%,Sep/24
USDMGA,4455.00,54.00,1.23%,-0.09%,0.80%,-5.06%,-1.75%,Sep/24
USDRWF,1447.50,1.25,-0.09%,-0.21%,-0.07%,5.71%,6.21%,Sep/24
USDGNF,8677.00,0.50,0.01%,0.05%,0.09%,0.87%,-0.05%,Sep/24
USDMRO,40.0300,0.0300,0.08%,0.08%,-0.15%,0.65%,0.96%,Sep/24
USDSLL,23229.2,102.7,0.44%,-0.48%,-0.28%,1.54%,2.92%,Sep/24
USDXOF,555.000,1.250,-0.22%,-0.60%,-1.03%,-11.45%,-5.83%,Sep/24
USDMWK,1733.670,0.000,0.00%,0.00%,0.00%,0.00%,-0.52%,Sep/24
USDERN,15.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/24
USDSZL,17.3500,0.1150,0.67%,-0.18%,-1.43%,-7.81%,0.34%,Sep/24
USDBIF,2985.03,0.03,0.00%,0.02%,0.07%,0.94%,2.43%,Sep/24
USDLSL,17.3433,0.1081,0.63%,-0.30%,-1.46%,-7.90%,0.23%,Sep/24
USDLRD,180.000,1.500,0.84%,1.69%,-10.22%,-2.44%,-7.22%,Sep/23
USDCVE,94.3280,0.5942,0.63%,0.83%,-0.92%,-11.58%,-5.15%,Sep/24
USDDJF,178.080,0.000,0.00%,0.00%,0.00%,0.27%,-0.51%,Sep/24
USDSCR,15.1344,0.0422,-0.28%,1.28%,7.10%,6.20%,8.42%,Sep/24
USDSOS,571.500,0.000,0.00%,0.00%,0.00%,0.62%,0.62%,Sep/24
USDGMD,73.4000,0.0250,0.03%,0.03%,0.72%,1.73%,4.41%,Sep/24
USDKMF,420.000,2.210,0.53%,0.84%,-0.62%,-11.39%,-5.00%,Sep/24
USDSTD,21.0794,0.1318,0.63%,0.61%,-1.05%,-11.82%,-4.23%,Sep/24
USDZIG,26.609,0.034,0.13%,-0.26%,-0.57%,3.14%,90.18%,Sep/24
