Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
CRB Index Index Points,372.02,2.68,0.73%,-2.33%,-0.28%,4.26%,8.88%,Sep/23
LME Index Index Points,4274.70,1.80,0.04%,-1.89%,1.10%,9.45%,1.25%,Sep/23
GSCI Index Points,556.88,5.41,0.98%,0.70%,1.50%,1.32%,3.74%,Sep/24
SSE Consume Commodity Index Index Points,8750.52,112.13,1.30%,-2.28%,-0.61%,11.09%,25.19%,Sep/24
Containerized Freight Index Points,1198.21,0.00,0.00%,-14.30%,-15.34%,-51.30%,-49.36%,Sep/24
Nuclear Energy Index USD,48.51,1.87,-3.71%,8.28%,23.50%,81.21%,66.47%,Sep/24
Solar Energy Index USD,43.35,1.11,2.63%,0.81%,4.08%,28.67%,6.51%,Sep/24
EU Carbon Permits EUR,76.79,0.58,0.76%,-0.93%,6.37%,5.19%,20.23%,Sep/23
Wind Energy Index USD,19.00,0.12,0.64%,1.39%,1.88%,28.38%,6.38%,Sep/24
