Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
Japan,1.6400,0.0200,0.05%,0.02%,0.55%,0.83%,Sep/24
India,6.4840,0.0120,0.01%,-0.10%,-0.31%,-0.26%,Sep/24
China,1.8940,0.0080,0.02%,0.11%,0.21%,-0.14%,Sep/24
Singapore,1.7900,0.0180,0.04%,-0.07%,-1.07%,-0.78%,Sep/24
South Korea,2.8490,0.0380,0.06%,-0.01%,-0.02%,-0.15%,Sep/24
Taiwan,1.3720,0.0080,-0.01%,-0.05%,-0.30%,-0.12%,Sep/24
Thailand,1.3500,0.0000,-0.09%,0.04%,-0.92%,-1.13%,Sep/24
Vietnam,3.7070,0.0000,0.02%,0.03%,0.59%,0.94%,Sep/24
Hong Kong,3.1290,0.0010,0.09%,0.06%,-0.68%,0.33%,Sep/23
Indonesia,6.3960,0.0430,0.06%,0.07%,-0.60%,-0.05%,Sep/24
Israel,4.2080,0.0270,0.10%,0.09%,-0.26%,-0.93%,Sep/22
Malaysia,3.4410,0.0130,0.03%,0.07%,-0.38%,-0.32%,Sep/24
Pakistan,11.9940,0.0010,0.00%,0.01%,-0.17%,-0.73%,Sep/24
Philippines,5.9750,0.0050,0.02%,-0.04%,-0.24%,0.24%,Sep/23
