Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Gold USD/t.oz,3744.90,19.28,-0.51%,2.31%,11.21%,42.68%,40.97%,22:27
Silver USD/t.oz,43.917,0.122,-0.28%,5.35%,13.84%,52.04%,37.96%,22:27
Copper USD/Lbs,4.7578,0.1771,3.87%,4.20%,6.54%,19.57%,7.31%,22:27
Steel CNY/T,3086.00,15.00,0.49%,-0.29%,-1.41%,-6.77%,-1.34%,Sep/24
Lithium CNY/T,73850,0,0.00%,0.96%,-10.48%,-1.60%,1.86%,Sep/24
Iron Ore CNY CNY/T,803.50,0.50,0.06%,-0.19%,2.55%,3.15%,13.33%,Sep/24
Platinum USD/t.oz,1482.10,0.8,-0.05%,8.00%,11.26%,65.72%,49.44%,22:27
HRC Steel USD/T,817.01,10.99,-1.33%,0.49%,-1.21%,15.23%,12.54%,Sep/24
Iron Ore USD/T,105.54,0.05,0.05%,0.23%,3.88%,1.86%,14.41%,Sep/24
Silicon CNY/T,8990.00,100.00,1.12%,0.50%,4.05%,-20.44%,-29.96%,Sep/24
Scrap Steel USD/T,338.00,0.50,-0.15%,0.00%,-2.45%,%,-5.98%,Sep/23
Titanium CNY/KG,49.00,0.00,0.00%,0.00%,-0.02%,10.11%,11.36%,Sep/24
