Country,Yield,Day,Weekly,Monthly,YTD,YoY,Date
United States,4.1520,0.0450,0.07%,-0.12%,-0.42%,0.36%,Sep/24
United Kingdom,4.6760,0.0073,0.05%,-0.02%,0.11%,0.68%,Sep/24
Japan,1.6400,0.0200,0.05%,0.02%,0.55%,0.83%,Sep/24
Australia,4.3320,0.0610,0.11%,0.04%,-0.04%,0.41%,Sep/24
Germany,2.7551,0.0031,0.08%,0.00%,0.39%,0.57%,Sep/24
Brazil,13.6270,0.0760,0.11%,-0.35%,-1.48%,1.37%,Sep/24
Russia,14.6100,0.1300,0.53%,0.80%,-0.61%,-1.07%,Sep/24
India,6.4840,0.0120,0.01%,-0.10%,-0.31%,-0.26%,Sep/24
Canada,3.2060,0.0200,0.02%,-0.27%,-0.03%,0.20%,Sep/24
Italy,3.5950,0.0218,0.10%,-0.02%,0.08%,0.06%,Sep/24
France,3.5675,0.0046,0.08%,0.07%,0.37%,0.59%,Sep/24
South Africa,9.0650,0.0500,-0.17%,-0.50%,0.03%,0.22%,Sep/23
Switzerland,0.2400,0.0070,-0.01%,-0.12%,-0.01%,-0.25%,Sep/24
Mexico,8.5400,0.0300,-0.08%,-0.32%,-1.88%,-0.78%,Sep/24
Netherlands,2.9147,0.0034,0.06%,-0.02%,0.32%,0.44%,Sep/24
New Zealand,4.2020,0.0343,-0.08%,-0.19%,-0.22%,-0.02%,Sep/24
Portugal,3.1590,0.0020,0.06%,-0.03%,0.32%,0.38%,Sep/24
South Korea,2.8490,0.0380,0.06%,-0.01%,-0.02%,-0.15%,Sep/24
Spain,3.3070,0.0110,0.07%,-0.06%,0.25%,0.32%,Sep/24
Greece,3.4600,0.0320,0.09%,0.00%,0.26%,0.29%,Sep/24
Turkey,29.4500,0.0300,2.36%,2.44%,4.41%,5.01%,Sep/24
