Company,Price,Chg,%Chg,YoY
Freeport-McMoran FCX,37.76,7.60,-16.75%,-21.89%
Axon Enterprise AXON,698.02,79.56,-10.23%,76.60%
KKR KKR,138.22,9.03,-6.13%,4.97%
Apollo Global Management APO,137.16,7.73,-5.34%,10.14%
Synopsys SNPS,468.04,22.28,-4.54%,-8.29%
Jabil Circuit JBL,225.28,9.17,-3.91%,98.61%
Electronic Arts EA EA,167.35,6.72,-3.86%,18.33%
