Pair,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
USDCAD,1.38956,0.0057,0.41%,0.91%,0.27%,-3.35%,3.06%,22:29
USDMXN,18.4141,0.0705,0.38%,0.58%,-1.45%,-11.68%,-6.25%,22:29
USDBRL,5.32640,0.04340,0.82%,0.41%,-1.59%,-13.87%,-2.71%,Sep/24
DXY,97.834,0.57,0.59%,0.99%,-0.61%,-9.82%,-3.09%,22:29
USDARS,1337.506,30.000,-2.19%,-9.24%,-1.58%,29.73%,38.10%,Sep/24
USDCOP,3886.99,30.74,0.80%,0.34%,-3.45%,-11.77%,-7.47%,Sep/24
USDCLP,952.670,4.020,0.42%,0.06%,-1.20%,-4.20%,4.30%,Sep/24
USDPEN,3.50500,0.00460,0.13%,0.83%,-0.82%,-6.63%,-6.96%,Sep/24
USDCUC,24.0000,0.0000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/23
USDDOP,62.3000,0.3900,0.63%,0.74%,-0.67%,2.32%,3.38%,Sep/24
USDGTQ,7.66300,0.00300,0.04%,0.04%,-0.03%,-0.55%,-0.88%,Sep/24
USDURY,39.9181,0.0331,0.08%,-0.18%,-0.18%,-8.57%,-5.23%,Sep/24
USDCRC,504.590,0.390,0.08%,0.15%,0.13%,-0.41%,-3.06%,Sep/24
USDPAB,0.99960,0.00040,-0.04%,-0.04%,-0.04%,-0.04%,-0.05%,Sep/24
USDBOB,6.91650,0.00350,-0.05%,-0.27%,-0.27%,-0.27%,0.09%,Sep/24
USDPYG,7119.37,6.87,0.10%,-0.02%,-1.63%,-8.87%,-9.12%,Sep/24
USDSVC,8.75780,0.00330,0.04%,0.03%,0.04%,0.09%,-0.42%,Sep/24
USDTTD,6.79400,0.00580,0.09%,0.15%,-0.01%,0.41%,-0.66%,Sep/24
USDHNL,26.2556,0.0106,0.04%,0.18%,0.25%,3.71%,5.16%,Sep/24
USDJMD,160.052,0.142,0.09%,-0.25%,-0.04%,3.45%,1.69%,Sep/24
USDNIO,36.6350,0.1650,-0.45%,-0.45%,-0.45%,0.10%,-0.95%,Sep/24
USDHTG,130.972,0.075,0.06%,0.01%,0.09%,0.60%,-1.27%,Sep/24
USDBSD,1.00090,0.00090,0.09%,0.09%,0.09%,0.09%,-0.42%,Sep/24
USDSRD,39.1098,0.0687,0.18%,-0.58%,3.06%,10.34%,31.98%,Sep/24
USDGYD,209.300,0.300,0.14%,0.00%,0.10%,0.05%,0.14%,Sep/24
USDKYD,0.83125,0.00000,0.00%,0.00%,0.00%,0.00%,0.00%,Sep/23
USDVES,169.76360,0.00000,0.00%,3.87%,18.83%,227.12%,361.26%,Sep/24
