Commodity,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Bitumen CNY/T,3415.00,16.00,0.47%,-0.99%,-3.48%,-7.43%,6.35%,Sep/24
Cobalt USD/T,34550,0,0.00%,3.64%,3.64%,42.18%,42.18%,Sep/23
Lead USD/T,2005.18,3.10,-0.15%,-0.41%,0.79%,2.72%,-4.36%,Sep/24
Aluminum USD/T,2656.00,13.85,0.52%,-1.05%,0.67%,4.10%,4.63%,Sep/24
Tin USD/T,34302,285,0.84%,-1.66%,0.30%,17.95%,4.93%,Sep/23
Zinc USD/T,2933.30,41.80,1.45%,-0.23%,4.46%,-1.52%,-2.14%,Sep/24
Nickel USD/T,15435,95,0.62%,-0.06%,2.35%,0.88%,-8.10%,Sep/24
Molybdenum CNY/Kg,507.50,0.00,0.00%,-0.98%,-2.39%,8.21%,6.84%,Sep/24
Palladium USD/t.oz,1209.50,13.5,-1.10%,3.86%,12.09%,36.05%,17.03%,22:27
Rhodium USD/t oz.,7150,25,0.35%,1.42%,-3.38%,56.28%,50.53%,Sep/24
Phosphorus CNY/T,1025.00,0.00,0.00%,0.00%,-0.01%,-4.63%,-8.05%,Sep/24
Polyethylene CNY/T,7109.00,36.00,0.51%,-1.20%,-3.31%,-16.59%,-11.63%,Sep/24
Polyvinyl CNY/T,4823.00,4.00,0.08%,-0.60%,-1.55%,-2.09%,-9.43%,Sep/24
Polypropylene CNY/T,6806.00,24.00,0.35%,-1.59%,-3.03%,-7.75%,-8.05%,Sep/24
Synthetic Rubber CNY/T,12125.00,16.67,0.14%,-1.02%,-1.02%,-18.67%,-26.14%,Sep/24
Soda Ash CNY/T,1186.00,2.00,-0.17%,-0.17%,-3.10%,-22.38%,-28.55%,Sep/24
Neodymium CNY/T,785000,0,0.00%,0.00%,-0.07%,57.95%,47.42%,Sep/24
Sulfur CNY/T,2637.67,3.33,-0.13%,-0.25%,0.76%,55.37%,88.72%,Sep/24
Tellurium CNY/Kg,595.00,0.00,0.00%,1.71%,1.69%,-7.75%,-19.05%,Sep/24
Urea USD/T,378.50,1.00,0.26%,-4.78%,-13.39%,12.15%,20.06%,Sep/24
Di-ammonium USD/T,755.00,0.00,0.00%,-0.66%,-3.82%,30.74%,36.53%,Sep/24
Magnesium CNY/T,17700,0,0.00%,0.28%,-3.28%,4.12%,-5.35%,Sep/24
Gallium CNY/Kg,1665.00,0.00,0.00%,0.00%,3.74%,-19.76%,-35.34%,Sep/24
Germanium CNY/Kg,14250,0,0.00%,-1.04%,-1.03%,-18.80%,-23.18%,Sep/24
Manganese CNY/mtu,29.85,0.00,0.00%,0.00%,0.64%,3.83%,-2.93%,Sep/24
Indium CNY/Kg,2525,0,0.00%,0.00%,-3.81%,-0.79%,-12.17%,Sep/24
Kraft Pulp CNY/T,5004.00,20.00,0.40%,-0.52%,-1.57%,-14.67%,-12.52%,Sep/24
