Company,Price,Chg,%Chg,YoY
Xcel Energy XEL,77.93,4.89,6.70%,21.37%
Intel INTC,31.22,1.88,6.41%,32.51%
Centene CNC,34.65,1.90,5.80%,-53.25%
Mosaic MOS,35.93,1.96,5.77%,41.57%
CF Industries CF,91.66,4.52,5.19%,9.50%
Molina Healthcare MOH,190.66,8.10,4.44%,-44.61%
EQT EQT,53.08,2.13,4.18%,51.05%
