Name,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Ether,4155.50,10.1,-0.24%,-9.50%,-5.01%,24.78%,61.72%,22:30
ETHBTC,0.0369898,0.0001994,-0.54%,-6.21%,-6.83%,3.63%,-9.39%,Sep/24
ETHEUR,3553.20,27.60,0.78%,-8.51%,-5.67%,10.51%,53.88%,Sep/24
ETHGBP,3101.79,21.61,0.70%,-7.95%,-4.61%,16.59%,60.70%,Sep/24
ETHAUD,6336.37,23.71,0.38%,-8.22%,-6.13%,17.75%,68.13%,Sep/24
ETHCAD,5795.13,30.52,0.53%,-8.37%,-4.42%,21.02%,67.24%,Sep/24
ETHCNY,29764.4,135.1,0.46%,-8.72%,-4.96%,21.79%,64.64%,Sep/24
ETHJPY,620986,"6,101",0.99%,-7.94%,-3.97%,18.49%,66.97%,Sep/24
ETHNZD,7173.37,60.47,0.85%,-7.32%,-4.11%,20.46%,74.61%,Sep/24
ETHCHF,3313.37,16.72,0.51%,-8.48%,-6.06%,9.63%,51.56%,Sep/24
ETHMXN,76788.6,362.4,0.47%,-8.67%,-6.07%,10.58%,52.12%,Sep/24
ETHINR,370253,313,0.08%,-8.29%,-3.41%,29.90%,72.15%,Sep/24
ETHBRL,22228.0,221.2,1.01%,-8.76%,-6.13%,7.91%,57.98%,Sep/24
ETHRUB,349339,886,0.25%,-9.44%,-1.05%,-7.59%,46.96%,Sep/24
ETHKRW,5859443,"50,597",0.87%,-7.59%,-3.69%,19.01%,70.75%,Sep/24
ETHIDR,69649437,"321,356",0.46%,-7.81%,-2.18%,28.55%,78.08%,Sep/24
ETHTRY,172923.9,530.1,0.31%,-8.72%,-3.53%,46.93%,96.91%,Sep/24
ETHSAR,15642.7,18.5,0.12%,-9.21%,-4.71%,25.03%,62.23%,Sep/24
ETHSEK,39169.4,291.4,0.75%,-8.12%,-6.63%,6.30%,49.68%,Sep/24
ETHNGN,6222118,"17,790",0.29%,-9.45%,-7.47%,20.99%,46.70%,Sep/24
ETHPLN,15155.4,144.4,0.96%,-8.26%,-5.53%,10.16%,53.78%,Sep/24
ETHARS,5577465,"119,018",-2.09%,-17.59%,-6.19%,62.43%,124.09%,Sep/24
ETHNOK,41426.9,272.8,0.66%,-8.06%,-6.52%,9.26%,52.42%,Sep/24
ETHTWD,126682.0,406.4,0.32%,-8.36%,-4.95%,15.95%,54.04%,Sep/24
ETHIRR,175798182,"634,702",0.36%,-8.97%,-4.44%,25.67%,62.87%,Sep/24
