Name,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
Bitcoin,113508,1497,1.34%,-2.48%,3.05%,21.70%,80.39%,22:30
BTCETH,26.9676,0.0781,0.29%,6.36%,7.07%,-3.74%,10.09%,Sep/24
BTCEUR,96749.8,"1,948.1",2.05%,-1.75%,1.97%,7.40%,71.06%,Sep/24
BTCGBP,84458.3,"1,633.9",1.97%,-1.14%,3.12%,13.31%,78.63%,Sep/24
BTCAUD,172532.7,"2,788.2",1.64%,-1.44%,1.48%,14.44%,86.89%,Sep/24
BTCCAD,157795.3,"2,787.7",1.80%,-1.59%,3.33%,17.62%,85.91%,Sep/24
BTCCNY,810453,"13,734",1.72%,-1.98%,2.75%,18.37%,83.02%,Sep/24
BTCJPY,16908779,"374,835",2.27%,-1.13%,3.81%,15.16%,85.61%,Sep/24
BTCNZD,195323.4,"4,060.8",2.12%,-0.47%,3.67%,17.08%,94.09%,Sep/24
BTCCHF,90219.7,"1,574.2",1.78%,-1.72%,1.55%,6.55%,68.47%,Sep/24
BTCMXN,2090873,"35,807",1.74%,-1.92%,1.55%,7.47%,69.10%,Sep/24
BTCINR,10081605,"134,093",1.35%,-1.51%,4.43%,26.25%,91.37%,Sep/24
BTCBRL,605246,"13,492",2.28%,-2.02%,1.48%,4.88%,75.62%,Sep/24
BTCRUB,9490812,"121,092",1.29%,-2.97%,6.73%,-10.38%,62.99%,Sep/24
BTCKRW,159546391,"3,349,292",2.14%,-0.76%,4.12%,15.67%,89.81%,Sep/24
BTCIDR,1896480056,"32,280,983",1.73%,-1.00%,5.75%,24.94%,97.95%,Sep/24
BTCTRY,4708534,"72,948",1.57%,-1.97%,4.29%,42.81%,118.89%,Sep/24
BTCSAR,425933,"5,808",1.38%,-2.50%,3.02%,21.52%,80.34%,Sep/24
BTCSEK,1066541,"21,131",2.02%,-1.33%,0.94%,3.31%,66.39%,Sep/24
BTCNGN,169421656,"2,590,232",1.55%,-2.76%,0.03%,17.59%,63.08%,Sep/24
BTCPLN,412665,"9,028",2.24%,-1.48%,2.13%,7.07%,70.94%,Sep/24
BTCARS,151868441,"1,307,287",-0.85%,-11.50%,1.41%,57.87%,149.10%,Sep/24
BTCNOK,1128012,"21,397",1.93%,-1.26%,1.06%,6.19%,69.43%,Sep/24
BTCTWD,3449415,"53,925",1.59%,-1.59%,2.76%,12.69%,71.24%,Sep/24
BTCIRR,4745840100,"35,777,550",0.76%,-3.08%,2.42%,21.10%,79.50%,Sep/24
