Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
NSE-All Share,140716,214,-0.15%,-0.93%,-0.51%,36.72%,42.16%,Sep/24
SAALL,106693,730,0.69%,1.72%,3.61%,26.87%,24.12%,Sep/23
SA40,99475,770,0.78%,2.03%,4.35%,31.96%,27.71%,Sep/23
EGX 30,35949,620,1.76%,2.79%,0.39%,20.88%,15.03%,Sep/24
CFG 25,19618,153,-0.77%,0.16%,-1.90%,32.79%,37.35%,Sep/24
Nairobi 20,2962,45,1.55%,-0.86%,6.07%,47.33%,66.56%,Sep/24
Nairobi All Share,177,3,1.61%,-0.26%,3.94%,43.45%,64.79%,Sep/24
DSEI,2493,7,-0.27%,0.06%,-1.86%,16.53%,17.00%,Sep/24
TUN,12411,8,-0.07%,0.54%,4.89%,24.69%,26.46%,Sep/24
GGSECI,7826,25,0.32%,2.58%,6.51%,60.07%,77.58%,Sep/24
SEMDEX,2456,0,0.01%,-0.91%,-0.13%,2.22%,5.57%,Sep/24
USE All Share,1429.25,0.92,-0.06%,-0.83%,-0.20%,19.62%,32.57%,Sep/23
NSX Overall,1898,8,0.42%,-0.64%,4.55%,5.39%,0.46%,Sep/23
Gaborone,10611,0,0.00%,-0.01%,0.48%,5.59%,9.94%,Sep/24
ZSI Industrials,209.22,1.89,0.91%,0.51%,1.76%,-3.75%,-15.12%,Sep/23
