Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
JP225,45630,137,0.30%,1.88%,6.59%,14.38%,20.49%,Sep/24
SHANGHAI,3854,32,0.83%,-0.59%,-0.77%,14.97%,33.05%,Sep/24
CSI 300,4566,46,1.02%,0.33%,2.17%,16.04%,34.24%,Sep/24
SHANGHAI 50,2940,20,0.68%,-0.45%,-1.68%,9.49%,23.18%,Sep/24
CH50,15126.67,70.26,0.47%,-0.44%,0.64%,11.94%,25.08%,Sep/24
SENSEX,81716,386,-0.47%,-1.18%,0.10%,4.58%,-4.06%,Sep/24
DSE Broad,5393,45,0.84%,-1.82%,-1.15%,3.38%,-5.99%,Sep/24
JCI,8127,1,0.02%,1.26%,2.52%,14.78%,4.98%,Sep/24
TASI,11426,550,5.06%,7.29%,4.85%,-5.07%,-7.43%,Sep/24
Taiwan Stock Market Index,26197,51,-0.19%,2.98%,7.91%,13.73%,15.09%,Sep/24
ADX General,9978,131,-1.30%,-0.60%,-2.24%,5.94%,4.85%,Sep/24
SET 50,826,1,0.17%,-2.16%,0.01%,-8.89%,-10.67%,Sep/24
FKLCI,1600,4,-0.24%,-0.75%,-0.17%,-2.60%,-4.41%,Sep/24
STI,4290,12,-0.29%,-0.77%,0.80%,13.28%,19.73%,Sep/24
TA-125,3031,50,-1.63%,-3.23%,-2.76%,24.89%,51.13%,Sep/21
HK50,26519,360,1.37%,-1.45%,2.67%,32.20%,38.63%,Sep/24
PSEi,6109,10,-0.16%,-1.64%,-0.59%,-6.43%,-17.03%,Sep/24
KSE 100,158237,292,0.18%,1.32%,6.33%,37.45%,92.39%,Sep/24
KASE,7130,11,0.16%,0.91%,5.65%,27.83%,37.37%,Sep/24
QE,11079,96,-0.86%,-1.31%,-1.90%,4.80%,5.08%,Sep/24
HNX,277.28,4.27,1.56%,-0.13%,4.01%,21.92%,17.57%,Sep/24
VN,1657,22,1.36%,-0.81%,2.69%,30.84%,28.74%,Sep/24
MSM 30,5114,24,0.47%,-0.08%,2.08%,11.75%,8.20%,Sep/24
ASPI,21338,56,0.26%,2.71%,3.71%,33.83%,88.27%,Sep/24
Blom,2024,45,2.25%,0.94%,4.09%,-19.59%,-0.47%,Sep/24
ASE,3030,11,0.36%,-1.78%,2.38%,21.76%,27.38%,Sep/24
LSX Composite,1437,3,-0.23%,-0.74%,-0.14%,24.97%,44.92%,Sep/24
MSE 20,48711,358,-0.73%,-0.24%,0.21%,-5.04%,1.63%,Sep/24
DFM General,5872,87,-1.46%,-1.99%,-4.29%,13.83%,30.82%,Sep/24
Kuwait All Share,8884.23,75.43,0.86%,0.70%,2.70%,20.67%,23.93%,Sep/23
JPVIX,24.42,0.05,-0.20%,1.03%,0.70%,12.07%,-1.41%,Sep/24
NIFTY 50,25057,113,-0.45%,-1.08%,0.36%,5.97%,-3.64%,Sep/24
TEDPIX,2523000.00,0.00,0.00%,0.00%,-2.55%,-9.51%,20.82%,Sep/03
Estirad,1948.45,0.85,0.04%,1.20%,0.62%,-1.89%,-3.49%,Sep/24
