Index,Price,Day,%,Weekly,Monthly,YTD,YoY,Date
US500,6645.01,11.91,-0.18%,0.68%,3.20%,12.98%,16.13%,22:27
US30,46167,126,-0.27%,0.32%,1.95%,8.52%,10.15%,22:27
US100,24538,42,-0.17%,1.31%,4.76%,16.80%,22.88%,22:27
Ecuador General,1330,5,0.36%,0.98%,1.19%,12.80%,16.74%,Sep/22
TSX,29757,59,-0.20%,1.48%,5.63%,20.34%,24.48%,Sep/24
IBOVESPA,146492,67,0.05%,0.62%,6.13%,21.79%,11.33%,Sep/24
IPC,61906,462,-0.74%,0.50%,5.84%,24.94%,16.38%,Sep/24
Peru General,34938,101,0.29%,1.89%,5.80%,20.64%,21.64%,Aug/29
Merval,1848155,"32,774",1.81%,3.62%,-8.59%,-27.06%,5.96%,Sep/24
IBC,1038,73,7.62%,6.80%,32.86%,769.64%,"1,004.45%",Sep/24
COLCAP,1881,9,0.49%,2.53%,1.66%,36.32%,42.35%,Sep/24
IGPA,45813,147,-0.32%,1.08%,2.77%,36.01%,41.52%,Sep/24
BVPSI,532,10,-1.87%,0.78%,3.65%,14.15%,20.55%,Sep/24
BSX,2757,0,0.00%,0.00%,-7.30%,10.36%,7.21%,Sep/12
JSE,318055,683,-0.21%,-0.40%,1.37%,-5.28%,3.42%,Sep/24
US1000,3631.20,12.12,-0.33%,0.49%,3.06%,12.73%,16.26%,Sep/24
