Ticker,Strike,Expiry,Type,Bid,Ask,Volume,Open Interest
SATS,35.0,16/01/2026,Call,35.0,37.0,3,"12,350"
SATS,80.0,19/12/2025,Call,5.1,5.2,510,"12,226"
SATS,70.0,19/12/2025,Call,7.4,8.8,7,"10,559"
SATS,35.0,19/12/2025,Call,36.4,37.0,1,"10,088"
SATS,40.0,19/12/2025,Call,31.5,32.5,3,"10,075"
SATS,41.0,19/12/2025,Put,0.0,1.45,2,"7,497"
SATS,75.0,19/12/2025,Call,6.6,6.8,511,"7,043"
SATS,40.0,16/01/2026,Call,31.7,32.2,3,"6,180"
SATS,90.0,19/12/2025,Call,2.8,3.2,11,"5,980"
SATS,80.0,16/01/2026,Call,6.1,6.3,12,"5,550"
IONS,65.0,16/01/2026,Call,4.3,7.3,4,"1,467"
IONS,32.5,16/01/2026,Call,27.9,31.7,2,"1,429"
IONS,37.5,16/01/2026,Call,24.5,25.6,3,"1,423"
IONS,32.5,16/01/2026,Put,0.0,1.35,1,"1,331"
IONS,50.0,16/01/2026,Call,12.3,15.0,4,"1,086"
IONS,55.0,16/01/2026,Call,10.5,12.4,20,993
IONS,47.5,16/01/2026,Call,15.7,16.9,1,932
IONS,50.0,15/01/2027,Call,21.0,23.5,4,756
IONS,35.0,16/01/2026,Call,25.5,29.3,3,730
IONS,40.0,16/01/2026,Call,21.8,23.3,1,677
INVA,20.0,19/12/2025,Put,0.0,2.15,100,"1,608"
INVA,25.0,20/03/2026,Call,0.0,1.0,1,289
INVA,22.5,20/03/2026,Call,0.0,1.95,1,92
INVA,20.0,19/12/2025,Call,0.0,2.4,20,23
INVA,22.5,19/12/2025,Call,0.0,1.0,1,13
INVA,25.0,19/12/2025,Call,0.0,1.3,9,9
INVA,15.0,19/12/2025,Call,4.5,7.4,8,8
INVA,17.5,20/03/2026,Call,2.2,4.9,1,7
INVA,20.0,20/03/2026,Call,0.0,2.85,1,7
INVA,22.5,19/12/2025,Put,2.85,4.7,3,3
OPEN,4.0,15/01/2027,Call,7.0,7.25,206,"41,974"
OPEN,5.0,16/01/2026,Call,5.5,5.65,853,"39,504"
OPEN,10.0,16/01/2026,Call,3.45,3.5,"6,318","35,000"
OPEN,7.0,16/01/2026,Call,4.5,4.6,"2,365","32,418"
OPEN,5.0,15/01/2027,Call,6.7,6.85,524,"23,407"
OPEN,4.0,20/02/2026,Call,6.3,6.45,60,"21,251"
OPEN,9.0,16/01/2026,Call,3.7,3.85,974,"20,082"
OPEN,3.0,16/01/2026,Call,6.5,7.1,120,"19,683"
OPEN,4.0,20/02/2026,Put,0.52,0.61,98,"18,682"
OPEN,8.0,16/01/2026,Call,4.1,4.2,567,"17,791"
GPRO,2.0,17/04/2026,Call,1.1,1.2,959,"54,003"
GPRO,1.0,17/04/2026,Call,1.6,1.7,116,"22,194"
GPRO,1.0,16/01/2026,Call,1.35,1.6,373,"21,364"
GPRO,3.0,16/01/2026,Call,0.65,0.7,"2,535","12,643"
GPRO,2.0,16/01/2026,Call,0.9,1.0,595,"7,851"
GPRO,1.5,16/01/2026,Call,1.15,1.3,99,"7,057"
GPRO,5.0,16/01/2026,Call,0.25,0.4,46,"4,177"
GPRO,1.0,16/01/2026,Put,0.05,0.1,5,"3,633"
GPRO,1.5,16/01/2026,Put,0.2,0.25,3,"3,070"
GPRO,4.0,16/01/2026,Call,0.4,0.55,537,"2,953"
MNKD,10.0,16/01/2026,Call,0.05,0.1,81,"9,506"
MNKD,7.0,16/01/2026,Call,0.3,0.35,32,"8,013"
MNKD,6.0,16/01/2026,Call,0.55,0.65,314,"3,373"
MNKD,12.0,15/01/2027,Call,0.35,0.45,20,"3,325"
MNKD,10.0,15/01/2027,Call,0.45,0.8,100,"3,202"
MNKD,5.0,16/01/2026,Call,1.05,1.15,23,"2,613"
MNKD,7.0,15/01/2027,Call,1.1,1.6,2,"2,114"
MNKD,3.0,15/01/2027,Call,2.65,3.5,421,"1,970"
MNKD,7.0,20/02/2026,Call,0.0,0.5,503,"1,385"
MNKD,5.0,16/01/2026,Put,0.4,0.5,10,"1,144"
ETSY,80.0,19/12/2025,Call,2.43,2.55,"1,461","5,945"
ETSY,40.0,16/01/2026,Put,0.53,0.57,10,"5,928"
ETSY,85.0,16/01/2026,Call,2.11,2.24,88,"5,005"
ETSY,90.0,16/01/2026,Call,1.47,1.64,74,"4,734"
ETSY,80.0,16/01/2026,Call,2.97,3.1,73,"4,458"
ETSY,45.0,16/01/2026,Call,21.15,21.75,4,"4,154"
ETSY,70.0,20/03/2026,Call,7.7,7.9,28,"3,676"
ETSY,60.0,16/01/2026,Call,10.45,10.65,31,"3,168"
ETSY,75.0,15/01/2027,Call,11.15,12.7,11,"3,072"
ETSY,55.0,20/03/2026,Put,4.4,4.55,10,"2,890"
AORT,40.0,16/01/2026,Call,2.5,7.0,1,17
AORT,45.0,16/01/2026,Call,0.0,4.5,10,11
AORT,40.0,17/04/2026,Put,1.55,6.4,5,9
AORT,40.0,16/01/2026,Put,0.55,4.7,1,7
RUN,12.5,16/01/2026,Call,5.15,5.25,45,"112,106"
RUN,5.0,15/01/2027,Put,0.45,0.65,25,"21,873"
RUN,20.0,16/01/2026,Call,1.88,1.98,6,"18,298"
RUN,17.5,16/01/2026,Call,2.68,2.75,26,"14,868"
RUN,10.0,16/01/2026,Put,0.55,0.58,7,"14,107"
RUN,8.0,18/06/2026,Put,0.69,0.81,3,"13,104"
RUN,25.0,16/01/2026,Call,0.96,1.03,6,"12,549"
RUN,15.0,16/01/2026,Call,3.75,3.8,2,"9,272"
RUN,20.0,19/12/2025,Call,1.61,1.67,132,"8,849"
RUN,7.5,16/01/2026,Call,9.05,9.2,152,"8,733"
