Ticker,Company Name,Latest Open,Latest Close,Latest High,Latest Low,Open 1d (%),Open 1w (%),Close 1d (%),Close 1w (%),High 1d (%),High 1w (%),Low 1d (%),Low 1w (%),Debt Class,Spread 1Y,Spread 3Y,Spread 5Y
BKNG,Booking Holdings Inc.,5480.0,5553.7,5557.4,5454.96,0.0,0.09,0.0,1.01,0.0,0.37,0.0,0.83,,,,
AXON,"Axon Enterprise, Inc.",750.67,751.81,762.17,748.73,0.0,-0.1,0.0,0.09,0.0,-0.37,0.0,0.44,,,,
SPOT,Spotify Technology S.A.,706.23,707.19,710.2,689.0,0.0,0.73,0.0,2.45,0.0,0.95,0.0,1.76,,,,
TYL,"Tyler Technologies, Inc.",537.32,536.38,543.3,532.19,0.0,-2.73,0.0,-3.18,0.0,-2.2,0.0,-2.93,,,,
MSFT,Microsoft Corporation,510.64,510.02,511.29,505.94,0.0,1.67,0.0,1.8,0.0,1.61,0.0,1.62,SENIOR_NORE_14,8.18,12.06,20.76
HUBS,"HubSpot, Inc.",506.05,507.3,517.08,502.45,0.0,2.64,0.0,2.12,0.0,3.1,0.0,2.51,,,,
CYBR,CyberArk Software Ltd.,478.02,480.15,482.76,474.23,0.0,1.71,0.0,1.9,0.0,1.26,0.0,1.03,,,,
ALNY,"Alnylam Pharmaceuticals, Inc.",455.76,451.73,463.88,450.7,0.0,-3.92,0.0,-3.6,0.0,-2.21,0.0,-3.11,,,,
TSLA,"Tesla, Inc.",415.61,425.86,428.31,409.67,0.0,18.67,0.0,15.47,0.0,16.08,0.0,17.86,SENIOR_NORE_14,24.5,45.62,70.22
CMI,Cummins Inc.,417.3,411.78,420.75,407.96,0.0,3.04,0.0,0.18,0.0,1.71,0.0,1.26,SENIOR_NORE_14,12.35,26.32,48.9
CMI,Cummins Inc.,417.3,411.78,420.75,407.96,0.0,3.04,0.0,0.18,0.0,1.71,0.0,1.26,SENIOR_NORE,12.35,26.32,48.9
V,Visa Inc.,339.94,346.2,346.2,339.52,0.0,0.36,0.0,0.79,0.0,0.78,0.0,0.49,,,,
AVGO,Broadcom Inc.,358.99,346.17,359.93,341.5,0.0,-3.3,0.0,-3.74,0.0,-3.82,0.0,-4.81,SENIOR_NORE_14,19.02,49.92,97.76
AVGO,Broadcom Inc.,358.99,346.17,359.93,341.5,0.0,-3.3,0.0,-3.74,0.0,-3.82,0.0,-4.81,SENIOR_NORE,19.03,49.96,97.77
AVGO,Broadcom Inc.,358.99,346.17,359.93,341.5,0.0,-3.3,0.0,-3.74,0.0,-3.82,0.0,-4.81,SENIOR_NORE_14,10.1,20.55,33.77
MSTR,MicroStrategy Incorporated,335.78,329.71,340.11,323.2,0.0,2.73,0.0,1.13,0.0,3.14,0.0,0.13,,,,
IDCC,"InterDigital, Inc.",324.79,327.17,330.64,323.47,0.0,7.35,0.0,0.71,0.0,1.48,0.0,6.92,,,,
RCL,Royal Caribbean Cruises Ltd.,323.36,323.07,324.34,316.34,0.0,-5.88,0.0,-7.75,0.0,-8.78,0.0,-7.66,SENIOR_NORE_14,24.49,50.22,72.76
RCL,Royal Caribbean Cruises Ltd.,323.36,323.07,324.34,316.34,0.0,-5.88,0.0,-7.75,0.0,-8.78,0.0,-7.66,SENIOR_NORE,60.0,103.58,152.63
PODD,Insulet Corporation,332.13,322.22,333.1,313.24,0.0,-1.65,0.0,-4.65,0.0,-2.71,0.0,-6.78,,,,
COIN,"Coinbase Global, Inc.",326.0,320.56,328.49,311.3,0.0,2.19,0.0,-1.05,0.0,0.76,0.0,-1.34,,,,
MDB,"MongoDB, Inc.",327.93,315.38,329.0,306.5,0.0,-2.76,0.0,-5.03,0.0,-3.46,0.0,-7.63,,,,
JPM,JPMorgan Chase & Co.,310.39,311.75,312.91,308.77,0.0,3.04,0.0,2.03,0.0,2.35,0.0,2.65,SENIOR_NORE,20.22,28.94,38.68
JPM,JPMorgan Chase & Co.,310.39,311.75,312.91,308.77,0.0,3.04,0.0,2.03,0.0,2.35,0.0,2.65,SENIOR_NORE_14,20.22,28.94,38.68
NVMI,Nova Ltd.,299.15,296.42,303.32,292.29,0.0,6.82,0.0,2.86,0.0,4.76,0.0,4.37,,,,
ZS,"Zscaler, Inc.",280.94,279.46,286.79,277.06,0.0,-0.38,0.0,-2.51,0.0,-2.1,0.0,-1.56,,,,
CHTR,"Charter Communications, Inc.",261.57,268.02,274.64,261.4,0.0,-0.16,0.0,1.55,0.0,3.83,0.0,1.13,SENIOR_NORE_14,51.75,117.53,191.14
CHTR,"Charter Communications, Inc.",261.57,268.02,274.64,261.4,0.0,-0.16,0.0,1.55,0.0,3.83,0.0,1.13,SENIOR_NORE,50.04,120.51,198.89
CHTR,"Charter Communications, Inc.",261.57,268.02,274.64,261.4,0.0,-0.16,0.0,1.55,0.0,3.83,0.0,1.13,SENIOR_NORE,37.57,90.49,157.81
CHTR,"Charter Communications, Inc.",261.57,268.02,274.64,261.4,0.0,-0.16,0.0,1.55,0.0,3.83,0.0,1.13,SENIOR_NORE_14,37.57,90.49,157.81
BURL,"Burlington Stores, Inc.",268.15,262.9,269.0,261.43,0.0,-4.56,0.0,-5.86,0.0,-4.61,0.0,-6.16,,,,
