a0,a1,b0,b1,m0,m1,rho0,rho1,sigma0,sigma1,c,Ticker,Model,Residuals,Timestamp,Option_Type
0.5751880268117219,0.11901751496133668,5.30945947986709e-14,0.3168328403267624,0.2262832039315753,-0.738735452939864,-0.9499999999999491,0.31396541255776955,2.904574784721523,-3.3302430262430893,0.22926612874897476,NIO,hyp,0.7756561436295936,20250918_2126,Call
0.7048837488505194,0.12947413578112635,6.189595373918671e-28,0.8933794766965109,0.25154930027457745,-1.6635913266754179,-0.4195660000629187,-0.9499999999999752,0.4188944575514815,-1.4225560546027565,6.203716436085511,NIO,hyp,0.6490411700920273,20250918_2126,Put
2.393678004236213e-07,0.6913724442950802,0.25233764638948997,-0.27314384525573393,6.394143212206123,-3.8299503391076923,0.9497107160082784,-0.9499415763663465,0.11310311070179674,-0.14166285331834777,0.40806692814525075,SOFI,hyp,2.017148063950154,20250918_2126,Call
0.6436553293131826,-0.03643797071698697,1.5738930972317575e-06,0.03889641507400842,-0.13785236134567597,0.6277446755610248,-0.12925898201525907,-0.7607401861950377,0.6543707709068536,-1.017409426244723,3.2164628225440266,SOFI,hyp,0.9472746547209475,20250918_2126,Put
0.4710503754073628,0.11692209746241836,0.3695787102390598,-0.020411717332531828,-0.1343100102739733,-0.6374799919876598,-0.4478537578486361,-0.5348897990226331,0.10256881836314988,-0.11003017704873207,0.058753731833774296,COIN,hyp,2.709852637371754,20250918_2126,Call
0.5723590873561243,0.1341705644537175,0.06342919608589999,-0.4696161880507029,-0.2550473501395372,0.6839748709997219,-0.4228092222023232,0.9499999961540366,0.11754353858361238,-0.2589796064939159,20.872471563905084,COIN,hyp,1.8460371101703343,20250918_2126,Put
1.4220388428806228,0.27505078012970724,0.7345791042358978,-1.2036685955983857,-0.5650291144043457,0.12927955633936247,-0.4200064921838608,-0.4646510735257376,2.1920781638209568,-2.272243463331144,0.38163893492452766,OPEN,hyp,19.854690985789734,20250918_2126,Call
0.5830893965986831,1.120133893763275,0.06269581597882314,0.40610946406172255,1.6399277190795674,-1.7898624342342713,0.3958614119815137,-0.04253245984259517,0.1649693461279835,-0.16648503620794342,0.10849971684743132,OPEN,hyp,5.481490936600892,20250918_2126,Put
0.5858809170707155,0.013617783747933631,0.052745486729189064,-0.11893960677132448,0.36197791255791906,12.705569280731236,0.8995547147137539,0.9499999999989001,0.05000000000000001,-8.764468141182094,51.650188099545666,TSLA,hyp,6.6780751626856905,20250918_2126,Call
0.5544010013850159,0.046385691367785475,0.0006380119243160458,0.07498451655238947,-3.026942264618052,2.841381122053078,-0.3488654479749246,-0.938958454780984,0.0766251339837658,-0.07850502570532575,0.6400464103608322,TSLA,hyp,4.196784567396921,20250918_2126,Put
