Rank,Ticker,Company Name,Latest Close,Realised Volatility 30d (%),Realised Volatility 100d (%),Realised Volatility 100d 1d (%),Realised Volatility 100d 1w (%),Min Realised Volatility 100d (2y),Max Realised Volatility 100d (2y),Mean Realised Volatility 100d (2y),Rvol 100d Percentile 2y (%),Rvol 100d Z-Score Percentile 2y (%),Realised Volatility 180d (%),Realised Volatility 252d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Weighted IV 3m (%),Weighted IV 3m 1d (%),Weighted IV 3m 1w (%),ATM IV 3m (%),ATM IV 3m 1d (%),ATM IV 3m 1w (%),Rvol100d - Weighted IV,Volume,Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),Num Contracts,One_Yr_ATM_Rel_Error_Call (%),P90_Rel_Error_Call (%),Restricted_P90_Rel_Error_Call (%),One_Yr_ATM_Rel_Error_Put (%),P90_Rel_Error_Put (%),Restricted_P90_Rel_Error_Put (%),Skew_90_Moneyness_3m,Skew_80_Moneyness_3m,Skew_70_Moneyness_3m,Skew_90_Moneyness_Vol_3m,Skew_80_Moneyness_Vol_3m,Skew_70_Moneyness_Vol_3m,ATM_12m_3m_Ratio,IV_Slope_Call_90_3m,IV_Slope_Put_90_3m,IV_Slope_Call_80_3m,IV_Slope_Put_80_3m,IV_Slope_Call_70_3m,IV_Slope_Put_70_3m
1,OPEN,Opendoor Technologies Inc.,7.090000152587891,251.12817825071835,207.19649223452984,1.0479229675080848,1.9721951247869942,66.58193053153757,207.19649223452979,92.9298943189832,100.0,99.98690304386297,164.80235221779714,144.80131121507603,,,,,,,,,,,1640760.0,15.955753688370503,,3183062.0,-15.647406135385527,,,,,,,,,,,,,,,,,,,,,
2,LCID,"Lucid Group, Inc.",22.239999771118164,68.70642909771647,83.0906115419463,-0.051886507846979076,0.8023370011645587,64.67668616730855,86.68821339611225,78.07001786835832,85.286783042394,85.23867806319556,78.33549447283377,77.27138190399553,1.164137178368238,19.3659098477471,-98.73342282124992,1.3061558066738999,27.56137427218991,-98.6033472385156,0.6992376449920102,-27.814860906837048,-99.20345167886046,81.92647436357807,116148.0,3.4182478697165855,,2617540.0,-13.965849154774634,,333.0,8.422958697381395,30.467848569326527,7.140195931144505,1.567115112043621,13.119182481951968,6.168172634110215,0.176761479211407,0.2339955828861936,1.195635289591751,33.12777195853411,25.318019631134533,2.16762019034956,0.91217416532687,-0.6235501731731707,-0.1724260472745209,-0.4004306595376816,-0.120236408794716,-0.0423599560125387,-0.2066965511036689
3,AAL,"American Airlines Group, Inc.",12.1899995803833,48.80736120740322,48.77327555747014,0.09352560191880918,-0.24953161954991243,36.462792549056026,68.45714249475947,48.392970404705935,71.07231920199501,51.53115801917786,57.90180067875828,54.89885551203205,0.5162406823926021,0.02947788259656419,-99.09007984226251,0.5374074285764239,-0.08704370231718567,-99.14251183302697,0.4910972253450893,-5.416329689177504,-98.9795192095176,48.257034875077544,74890.0,-31.502213441627337,,2808961.0,-14.778607889686976,,347.0,0.5903141414578135,14.39734123421738,5.697225668993668,0.6834599748517911,8.249412875671561,5.816147279469043,1.102055406406047,1.1995001591812746,1.3004553010340856,1.0366609136569016,1.0428972604237168,1.0463274789686416,0.9112381891610112,-0.2362290663235899,-0.2104176562754411,-0.2854351510026554,-0.247851575074981,-0.4180239358804738,-0.2999938656257361
4,BABA,Alibaba Group Holding Limited,163.0800018310547,54.06792701683629,43.27797134043743,0.07375664395752027,0.5740087585253489,31.422081962238234,56.82270691973934,41.89040404755332,63.591022443890274,57.119024179366185,50.799430435491,49.05702179001303,0.8620660156898265,-23.283727075557334,-98.46394489112224,0.8213676054349298,-17.317371318818402,-98.32095552570249,1.020472144147988,,-97.781465462044,42.415905324747605,209611.0,-23.578845284449695,,1548506.0,-21.408639991554697,,917.0,28.195399610889822,13.90659344641577,23.838707173462648,363.28305799286096,,46.84531560615201,1.061308370553501,1.139599664032126,1.2270460983935112,0.1152297957791173,0.1303839498644635,0.2210279189216373,2.268972621239296,1.8821227784330816,-0.2345468845115356,1.7291372900363755,-0.0460672197853256,1.3249528974176306,0.0926272093929453
5,AMZN,"Amazon.com, Inc.",220.7100067138672,26.838057155052965,29.478109585414348,1.1223316672255088,0.256338373249641,22.067897987013197,41.256078687932366,30.838402732155224,52.119700748129674,40.758714704962884,35.47852463602407,33.534445995305425,0.36032135125027626,-14.02903530804819,-99.0611038582215,0.36121296522107704,-17.44631524386984,-99.12566598263581,0.3399480007288652,2.72861233977141,-98.87733703411779,29.11778823416407,1238375.0,51.58794763353266,,3789380.0,-10.920322469476403,,1062.0,0.0668677331974365,10.997700598500618,2.795902419069409,0.3001820144263645,6.34307497016272,1.796307110086263,1.1118193109972874,1.2106630554274287,1.3097407144138855,0.9919279485369966,1.002551436255309,1.0500335918401833,0.9596297469409762,-0.1430232986075058,-0.1096949040559486,-0.2336264275938498,-0.2456116638939742,-0.4025129198705485,-0.4342601108381916
6,NIO,NIO Inc.,6.929999828338623,88.8143862243713,65.36801384891193,-0.7636043743500793,-1.0922060907257396,58.465889790647005,76.31556578814227,67.06811242998207,39.65087281795511,34.248479875040736,66.77789557784726,68.28013436559985,0.7767397101688577,-8.301002465592786,-99.1174272921304,0.7792241271096675,-5.39243853831302,,0.7469245511221333,-32.126158472842825,-99.0693902831845,64.59127413874307,291393.0,-7.312736375694614,,4168739.0,-12.622418018389636,,223.0,0.2692472113817384,11.686725350972784,1.9656395559370676,1.7072888040469882,3.666459357394348,1.9133021823592848,1.072255338523599,1.1556665833742936,1.2528064906520942,1.154063652152966,1.271346212474512,1.3990682207674725,1.0016085955100875,0.0939801842262388,0.1323031145981923,0.1912452666251729,0.1672430236537847,0.2323884498296458,0.1404241735614431
7,COIN,"Coinbase Global, Inc.",320.07000732421875,44.96105459643647,72.79167731891383,0.3062834972163634,1.1033300879240664,65.82301166705594,97.63028690456625,81.75260850987529,15.710723192019952,13.216797914217448,75.47013669792048,83.52053938937522,0.7184069050403865,13.898313278669864,-98.92426260111257,0.6994369275360346,10.843951434678138,-98.92927838920816,0.5781913296701007,-3.7121661103951347,-99.03078400534639,72.07327041387344,227325.0,-50.7476947342878,,1182948.0,-16.078278358523963,,1521.0,0.1773456618910721,10.165118967547418,1.7198812022056562,2.7083652270111807,9.571766281078974,3.125838934652277,1.1452469389977993,1.2360828571820632,1.3314614393095046,0.7421795386176889,0.6855324935472946,0.6252318840020654,0.8898706491517219,-0.3419000549428896,0.061127989019416,-0.6594273334485923,-0.0611934032156424,-1.3408609828784723,-0.2044077940094868
8,TSLA,"Tesla, Inc.",425.8500061035156,41.13692513451209,53.74744922383927,-0.405035189330379,-3.6631682701649724,43.748785951557544,81.75912194323848,64.90507961231185,14.713216957605985,15.345520663626566,68.16105395809294,69.54670152497928,0.6752565168082324,2.1411510022856897,-99.11468728421818,0.6769205719593573,2.245176792488805,-99.07660388802469,0.5991169646986289,-7.747272717274907,-98.92582852080122,53.072192707031036,1736178.0,-32.4697662044276,,7600768.0,-14.497421064064323,,2228.0,0.1793178918462066,9.306438094216183,2.438635584715344,0.1300440093705537,5.23276867368381,1.289587733767601,1.1027066876571756,1.1958096274577206,1.2977338385338937,1.0009766478405553,1.0090847684460438,0.9607399498033844,0.9627063793397288,-0.1282737884455709,-0.1507744707619496,-0.2068521197920447,-0.2718098171333727,-0.4975839129114368,-0.4445107605534071
9,SOFI,"SoFi Technologies, Inc.",29.09000015258789,48.52331768980184,45.16486037495947,-2.086268435407464,-2.365172465134427,42.24707857242818,76.11096684567653,60.02792793870865,9.72568578553616,8.512747985858905,63.24762836553629,61.13180070940302,0.6603850083466303,-6.258641216823488,-99.03452387224746,0.6621815110381288,-6.874061681163384,-99.04891977993525,0.6465113437437576,-29.505270644386624,-99.00740596676056,44.50447536661284,318547.0,-62.071506985671455,,3565443.0,-14.91769279725174,,551.0,0.4936530160958223,9.3549626204568,3.224146328306301,1.470141534917375,6.188073565889395,2.077921200087356,1.0796512386718045,1.1693890321923002,1.2590897832162111,1.1254283904784452,1.1863409616539662,1.327796399827977,0.9573253890350244,0.1260848739846332,-0.0828744676405757,0.1535071541573507,-0.1401873204224246,0.155759011276485,-0.2031793650698055
10,AMD,"Advanced Micro Devices, Inc.",160.89999389648438,39.18663935887447,42.3320523490841,-0.046222196833045404,-1.0362050979980104,40.26681129736107,62.50957888987111,50.54738477364404,7.98004987531172,10.78517877775772,54.18216303496975,50.61979872543287,0.4869826720156361,1.115348990519422,-99.00238405212612,0.49240296862425226,0.8385504498939483,-99.01174947384898,0.5645633814984916,,-98.79179162965943,41.845069677068466,534194.0,-33.25395020603795,,3559539.0,-16.631324075401274,,1067.0,0.5639316035833959,5.021482975198758,2.2727550689750267,0.0620263847208858,5.604941488608132,1.4613547637663402,1.0541941600952245,1.1608938825162542,1.272253154562143,1.572979512087489,1.8804602289566343,2.3745800141897204,1.0195620240750958,0.3135331721666745,-0.1303500974088323,0.4864312851099589,-0.0670628416671592,0.6738849771129457,-0.0265421084729988
