Ticker,OI,Vol
GEO,366018.0,8007.0
GCI,15687.0,726.0
V,348303.0,20205.0
BE,637231.0,134624.0
RPAY,11211.0,662.0
ITRI,4908.0,1668.0
CENX,62637.0,4312.0
MDB,214632.0,17760.0
MODG,38569.0,1399.0
AWK,8828.0,421.0
ASRT,20667.0,101.0
FWONK,1260.0,484.0
CDP,497.0,128.0
DAY,10062.0,756.0
LRN,19827.0,2719.0
CVX,472115.0,35630.0
DUK,89180.0,5836.0
JBLU,536707.0,19697.0
INN,522.0,219.0
PR,103101.0,2548.0
BTSG,6595.0,251.0
DNMR,21238.0,287.0
ALNY,15776.0,4922.0
GH,53752.0,5954.0
NEE,535098.0,31201.0
MKSI,4237.0,1239.0
NVAX,335349.0,16958.0
OPEN,3495079.0,1497676.0
EVH,10731.0,2626.0
EB,17593.0,244.0
HASI,18316.0,354.0
CNMD,915.0,177.0
BSY,59315.0,625.0
VRNS,5077.0,238.0
BHR,3971.0,357.0
LNTH,11620.0,2057.0
PPL,36228.0,1204.0
POST,2312.0,207.0
OPK,51787.0,1584.0
EXPE,59576.0,5493.0
AR,160032.0,9198.0
CMRC,14241.0,1052.0
PD,37603.0,2227.0
BKD,37129.0,6859.0
BMY,618641.0,34855.0
UPWK,53610.0,3283.0
CHTR,77156.0,7262.0
PCG,1356343.0,24826.0
WKC,439.0,34.0
BXMT,75372.0,1503.0
IBM,361172.0,30949.0
NET,160781.0,9173.0
RKLB,984020.0,228087.0
GPRE,75772.0,7610.0
AVGO,1969877.0,227944.0
MARA,2587307.0,310063.0
VAC,2658.0,715.0
SENS,93564.0,1908.0
MMYT,4707.0,610.0
LPSN,71052.0,1287.0
GPN,84386.0,3550.0
LIVN,1245.0,207.0
NEO,24417.0,3915.0
IIIV,659.0,24.0
LCII,909.0,395.0
RWT,32460.0,687.0
EQX,314740.0,7006.0
JOYY,6285.0,442.0
EVRG,5548.0,1030.0
HALO,14481.0,736.0
SOFI,3628511.0,252417.0
SO,79352.0,6046.0
SABR,243111.0,12066.0
EXAS,46620.0,2183.0
ENPH,463490.0,34698.0
BABA,1589425.0,677062.0
ENVX,435255.0,16709.0
PEGA,7678.0,1493.0
TRIP,169458.0,8042.0
EEFT,4707.0,351.0
WIX,43845.0,5303.0
HLF,206047.0,29502.0
FOUR,42328.0,7176.0
ON,265284.0,13560.0
BLMN,29206.0,1598.0
LAZR,281568.0,17011.0
TVTX,49640.0,847.0
ETSY,300665.0,29451.0
GMED,3916.0,448.0
LI,403928.0,40277.0
ORA,36582.0,660.0
PEP,446383.0,20847.0
INSG,5463.0,1137.0
PSEC,114169.0,10367.0
SE,289561.0,9936.0
CAKE,20795.0,2125.0
LYFT,1019712.0,144653.0
HRTG,8200.0,739.0
WB,62334.0,1899.0
XIFR,194678.0,4755.0
JPM,700241.0,51883.0
U,965669.0,45983.0
PCRX,2243.0,202.0
FVRR,29112.0,2682.0
BBIO,69451.0,2572.0
LITE,55477.0,11873.0
VRM,3560.0,998.0
RPD,38565.0,6766.0
LCID,2650421.0,85040.0
PRGS,30732.0,1008.0
SHOP,467158.0,32745.0
AKAM,80246.0,2546.0
BAND,3775.0,354.0
BMRN,38270.0,1087.0
QTWO,8210.0,583.0
SRPT,221259.0,12554.0
RCL,103842.0,26498.0
TREE,8563.0,1030.0
EZPW,13422.0,1071.0
DDOG,306220.0,16227.0
PI,4265.0,858.0
STX,176008.0,20708.0
CHRS,18516.0,1639.0
NKE,1282259.0,96915.0
XOM,968357.0,92222.0
SPB,6571.0,777.0
DXCM,165075.0,13008.0
SMTC,30207.0,2591.0
PLUG,1473518.0,173046.0
ARRY,91341.0,3176.0
VERX,14804.0,678.0
WOLF,1863979.0,225641.0
ASND,8644.0,3357.0
NTRA,14821.0,5433.0
TMDX,33417.0,2468.0
DDD,87212.0,10145.0
PATK,689.0,118.0
NOTV,3970.0,357.0
GKOS,2791.0,397.0
HLIT,4121.0,343.0
