Ticker,Latest Close ($),Open ($),Low ($),High ($),Daily Volume,Close 1d (%),Close 1w (%),Realised Volatility 100d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),ATM 12m/3m Ratio,Close 1d (%)_Color,Close 1w (%)_Color,Weighted IV 1d (%)_Color,Weighted IV 1w (%)_Color,Volume 1d (%)_Color,Volume 1w (%)_Color,OI 1d (%)_Color,OI 1w (%)_Color
PTON,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
ENVX,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
VAC,78.15,78.79,77.52,78.79,745,0.0,0.73,51.27,147.37,183.32,262.49,1.5,97.61,"2,545",1.11,2.17,0.5573,#FFFFFF,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981,#10B981
SABR,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
IDCC,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
WGO,35.98,36.0,35.5,36.53,"1,040",0.0,,55.36,75.15,32.82,,0.39,,"21,098",0.37,,0.8251,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
NEE,72.05,72.4,71.82,72.83,"21,438",0.0,,30.05,32.62,30.79,,-6.61,,"616,894",-1.63,,0.8166,#FFFFFF,#FFFFFF,#10B981,#FFFFFF,#F87171,#FFFFFF,#F87171,#FFFFFF
CSIQ,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
INSM,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
LCII,105.42,105.84,104.2,106.31,491,0.0,-2.07,37.32,62.72,11.04,72.69,0.0,14.45,"1,446",11.15,13.32,0.8929,#FFFFFF,#F87171,#10B981,#10B981,#FFFFFF,#10B981,#10B981,#10B981
VERI,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
CMS,71.57,71.22,71.12,71.9,"2,337",0.0,,17.29,19.33,-25.95,,0.0,,"8,437",0.01,,,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#FFFFFF,#FFFFFF,#10B981,#FFFFFF
HALO,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
HLIT,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
BE,52.94,53.88,52.59,54.52,"68,624",0.0,7.27,75.47,92.81,10.63,0.18,-7.42,-1.29,"553,213",-7.34,9.27,0.866,#FFFFFF,#10B981,#10B981,#10B981,#F87171,#F87171,#F87171,#10B981
VIAV,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
RPD,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
CABO,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
ZD,,,,,N/A,,,,,,,,,N/A,,,,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF,#FFFFFF
HUBS,483.17,477.44,476.77,485.52,"4,260",0.0,,47.73,46.81,-58.44,,0.85,,"18,160",1.47,,0.8757,#FFFFFF,#FFFFFF,#F87171,#FFFFFF,#10B981,#FFFFFF,#10B981,#FFFFFF
