Ticker,Date,Open,High,Low,Close,Realised_Vol_Close_30,Realised_Vol_Close_60,Realised_Vol_Close_100,Realised_Vol_Close_180,Realised_Vol_Close_252,Vol_of_Vol_100d,Vol_of_Vol_100d_Percentile,Kurtosis_100d
,,3.0199999809265137,3.0950000286102295,2.869999885559082,2.9800000190734863,,,,,,,,
,,2.990000009536743,3.049999952316284,2.880000114440918,2.9200000762939453,,,,,,,,
,,2.9800000190734863,3.049999952316284,2.9100000858306885,2.940000057220459,,,,,,,,
,,2.930000066757202,2.950000047683716,2.6500000953674316,2.75,,,,,,,,
,,2.7300000190734863,2.9049999713897705,2.680000066757202,2.869999885559082,,,,,,,,
,,2.880000114440918,2.9200000762939453,2.7639999389648438,2.809999942779541,,,,,,,,
,,2.8399999141693115,2.9649999141693115,2.8399999141693115,2.9000000953674316,,,,,,,,
,,2.869999885559082,2.9100000858306885,2.490000009536743,2.5399999618530273,,,,,,,,
,,2.5999999046325684,2.740000009536743,2.4000000953674316,2.440000057220459,,,,,,,,
,,2.4200000762939453,2.6549999713897705,2.365000009536743,2.509999990463257,,,,,,,,
,,2.630000114440918,2.75,2.5409998893737793,2.680000066757202,,,,,,,,
,,2.680000066757202,2.759999990463257,2.4100000858306885,2.440000057220459,,,,,,,,
,,2.5,2.565000057220459,2.430000066757202,2.509999990463257,,,,,,,,
,,2.569999933242798,2.740000009536743,2.5260000228881836,2.619999885559082,,,,,,,,
,,2.5999999046325684,2.609999895095825,2.430000066757202,2.440000057220459,,,,,,,,
,,2.4800000190734863,2.7200000286102295,2.4800000190734863,2.680000066757202,,,,,,,,
,,2.75,3.0799999237060547,2.700000047683716,2.950000047683716,,,,,,,,
,,2.9600000381469727,3.194999933242798,2.9600000381469727,3.1500000953674316,,,,,,,,
,,3.130000114440918,3.1500000953674316,2.9100000858306885,2.9700000286102295,,,,,,,,
,,2.930000066757202,3.0199999809265137,2.7699999809265137,2.7699999809265137,,,,,,,,
,,2.75,2.7899999618530273,2.559999942779541,2.640000104904175,,,,,,,,
,,2.6700000762939453,2.75,2.5799999237060547,2.680000066757202,,,,,,,,
,,2.9000000953674316,3.9000000953674316,2.869999885559082,3.799999952316284,,,,,,,,
,,3.799999952316284,4.090000152587891,3.559999942779541,3.75,,,,,,,,
,,3.7200000286102295,3.9200000762939453,3.4800000190734863,3.6700000762939453,,,,,,,,
,,3.5899999141693115,3.6500000953674316,3.180000066757202,3.259999990463257,,,,,,,,
,,3.259999990463257,3.450000047683716,3.2309999465942383,3.369999885559082,,,,,,,,
,,3.359999895095825,3.388000011444092,3.190000057220459,3.2699999809265137,,,,,,,,
,,3.25,3.299999952316284,3.069999933242798,3.0799999237060547,,,,,,,,
,,3.069999933242798,3.3289999961853027,3.0299999713897705,3.2799999713897705,,,,,,,,
,,3.2799999713897705,3.299999952316284,3.0899999141693115,3.130000114440918,141.5001255086181,,,,,,,
,,3.130000114440918,3.190000057220459,2.940000057220459,2.9600000381469727,142.3508868054013,,,,,,,
,,2.950000047683716,3.0450000762939453,2.9000000953674316,2.990000009536743,142.36669215669056,,,,,,,
,,2.9800000190734863,3.0399999618530273,2.930000066757202,3.0,140.92651857172612,,,,,,,
,,2.9800000190734863,3.0,2.759999990463257,2.8499999046325684,141.25217588074486,,,,,,,
,,2.8499999046325684,3.0,2.755000114440918,2.7699999809265137,141.36257136001834,,,,,,,
,,2.799999952316284,2.950000047683716,2.7899999618530273,2.9200000762939453,141.91242986191187,,,,,,,
,,2.9700000286102295,3.305000066757202,2.9700000286102295,3.240000009536743,139.21455738242793,,,,,,,
,,3.200000047683716,3.5299999713897705,3.109999895095825,3.309999942779541,138.50074096154867,,,,,,,
,,3.299999952316284,3.309999942779541,3.069999933242798,3.119999885559082,139.81731159837605,,,,,,,
,,3.109999895095825,3.140000104904175,2.9700000286102295,3.0450000762939453,138.98559933504683,,,,,,,
,,3.109999895095825,3.140000104904175,3.0,3.059999942779541,135.84170149392313,,,,,,,
,,3.009999990463257,3.190000057220459,3.002000093460083,3.059999942779541,135.71378358607205,,,,,,,
,,3.059999942779541,3.1459999084472656,3.0399999618530273,3.119999885559082,135.33839482068913,,,,,,,
,,3.2200000286102295,3.390000104904175,3.0799999237060547,3.180000066757202,133.39009697881377,,,,,,,
,,3.180000066757202,3.299999952316284,3.130000114440918,3.200000047683716,130.93363180469964,,,,,,,
,,3.2100000381469727,3.240000009536743,3.0399999618530273,3.119999885559082,128.37705337674385,,,,,,,
,,3.1500000953674316,3.444999933242798,3.1500000953674316,3.440000057220459,130.08377023837448,,,,,,,
,,3.4100000858306885,3.5450000762939453,3.240000009536743,3.369999885559082,128.9724214033311,,,,,,,
,,3.4200000762939453,3.4200000762939453,3.174999952316284,3.180000066757202,128.43382447940868,,,,,,,
,,3.1500000953674316,3.2799999713897705,3.0850000381469727,3.140000104904175,127.5791657514791,,,,,,,
,,3.130000114440918,3.1500000953674316,2.9600000381469727,3.049999952316284,127.94129475895038,,,,,,,
,,3.049999952316284,3.190000057220459,2.9149999618530273,2.930000066757202,75.93651025637166,,,,,,,
,,2.9100000858306885,3.009999990463257,2.8299999237060547,2.9700000286102295,76.19302970605824,,,,,,,
,,3.0199999809265137,3.119999885559082,2.799999952316284,2.819999933242798,77.16752974155807,,,,,,,
,,3.4000000953674316,6.409999847412109,3.3910000324249268,5.829999923706055,223.14587297648183,,,,,,,
,,5.869999885559082,7.599999904632568,5.710000038146973,7.199999809265137,229.953913800596,,,,,,,
