Ticker,Normalized 3m,Normalized 6m,Normalized 1y,Normalized 3m_Color,Normalized 6m_Color,Normalized 1y_Color
OPEN,,,,#FFFFFF,#FFFFFF,#FFFFFF
INVA,,,,#FFFFFF,#FFFFFF,#FFFFFF
MNKD,,,,#FFFFFF,#FFFFFF,#FFFFFF
SATS,,,,#FFFFFF,#FFFFFF,#FFFFFF
IONS,,,,#FFFFFF,#FFFFFF,#FFFFFF
TPIC,,,,#FFFFFF,#FFFFFF,#FFFFFF
ETSY,,,,#FFFFFF,#FFFFFF,#FFFFFF
MLAB,,,,#FFFFFF,#FFFFFF,#FFFFFF
GPRO,,,,#FFFFFF,#FFFFFF,#FFFFFF
CABO,,,,#FFFFFF,#FFFFFF,#FFFFFF
DDD,,,,#FFFFFF,#FFFFFF,#FFFFFF
AORT,,,,#FFFFFF,#FFFFFF,#FFFFFF
ZD,,,,#FFFFFF,#FFFFFF,#FFFFFF
IIIV,,,,#FFFFFF,#FFFFFF,#FFFFFF
CDLX,,,,#FFFFFF,#FFFFFF,#FFFFFF
RUN,,,,#FFFFFF,#FFFFFF,#FFFFFF
FLR,,,,#FFFFFF,#FFFFFF,#FFFFFF
DAY,,,,#FFFFFF,#FFFFFF,#FFFFFF
XRX,,,,#FFFFFF,#FFFFFF,#FFFFFF
HAE,,,,#FFFFFF,#FFFFFF,#FFFFFF
WK,,,,#FFFFFF,#FFFFFF,#FFFFFF
NEO,,,,#FFFFFF,#FFFFFF,#FFFFFF
LNTH,,,,#FFFFFF,#FFFFFF,#FFFFFF
CHGG,,,,#FFFFFF,#FFFFFF,#FFFFFF
SPB,,,,#FFFFFF,#FFFFFF,#FFFFFF
BLMN,,,,#FFFFFF,#FFFFFF,#FFFFFF
IART,,,,#FFFFFF,#FFFFFF,#FFFFFF
MODG,,,,#FFFFFF,#FFFFFF,#FFFFFF
SRPT,,,,#FFFFFF,#FFFFFF,#FFFFFF
ENOV,,,,#FFFFFF,#FFFFFF,#FFFFFF
WOLF,,,,#FFFFFF,#FFFFFF,#FFFFFF
RNG,,,,#FFFFFF,#FFFFFF,#FFFFFF
SABR,,,,#FFFFFF,#FFFFFF,#FFFFFF
MTH,,,,#FFFFFF,#FFFFFF,#FFFFFF
AMPH,,,,#FFFFFF,#FFFFFF,#FFFFFF
MP,,,,#FFFFFF,#FFFFFF,#FFFFFF
LCID,,,,#FFFFFF,#FFFFFF,#FFFFFF
GWRE,,,,#FFFFFF,#FFFFFF,#FFFFFF
GMED,,,,#FFFFFF,#FFFFFF,#FFFFFF
MIDD,,,,#FFFFFF,#FFFFFF,#FFFFFF
PAR,,,,#FFFFFF,#FFFFFF,#FFFFFF
