Ticker,Normalized 3m,Normalized 6m,Normalized 1y
OPEN,,,
LCID,,,
AAL,,,
BABA,,,
AMZN,,,
NIO,,,
TSLA,,,
COIN,,,
SOFI,,,
AMD,,,
MSTR,,,
