Ticker,Contract Name,Type,Expiry,Strike,Bid,Ask,Volume,Open Interest,Implied Volatility,Last Stock Price,Bid Stock,Ask Stock,Moneyness,Expiry_dt,Years_to_Expiry,T,r,market_price,IV_mid,IV_status,Forward,Smoothed_IV
GH,GH270115P00050000,Put,2027-01-15,50.0,6.5,11.0,1.0,8,0.5343674493408204,59.995000000000005,59.86,60.13,0.7860340860970099,2027-01-15,1.3004791238877482,1.3004791238877482,0.04499641700856718,8.75,0.5992527408667102,verified,63.610472986319266,0.5528577602166322
GH,GH260116P00045000,Put,2026-01-16,45.0,0.25,2.35,74.0,1035,0.5266160620117188,59.995000000000005,59.86,60.13,0.7372623868095034,2026-01-16,0.30390143737166325,0.30390143737166325,0.05663906877652395,1.3,0.5531260494361021,verified,61.03661437922679,0.6464545352715945
GH,GH260116P00049000,Put,2026-01-16,49.0,1.1,3.0,1.0,61,0.5014698291015626,59.995000000000005,59.86,60.13,0.8027968211925703,2026-01-16,0.30390143737166325,0.30390143737166325,0.05663906877652395,2.05,0.5310094300376519,verified,61.03661437922679,0.6263576927209513
GH,GH260417C00090000,Call,2026-04-17,90.0,1.0,3.6,4.0,347,0.5301560656738282,59.995000000000005,59.86,60.13,1.4571666271922976,2026-04-17,0.5530458590006845,0.5530458590006845,0.052535536719367885,2.3,0.5104403408534426,verified,61.7636983447899,0.6898575437992462
GH,GH251017P00070000,Put,2025-10-17,70.0,8.4,12.4,2.0,7,0.5102588037109376,59.995000000000005,59.86,60.13,1.1630045964498992,2025-10-17,0.05475701574264202,0.05475701574264202,0.05893657324106796,10.4,0.5902905351289485,verified,60.1889280693101,0.5415829443959908
GH,GH270115P00027000,Put,2027-01-15,27.0,1.15,4.2,1600.0,1600,0.7113065979003907,59.995000000000005,59.86,60.13,0.42445840649238537,2027-01-15,1.3004791238877482,1.3004791238877482,0.04499641700856718,2.675,0.7556785095645777,verified,63.610472986319266,0.7877172397351799
GH,GH270115C00090000,Call,2027-01-15,90.0,5.8,10.0,1.0,31,0.5821574987792968,59.995000000000005,59.86,60.13,1.4148613549746178,2027-01-15,1.3004791238877482,1.3004791238877482,0.04499641700856718,7.9,0.5487728102185265,verified,63.610472986319266,0.7792632814121349
GH,GH260417C00075000,Call,2026-04-17,75.0,5.2,7.2,2.0,8,0.6165809826660158,59.995000000000005,59.86,60.13,1.2143055226602482,2026-04-17,0.5530458590006845,0.5530458590006845,0.052535536719367885,6.2,0.5902817231512888,verified,61.7636983447899,0.6485344419629282
GH,GH251017C00048000,Call,2025-10-17,48.0,10.2,14.3,6.0,12,0.5986368261718751,59.995000000000005,59.86,60.13,0.7974888661370737,2025-10-17,0.05475701574264202,0.05475701574264202,0.05893657324106796,12.25,0.5415735601984752,verified,60.1889280693101,0.6359271251916077
GH,GH251219P00045000,Put,2025-12-19,45.0,1.1,1.85,2.0,74,0.6352575537109376,59.995000000000005,59.86,60.13,0.7402300263114591,2025-12-19,0.2272416153319644,0.2272416153319644,0.05806840905658093,1.475,0.6626338530104156,verified,60.79191386525275,0.6488645318635236
GH,GH251121C00075000,Call,2025-11-21,75.0,1.35,1.9,2.0,17,0.6210975390625001,59.995000000000005,59.86,60.13,1.238990344843364,2025-11-21,0.15058179329226556,0.15058179329226556,0.05930383753009209,1.625,0.6186938530021989,verified,60.533159368148006,0.5698243103135285
GH,GH270115C00075000,Call,2027-01-15,75.0,9.6,13.5,1.0,23,0.6003457934570313,59.995000000000005,59.86,60.13,1.1790511291455148,2027-01-15,1.3004791238877482,1.3004791238877482,0.04499641700856718,11.55,0.5608965937367928,verified,63.610472986319266,0.7254684448992044
GH,GH260417C00065000,Call,2026-04-17,65.0,8.3,10.3,1.0,7,0.6290320300292969,59.995000000000005,59.86,60.13,1.0523981196388816,2026-04-17,0.5530458590006845,0.5530458590006845,0.052535536719367885,9.3,0.5961959566669289,verified,61.7636983447899,0.6175840161074783
GH,GH251017C00043000,Call,2025-10-17,43.0,15.6,19.5,,8,1.0107471337890623,59.995000000000005,59.86,60.13,0.7144171092477952,2025-10-17,0.05475701574264202,0.05475701574264202,0.05893657324106796,17.55,1.010438325521763,verified,60.1889280693101,0.6694045088841754
GH,GH251219C00080000,Call,2025-12-19,80.0,1.35,2.0,1.0,59,0.5986368261718751,59.995000000000005,59.86,60.13,1.3159644912203716,2025-12-19,0.2272416153319644,0.2272416153319644,0.05806840905658093,1.675,0.589807391314192,verified,60.79191386525275,0.5823031797277646
GH,GH260417P00040000,Put,2026-04-17,40.0,2.25,2.85,,11,0.6408727319335938,59.995000000000005,59.86,60.13,0.6476296120854657,2026-04-17,0.5530458590006845,0.5530458590006845,0.052535536719367885,2.55,0.6757132919206388,verified,61.7636983447899,0.6477599039951762
GH,GH251017C00041000,Call,2025-10-17,41.0,17.1,21.1,1.0,9,0.7617211328125001,59.995000000000005,59.86,60.13,0.6811884064920838,2025-10-17,0.05475701574264202,0.05475701574264202,0.05893657324106796,19.1,,convergence,60.1889280693101,0.6841198229649557
GH,GH251219C00090000,Call,2025-12-19,90.0,0.6,0.9,1.0,84,0.594730615234375,59.995000000000005,59.86,60.13,1.4804600526229181,2025-12-19,0.2272416153319644,0.2272416153319644,0.05806840905658093,0.75,0.5888768174592368,verified,60.79191386525275,0.5932780094586729
GH,GH251017C00037000,Call,2025-10-17,37.0,21.0,25.2,1.0,7,0.937500625,59.995000000000005,59.86,60.13,0.6147310009806609,2025-10-17,0.05475701574264202,0.05475701574264202,0.05893657324106796,23.1,,convergence,60.1889280693101,0.7161440707417488
