Ticker,Timestamp,Option_Type,One_Yr_ATM_Rel_Error_Pct,P90_Rel_Error_Pct,N_Valid_Options,ATM_Dist_T,ATM_Dist_M,ATM_IV
AAL,20250916_2128,Call,,891.6842500394195,154,,,0.433266836123955
AAL,20250916_2128,Put,,,133,,,0.4410858417652571
ABBV,20250916_2128,Call,,2.251822642955621,158,,,87.66571955027764
ABBV,20250916_2128,Put,,,0,,,
ABNB,20250916_2128,Call,0.2913235391490329,344.474469470558,260,0.002053388090349051,0.012374582708793214,0.357163578818113
ABNB,20250916_2128,Put,0.5229606863630613,63.1312017716142,210,0.002053388090349051,0.012374582708793214,0.36503142357641893
ABR,20250916_2128,Call,,,0,,,
ABR,20250916_2128,Put,,,0,,,
AEIS,20250916_2128,Call,,43.26859253883511,51,,,0.5856402745576912
AEIS,20250916_2128,Put,,,0,,,
AFRM,20250916_2128,Call,1.0145452894465505,,358,0.2498288843258042,0.00470532920115363,0.6383772434274675
AFRM,20250916_2128,Put,0.09840368196179178,,215,0.2498288843258042,0.03160518516869004,0.6473929341913305
AG,20250916_2128,Call,,39.91973694131771,80,,,1.021456974935603
AG,20250916_2128,Put,,59.32007556276671,57,,,0.409426004112876
AKAM,20250916_2128,Call,0.26111365672648124,21.005030532994773,90,0.002053388090349051,0.0073895866783633135,0.35318257281809534
AKAM,20250916_2128,Put,0.017866096147246865,21.250839055978208,79,0.002053388090349051,0.0073895866783633135,0.3617890674600192
ALNY,20250916_2128,Call,1.130673980630921,19.479173727375983,110,0.17043121149897333,0.04612397753639996,0.40568872287425223
ALNY,20250916_2128,Put,1.8821494525309002,42.70338830199645,77,0.17043121149897333,0.016643461115783964,0.42066088160426096
ALRM,20250916_2128,Call,,18.92561904865877,13,,,0.3092892170769098
ALRM,20250916_2128,Put,,,0,,,
AMD,20250916_2128,Call,0.15089854751554865,55.5008243874241,645,0.002053388090349051,0.013111855421851004,0.45681324931271505
AMD,20250916_2128,Put,0.4506231030300092,,412,0.002053388090349051,0.013111855421851004,0.4651015650039958
AMPH,20250916_2128,Call,,131.22730989069933,12,,,0.43677068146348086
AMPH,20250916_2128,Put,,,0,,,
AMZN,20250916_2128,Call,0.2752455722978757,21.46348423794393,623,0.002053388090349051,0.004459596303005409,0.31109059565674657
AMZN,20250916_2128,Put,0.94553028767978,20.76100668897596,393,0.002053388090349051,0.004459596303005409,0.3216721334554278
AORT,20250916_2128,Call,,,0,,,
AORT,20250916_2128,Put,,,0,,,
APLS,20250916_2128,Call,,435.7113498169704,53,,,0.5798462098223014
