Ticker,Contract Name,Type,Expiry,Strike,Moneyness,Bid,Ask,Volume,Open Interest,Bid Stock,Ask Stock,Last Stock Price,Implied Volatility,Expiry_dt,Years_to_Expiry,Forward,LogMoneyness,IV_bid,IV_ask,IV_mid,IV_spread,Delta,Ivol/Rvol100d Ratio,Smoothed_IV,TotalVariance,Call Local Vol,Put Local Vol,Realised Vol 100d,IV_mid_binomial
MMM,MMM251017P00135000,Put,2025-10-17,135.0,0.9961439304379348,0.37,1.14,3.0,232.0,156.06,158.9,157.48000000000002,0.06452167362642551,2025-10-17,0.08213552361396304,135.52258451311343,-0.003863523366060134,,,0.06452167362642551,,,0.2633202093515006,,,,,0.2450312256143504,0.06452167362642551
MMM,MMM260918P00100000,Put,2026-09-18,100.0,4.009864158944436,1.02,1.95,6.0,28.0,156.06,158.9,157.48000000000002,,2026-09-18,1.002053388090349,24.938500666397687,1.3887573651697338,,,,,,,,,,,0.2450312256143504,
MMM,MMM260320C00230000,Call,2026-03-20,230.0,3.677761887712718,0.22,0.67,21.0,244.0,156.06,158.9,157.48000000000002,0.871645681842229,2026-03-20,0.5037645448323066,62.538034549877324,1.3023043844759674,,,0.871645681842229,,,3.5572840957588574,0.7230146054248809,0.26334297609039314,,,0.2450312256143504,0.871645681842229
MMM,MMM250926P00160000,Put,2025-09-26,160.0,1.0628174975901843,2.88,4.9,3.0,16.0,156.06,158.9,157.48000000000002,,2025-09-26,0.024640657084188913,150.54324977033355,0.06092339843960398,,,,,,,,,,,0.2450312256143504,
MMM,MMM251017C00180000,Call,2025-10-17,180.0,1.3281919072505797,0.17,0.52,1.0,444.0,156.06,158.9,157.48000000000002,0.5489639441060429,2025-10-17,0.08213552361396304,135.52258451311343,0.28381854908572074,,,0.5489639441060429,,,2.240383619392436,0.0,0.0,,,0.2450312256143504,0.5489639441060429
MMM,MMM260116P00085000,Put,2026-01-16,85.0,0.9898573904923758,0.3,0.69,1.0,113.0,156.06,158.9,157.48000000000002,0.04435849094826545,2026-01-16,0.33127994524298426,85.87095557039709,-0.01019439623740153,,,0.04435849094826545,,,0.1810319922983219,,,,,0.2450312256143504,0.04435849094826545
MMM,MMM251219P00115000,Put,2025-12-19,115.0,1.1635243090685703,0.31,0.67,1.0,126.0,156.06,158.9,157.48000000000002,,2025-12-19,0.2546201232032854,98.83764275802739,0.15145359659615995,,,,,,,,,,,0.2450312256143504,
MMM,MMM251219P00110000,Put,2025-12-19,110.0,1.1129362956308064,0.22,0.53,2.0,294.0,156.06,158.9,157.48000000000002,,2025-12-19,0.2546201232032854,98.83764275802739,0.10700183402532616,,,,,,,,,,,0.2450312256143504,
MMM,MMM270115P00090000,Put,2027-01-15,90.0,6.583280925645618,1.63,2.76,2.0,37.0,156.06,158.9,157.48000000000002,,2027-01-15,1.3278576317590691,13.670994906111158,1.8845332419859098,,,,,,,,,,,0.2450312256143504,
MMM,MMM260116P00095000,Put,2026-01-16,95.0,1.1063112011385376,0.15,0.36,4.0,418.0,156.06,158.9,157.48000000000002,,2026-01-16,0.33127994524298426,85.87095557039709,0.10103123887282288,,,,,,,,,,,0.2450312256143504,
MMM,MMM250919P00152500,Put,2025-09-19,152.5,0.9781197307018574,0.52,1.2,100.0,334.0,156.06,158.9,157.48000000000002,0.4720706387024244,2025-09-19,0.0054757015742642025,155.9113830477302,-0.022123192410000717,,,0.4720706387024244,,,1.9265733888357832,,,,,0.2450312256143504,0.4720706387024244
MMM,MMM251010P00155000,Put,2025-10-10,155.0,1.1043417360188252,3.15,4.45,6.0,12.0,156.06,158.9,157.48000000000002,,2025-10-10,0.06297056810403832,140.35510471493924,0.09924944345151276,,,,,,,,,,,0.2450312256143504,
MMM,MMM250919C00162500,Call,2025-09-19,162.5,1.0422587294364054,0.21,0.49,22.0,556.0,156.06,158.9,157.48000000000002,0.484050641966184,2025-09-19,0.0054757015742642025,155.9113830477302,0.0413902133123251,,,0.484050641966184,,,1.975465130015802,0.0,0.0,,,0.2450312256143504,0.484050641966184
MMM,MMM250919C00165000,Call,2025-09-19,165.0,1.0582934791200425,0.06,0.19,36.0,4021.0,156.06,158.9,157.48000000000002,0.47317997246774585,2025-09-19,0.0054757015742642025,155.9113830477302,0.05665768544311357,,,0.47317997246774585,,,1.9311007047423174,0.0,0.0,,,0.2450312256143504,0.47317997246774585
MMM,MMM250926P00145000,Put,2025-09-26,145.0,0.9631783571911046,0.22,0.4,2.0,114.0,156.06,158.9,157.48000000000002,0.2101311681138655,2025-09-26,0.024640657084188913,150.54324977033355,-0.03751667437364849,,,0.2101311681138655,,,0.8575689387628768,,,,,0.2450312256143504,0.2101311681138655
MMM,MMM270115P00095000,Put,2027-01-15,95.0,6.949018754848153,1.86,2.88,2.0,36.0,156.06,158.9,157.48000000000002,,2027-01-15,1.3278576317590691,13.670994906111158,1.9386004632561857,,,,,,,,,,,0.2450312256143504,
MMM,MMM251003C00170000,Call,2025-10-03,170.0,1.1695106248121325,0.26,0.41,1.0,44.0,156.06,158.9,157.48000000000002,0.4615985485156144,2025-10-03,0.04380561259411362,145.35994491483,0.15658539191928353,,,0.4615985485156144,,,1.8838356105768936,0.0,0.0,,,0.2450312256143504,0.4615985485156144
MMM,MMM260116P00110000,Put,2026-01-16,110.0,1.2809919171077804,0.38,0.88,1.0,944.0,156.06,158.9,157.48000000000002,,2026-01-16,0.33127994524298426,85.87095557039709,0.24763471306469823,,,,,,,,,,,0.2450312256143504,
