Ticker,Latest Close ($),Open ($),Low ($),High ($),Daily Volume,Close 1d (%),Close 1w (%),Realised Volatility 100d (%),Weighted IV (%),Weighted IV 1d (%),Weighted IV 1w (%),Volume 1d (%),Volume 1w (%),Open Interest,OI 1d (%),OI 1w (%),ATM 12m/3m Ratio,Skew 90 Moneyness 3m,Skew 80 Moneyness 3m,Skew 70 Moneyness 3m,Skew 90 Moneyness Vol 3m,Skew 80 Moneyness Vol 3m,Skew 70 Moneyness Vol 3m,IV Slope Call 90 3m,IV Slope Put 90 3m,IV Slope Call 80 3m,IV Slope Put 80 3m,IV Slope Call 70 3m,IV Slope Put 70 3m,Volume Rank,Open Interest Rank
LAC,7.37,,,,"108,071",,,125.09,1.44,8.95,-98.25,-57.87,,"262,898",40.76,,,,,,,,,,,,,,,31 of 370,89 of 370
OPEN,9.09,,,,"1,237,176",,,208.38,1.63,-24.67,-99.24,-17.39,,"3,649,561",4.42,,1.12,1.09,1.16,1.23,0.97,0.96,0.96,0.1,0.39,0.13,0.39,0.17,0.39,2 of 370,6 of 370
INVA,18.57,,,,204,,,25.02,0.59,-6.64,-99.08,0.99,,"2,193",0.14,,,,,,,,,,,,,,,337 of 370,330 of 370
GPRO,2.2,,,,"10,687",,,121.73,1.41,,-99.14,-25.0,,"245,304",-0.16,,1.2,1.1,1.18,1.27,0.93,0.9,0.87,0.55,1.09,0.65,1.36,0.8,1.66,111 of 370,91 of 370
TPIC,0.03,,,,N/A,,,308.24,,,,,,N/A,,,,,,,,,,,,,,,,367 of 370,367 of 370
MNKD,5.33,,,,"5,725",,,65.33,0.77,19.23,-99.01,10.59,,"84,519",0.27,,,,,,,,,,,,,,,141 of 370,140 of 370
PRO,22.93,,,,770,,,72.62,0.73,,-98.94,0.0,,"6,303",0.17,,,,,,,,,,,,,,,271 of 370,284 of 370
HOUS,10.42,,,,"1,351",,,84.89,0.71,7.68,-99.05,27.09,,"53,066",-0.21,,,,,,,,,,,,,,,232 of 370,173 of 370
MLAB,64.14,,,,N/A,,,74.22,,,,,,N/A,,,,,,,,,,,,,,,,367 of 370,367 of 370
SATS,73.14,,,,"33,787",,,137.67,0.71,-65.62,-99.52,-22.9,,"412,001",2.09,,1.0,1.09,1.19,1.3,1.08,1.09,1.1,-0.0,0.15,-0.0,0.16,-0.0,0.17,60 of 370,63 of 370
IONS,62.97,,,,"2,378",,,58.79,0.5,-5.87,-99.46,-2.34,,"38,346",0.43,,1.02,,,,,,,0.02,-0.15,0.02,-0.41,0.03,-0.68,189 of 370,193 of 370
DDD,2.91,,,,"8,627",,,108.89,1.23,4.26,-98.85,-14.96,,"86,521",-0.79,,0.85,1.07,1.14,1.22,1.04,1.07,1.1,-1.0,-1.2,-0.96,-1.22,-0.91,-1.25,123 of 370,138 of 370
ETSY,63.6,,,,"21,439",,,49.62,0.55,-12.47,-99.22,-27.2,,"307,951",2.42,,1.0,0.16,0.23,1.3,33.78,21.23,1.02,-0.02,0.0,-0.02,0.0,-0.03,0.0,73 of 370,80 of 370
HAE,47.67,,,,"1,448",,,56.47,,,,-8.82,,"8,999",1.81,,,,,,,,,,,,,,,229 of 370,268 of 370
AORT,40.43,,,,126,,,50.08,0.62,-24.57,-99.09,0.0,,503,11.28,,,,,,,,,,,,,,,347 of 370,357 of 370
RUN,16.91,,,,"59,590",,,157.77,0.91,-3.08,-99.21,72.75,,"857,603",1.03,,1.0,1.09,1.18,1.27,1.02,1.01,1.01,0.02,0.07,0.01,0.06,0.0,0.05,43 of 370,34 of 370
CDLX,2.38,,,,"3,896",,,175.11,1.98,-4.39,-98.85,-82.38,,"80,555",14.47,,0.79,,,,,,,-1.26,-1.14,-1.19,-0.99,-1.12,-0.82,162 of 370,145 of 370
IIIV,31.57,,,,24,,,39.53,0.54,15.04,-99.22,0.0,,706,7.13,,,,,,,,,,,,,,,362 of 370,350 of 370
LNTH,51.47,,,,"1,943",,,77.13,0.76,30.33,-99.01,-5.54,,"11,790",1.46,,1.05,,,,,,,0.02,-0.27,0.02,-0.27,-5.8,-0.16,210 of 370,252 of 370
FLR,42.4,,,,"9,635",,,65.5,0.53,0.07,-99.14,-16.15,,"188,914",-1.13,,0.95,1.07,1.17,1.27,1.27,1.37,1.53,-0.67,-0.36,-0.61,-0.27,-0.55,-0.2,119 of 370,102 of 370
BLMN,7.13,,,,"1,150",,,90.79,4.52,-32.46,-99.08,-28.04,,"28,659",-1.87,,,,,,,,,,,,,,,249 of 370,213 of 370
ZD,36.47,,,,657,,,53.69,0.6,15.44,-99.57,1.08,,"2,924",0.24,,6.5,0.11,0.21,0.31,890.27,620.44,371.28,5.5,-1.11,7.55,-1.87,9.69,-4.74,285 of 370,318 of 370
DAY,68.85,,,,698,,,49.32,0.1,136.35,-99.73,-7.67,,"10,131",0.69,,,,,,,,,,,,,,,280 of 370,265 of 370
RNG,30.22,,,,"3,152",,,54.47,0.46,-7.37,-99.49,-5.63,,"25,760",-0.09,,1.1,,,,,,,1.62,0.52,0.41,0.05,-1.29,-0.5,172 of 370,217 of 370
CHGG,1.45,,,,"3,709",,,118.22,1.34,-12.98,-99.18,2.26,,"114,975",0.71,,0.9,1.13,1.2,1.29,0.87,0.85,0.82,-1.3,-0.34,-1.6,-0.37,-1.94,-0.39,165 of 370,124 of 370
SPB,52.17,,,,765,,,39.23,1.98,271.83,-99.25,-1.54,,"6,576",0.08,,,,,,,,,,,,,,,272 of 370,282 of 370
ENOV,30.02,,,,359,,,54.41,0.65,3.96,-99.03,-67.15,,"8,175",0.0,,,,,,,,,,,,,,,313 of 370,274 of 370
SRPT,17.72,,,,"12,780",,,148.71,1.14,4.33,-99.11,1.8,,"223,887",1.19,,1.0,1.09,1.16,1.25,1.0,1.02,1.04,0.22,0.03,0.21,0.03,0.2,0.03,96 of 370,95 of 370
IART,13.18,,,,73,,,68.67,1.13,31.27,-99.21,2.82,,572,2.33,,,,,,,,,,,,,,,356 of 370,353 of 370
WK,83.73,,,,277,,,55.97,0.56,34.88,-99.13,-2.12,,"2,570",-0.7,,,,,,,,,,,,,,,328 of 370,323 of 370
XRX,3.64,,,,"8,930",,,77.55,2.07,-1.42,-99.24,-40.85,,"231,994",-0.88,,,,,,,,,,,,,,,121 of 370,93 of 370
