Company,Price,Chg,%Chg,YoY
Builders Firstsource BLDR,129.31,7.68,-5.61%,-33.52%
Uber UBER,92.46,5.37,-5.49%,27.16%
Mohawk Industries MHK,131.28,5.49,-4.01%,-16.14%
Broadcom AVGO,345.89,14.11,-3.92%,113.82%
Bunge BG,80.41,3.28,-3.92%,-17.71%
Lamb Weston Holdings LW,55.65,2.09,-3.62%,-15.43%
Old Dominion Freight Line ODFL,141.79,5.23,-3.56%,-27.96%
